dataset,fold,subject_id,EEGNet_mean_BA,LiteBN_mean_BA,mean_delta_pp,std_delta_pp,min_delta_pp,max_delta_pp,positive_seed_count,negative_seed_count
OpenBMI,0,15,0.8333333333333334,0.8666666666666667,3.333333333333329,2.494438257849292,0.0,5.999999999999995,2,0
OpenBMI,0,3,0.8633333333333333,0.8966666666666666,3.333333333333329,4.496912521077342,-2.0000000000000018,8.999999999999986,2,1
OpenBMI,0,32,0.66,0.7433333333333333,8.333333333333337,2.8674417556808827,4.999999999999993,12.00000000000001,3,0
OpenBMI,0,33,0.7733333333333334,0.8966666666666666,12.333333333333329,2.0548046676563225,9.999999999999998,14.999999999999991,3,0
OpenBMI,0,38,0.7366666666666667,0.7533333333333333,1.6666666666666645,4.9216076867444665,-4.0000000000000036,7.9999999999999964,2,1
OpenBMI,0,47,0.8799999999999999,0.8799999999999999,0.0,4.320493798938569,-3.9999999999999925,5.999999999999995,1,2
OpenBMI,0,5,0.7133333333333334,0.7533333333333333,4.0,5.0990195135927845,-1.0000000000000009,10.999999999999998,2,1
OpenBMI,0,6,0.93,0.9333333333333332,0.33333333333333365,4.027681991198194,-3.0000000000000027,6.000000000000005,1,2
OpenBMI,1,14,0.7133333333333333,0.7200000000000001,0.6666666666666673,2.0548046676563274,-2.0000000000000018,3.0000000000000027,2,1
OpenBMI,1,2,0.8033333333333333,0.7433333333333333,-6.000000000000003,5.715476066494082,-14.000000000000002,-1.0000000000000009,0,3
OpenBMI,1,26,0.8533333333333334,0.8533333333333334,-3.700743415417189e-15,2.9439202887759466,-3.0000000000000027,3.9999999999999925,1,2
OpenBMI,1,28,0.7799999999999999,0.9266666666666666,14.666666666666657,6.128258770283417,6.999999999999984,21.999999999999996,3,0
OpenBMI,1,31,0.8033333333333333,0.8133333333333334,0.999999999999997,5.887840577551898,-5.000000000000004,8.999999999999996,1,2
OpenBMI,1,35,0.8433333333333334,0.8166666666666668,-2.6666666666666616,4.02768199119819,-5.999999999999995,3.0000000000000027,1,2
OpenBMI,1,40,0.82,0.82,3.700743415417189e-15,2.9439202887759475,-2.9999999999999916,4.0000000000000036,1,2
