dataset,seed,outer_fold,alpha,ablation,metric,value
eegmmidb,0,0,0.1,A1_risk_only,marginal_violation,0.0
eegmmidb,0,0,0.1,A1_risk_only,certified_only_violation,
eegmmidb,0,0,0.1,A1_risk_only,nonharm_violation,0.0
eegmmidb,0,0,0.1,A1_risk_only,joint_validity,1.0
eegmmidb,0,0,0.1,A1_risk_only,csr,0.0
eegmmidb,0,0,0.1,A1_risk_only,full_set_fallback,1.0
eegmmidb,0,0,0.1,A1_risk_only,average_set_size,4.0
eegmmidb,0,0,0.1,A1_risk_only,singleton_rate,0.0
eegmmidb,0,0,0.1,A1_risk_only,argmax_error,0.6148148148148148
eegmmidb,0,0,0.1,A1_risk_only,macro_f1,0.380271307675139
eegmmidb,0,0,0.1,A1_risk_only,balanced_accuracy,0.38745039682539684
eegmmidb,0,0,0.1,A1_risk_only,cohen_kappa,0.1814718006624457
eegmmidb,0,0,0.1,A1_risk_only,selected_vs_no_tta_gain,0.0
eegmmidb,0,0,0.1,A1_risk_only,tta_selection_rate,0.0
eegmmidb,0,0,0.1,A1_risk_only,safe_beneficial_selection_precision,
eegmmidb,0,0,0.1,A1_risk_only,nar,
eegmmidb,0,0,0.1,A2_utility_only_uncertified,marginal_violation,0.0
eegmmidb,0,0,0.1,A2_utility_only_uncertified,certified_only_violation,0.0
eegmmidb,0,0,0.1,A2_utility_only_uncertified,nonharm_violation,0.0
eegmmidb,0,0,0.1,A2_utility_only_uncertified,joint_validity,1.0
eegmmidb,0,0,0.1,A2_utility_only_uncertified,csr,1.0
eegmmidb,0,0,0.1,A2_utility_only_uncertified,full_set_fallback,0.0
eegmmidb,0,0,0.1,A2_utility_only_uncertified,average_set_size,3.453703703703704
eegmmidb,0,0,0.1,A2_utility_only_uncertified,singleton_rate,0.024074074074074074
eegmmidb,0,0,0.1,A2_utility_only_uncertified,argmax_error,0.6018518518518517
eegmmidb,0,0,0.1,A2_utility_only_uncertified,macro_f1,0.39285353992297395
eegmmidb,0,0,0.1,A2_utility_only_uncertified,balanced_accuracy,0.40034722222222224
eegmmidb,0,0,0.1,A2_utility_only_uncertified,cohen_kappa,0.19834527722187406
eegmmidb,0,0,0.1,A2_utility_only_uncertified,selected_vs_no_tta_gain,0.012962962962962966
eegmmidb,0,0,0.1,A2_utility_only_uncertified,tta_selection_rate,0.4444444444444444
eegmmidb,0,0,0.1,A2_utility_only_uncertified,safe_beneficial_selection_precision,0.5
eegmmidb,0,0,0.1,A2_utility_only_uncertified,nar,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,marginal_violation,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,certified_only_violation,
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,nonharm_violation,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,joint_validity,1.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,csr,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,full_set_fallback,1.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,average_set_size,4.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,singleton_rate,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,argmax_error,0.6148148148148148
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,macro_f1,0.380271307675139
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,balanced_accuracy,0.38745039682539684
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,cohen_kappa,0.1814718006624457
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,selected_vs_no_tta_gain,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,tta_selection_rate,0.0
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,safe_beneficial_selection_precision,
eegmmidb,0,0,0.1,A3_joint_without_benefit_certificate,nar,
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,marginal_violation,0.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,certified_only_violation,0.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,nonharm_violation,0.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,joint_validity,1.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,csr,0.2222222222222222
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,full_set_fallback,0.7777777777777778
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,average_set_size,3.9629629629629637
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,singleton_rate,0.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,argmax_error,0.6148148148148148
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,macro_f1,0.380271307675139
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,balanced_accuracy,0.38745039682539684
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,cohen_kappa,0.1814718006624457
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,selected_vs_no_tta_gain,0.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,tta_selection_rate,0.0
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,safe_beneficial_selection_precision,
eegmmidb,0,0,0.1,A4_separate_risk_gain_calibration,nar,
eegmmidb,0,0,0.1,A7_context_set_size_selector,marginal_violation,0.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,certified_only_violation,
eegmmidb,0,0,0.1,A7_context_set_size_selector,nonharm_violation,0.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,joint_validity,1.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,csr,0.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,full_set_fallback,1.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,average_set_size,4.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,singleton_rate,0.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,argmax_error,0.6148148148148148
eegmmidb,0,0,0.1,A7_context_set_size_selector,macro_f1,0.380271307675139
eegmmidb,0,0,0.1,A7_context_set_size_selector,balanced_accuracy,0.38745039682539684
eegmmidb,0,0,0.1,A7_context_set_size_selector,cohen_kappa,0.1814718006624457
eegmmidb,0,0,0.1,A7_context_set_size_selector,selected_vs_no_tta_gain,0.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,tta_selection_rate,0.0
eegmmidb,0,0,0.1,A7_context_set_size_selector,safe_beneficial_selection_precision,
eegmmidb,0,0,0.1,A7_context_set_size_selector,nar,
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,marginal_violation,0.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,certified_only_violation,
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,nonharm_violation,0.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,joint_validity,1.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,csr,0.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,full_set_fallback,1.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,average_set_size,4.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,singleton_rate,0.0
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,argmax_error,0.6148148148148148
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,macro_f1,0.380271307675139
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,balanced_accuracy,0.38745039682539684
eegmmidb,0,0,0.1,A9_no_positive_gain_gate,cohen_kappa,0.1814718006624457
