fold,meta_fold,role,objective,gradient_L2,depth1.weight_gradient_L2,depth2.weight_gradient_L2,point1.weight_gradient_L2,point2.weight_gradient_L2,other_objective,pairwise_cosine
0,0,META_TRAIN,FULL_CE,0.41649749875068665,0.20667794346809387,0.14872610569000244,0.28828513622283936,0.15977054834365845,,
0,0,META_TRAIN,P_UTILITY,0.251149445772171,0.13969643414020538,0.07222268730401993,0.17739534378051758,0.08291999250650406,,
0,0,META_TRAIN,SHARED1_PERSISTENCE,0.291660338640213,0.17315278947353363,0.0,0.23469951748847961,0.0,,
0,0,META_TRAIN,PU_PER_RAW,0.3878433406352997,0.22521761059761047,0.07222268730401993,0.2959858775138855,0.08291999250650406,,
0,0,META_TRAIN,BALANCED,0.9999999403953552,0.5780053734779358,0.20177717506885529,0.7559945583343506,0.2316635102033615,,
0,0,META_TRAIN,CONFLICT_AWARE,0.9999999403953552,0.5780053734779358,0.20177717506885529,0.7559945583343506,0.2316635102033615,,
0,0,META_TRAIN,FULL_CE,,,,,,P_UTILITY,0.8670444488525391
0,0,META_TRAIN,FULL_CE,,,,,,SHARED1_PERSISTENCE,0.05312103405594826
0,0,META_TRAIN,FULL_CE,,,,,,PU_PER_RAW,0.6014053225517273
0,0,META_TRAIN,P_UTILITY,,,,,,SHARED1_PERSISTENCE,0.015567558817565441
0,0,META_TRAIN,PU_PER_RAW,,,,,,P_UTILITY,0.6592607498168945
0,0,META_TRAIN,PU_PER_RAW,,,,,,SHARED1_PERSISTENCE,0.7620863914489746
0,0,META_TRAIN,BALANCED,,,,,,FULL_CE,0.6456490755081177
0,0,META_TRAIN,BALANCED,,,,,,P_UTILITY,0.7125895619392395
0,0,META_TRAIN,BALANCED,,,,,,SHARED1_PERSISTENCE,0.7125895619392395
0,0,META_TRAIN,BALANCED,,,,,,PU_PER_RAW,0.9973114132881165
0,0,META_TRAIN,BALANCED,,,,,,CONFLICT_AWARE,1.0000001192092896
0,0,META_TRAIN,CONFLICT_AWARE,,,,,,FULL_CE,0.6456490755081177
0,0,META_TRAIN,CONFLICT_AWARE,,,,,,P_UTILITY,0.7125895619392395
0,0,META_TRAIN,CONFLICT_AWARE,,,,,,SHARED1_PERSISTENCE,0.7125895619392395
0,0,META_TRAIN,CONFLICT_AWARE,,,,,,PU_PER_RAW,0.9973114132881165
0,0,META_VAL,FULL_CE,0.40985429286956787,0.18053141236305237,0.17076049745082855,0.2813835144042969,0.1644783318042755,,
0,0,META_VAL,P_UTILITY,0.2399708777666092,0.11310325562953949,0.09241452068090439,0.16879574954509735,0.08809781819581985,,
0,0,META_VAL,SHARED1_PERSISTENCE,0.9656094908714294,0.5441567301750183,0.0,0.7976810932159424,0.0,,
0,0,META_VAL,PU_PER_RAW,1.0051885843276978,0.5721465349197388,0.09241452068090439,0.8165481090545654,0.08809781819581985,,
0,0,META_VAL,BALANCED,1.0,0.5446181893348694,0.26650485396385193,0.7535393238067627,0.25405633449554443,,
0,0,META_VAL,CONFLICT_AWARE,1.0,0.5446181893348694,0.26650485396385193,0.7535393238067627,0.25405633449554443,,
0,0,META_VAL,FULL_CE,,,,,,P_UTILITY,0.7985599040985107
0,0,META_VAL,FULL_CE,,,,,,SHARED1_PERSISTENCE,0.0379675030708313
0,0,META_VAL,FULL_CE,,,,,,PU_PER_RAW,0.2271144986152649
0,0,META_VAL,P_UTILITY,,,,,,SHARED1_PERSISTENCE,0.04405445232987404
0,0,META_VAL,PU_PER_RAW,,,,,,P_UTILITY,0.28105202317237854
