fold,meta_fold,direction,metric,predicted_first_order_delta,observed_virtual_delta,sign_agreement
0,0,FULL_CE,full_CE,-0.00031589193001781265,-0.0002879202365875244,True
0,0,FULL_CE,Ponly_CE,-0.00016105255262692706,-0.00015294551849365234,True
0,0,FULL_CE,rho1,0.0002535614013187341,0.00025337934494018555,True
0,0,P_UTILITY,full_CE,-0.0002883071670087247,-0.00026670098304748535,True
0,0,P_UTILITY,Ponly_CE,-0.00018651434970274748,-0.00017547607421875,True
0,0,P_UTILITY,rho1,0.00020046790093948628,0.00020009279251098633,True
0,0,SHARED1_PERSISTENCE,full_CE,-7.757846459345074e-06,-6.616115570068359e-06,True
0,0,SHARED1_PERSISTENCE,Ponly_CE,2.0977685000630684e-05,2.1517276763916016e-05,True
0,0,SHARED1_PERSISTENCE,rho1,-0.00011767930784040458,-0.00011974573135375977,True
0,0,PU_PER_RAW,full_CE,-0.00019252836598940347,-0.00018334388732910156,True
0,0,PU_PER_RAW,Ponly_CE,-0.00010500276016239239,-0.00010091066360473633,True
0,0,PU_PER_RAW,rho1,4.131827280599509e-05,4.07099723815918e-05,True
0,0,BALANCED,full_CE,-0.00020773883372197585,-0.0001970529556274414,True
0,0,BALANCED,Ponly_CE,-0.00011615151302225966,-0.0001112818717956543,True
0,0,BALANCED,rho1,5.808994331394501e-05,5.7637691497802734e-05,True
0,0,CONFLICT_AWARE,full_CE,-0.00020773883372197585,-0.0001970529556274414,True
0,0,CONFLICT_AWARE,Ponly_CE,-0.00011615151302225966,-0.0001112818717956543,True
0,0,CONFLICT_AWARE,rho1,5.808994331394501e-05,5.7637691497802734e-05,True
0,1,FULL_CE,full_CE,-0.0008466645256276023,-0.0008048117160797119,True
0,1,FULL_CE,Ponly_CE,-0.0005009554400010074,-0.0004890561103820801,True
0,1,FULL_CE,rho1,0.00014835617967230518,0.00014793872833251953,True
0,1,P_UTILITY,full_CE,-0.0007823355003042706,-0.0007496774196624756,True
0,1,P_UTILITY,Ponly_CE,-0.0005511053952732254,-0.000535130500793457,True
0,1,P_UTILITY,rho1,0.00012108663755444126,0.00012058019638061523,True
0,1,SHARED1_PERSISTENCE,full_CE,1.1673322228119785e-05,1.3679265975952148e-05,True
0,1,SHARED1_PERSISTENCE,Ponly_CE,6.309460231045705e-05,6.446242332458496e-05,True
0,1,SHARED1_PERSISTENCE,rho1,-0.0009452683832546426,-0.0009517669677734375,True
0,1,PU_PER_RAW,full_CE,-0.0003396114386911222,-0.00033414363861083984,True
0,1,PU_PER_RAW,Ponly_CE,-0.00019022525081840056,-0.00018784403800964355,True
0,1,PU_PER_RAW,rho1,-0.0007901036256509995,-0.000796198844909668,True
0,1,BALANCED,full_CE,-0.0005442379758403603,-0.000530242919921875,True
0,1,BALANCED,Ponly_CE,-0.0003446308483378288,-0.0003383159637451172,True
0,1,BALANCED,rho1,-0.0005820331489828732,-0.0005866289138793945,True
0,1,CONFLICT_AWARE,full_CE,-0.0005442379758403603,-0.000530242919921875,True
0,1,CONFLICT_AWARE,Ponly_CE,-0.0003446308483378288,-0.0003383159637451172,True
0,1,CONFLICT_AWARE,rho1,-0.0005820331489828732,-0.0005866289138793945,True
0,2,FULL_CE,full_CE,-0.0005536884203933141,-0.0005381405353546143,True
0,2,FULL_CE,Ponly_CE,-0.0002970951915778528,-0.00029286742210388184,True
0,2,FULL_CE,rho1,-0.0001946060831704699,-0.00019484758377075195,True
0,2,P_UTILITY,full_CE,-0.0004738290244991958,-0.0004617273807525635,True
0,2,P_UTILITY,Ponly_CE,-0.00031999408080258715,-0.00031438469886779785,True
0,2,P_UTILITY,rho1,-0.00015853201387892567,-0.00015866756439208984,True
0,2,SHARED1_PERSISTENCE,full_CE,-0.00012765860096047277,-0.00012442469596862793,True
0,2,SHARED1_PERSISTENCE,Ponly_CE,-8.122327725844513e-05,-8.019804954528809e-05,True
0,2,SHARED1_PERSISTENCE,rho1,-0.00039596617190090907,-0.0003974437713623047,True
0,2,PU_PER_RAW,full_CE,-0.00036099539083170383,-0.0003514587879180908,True
0,2,PU_PER_RAW,Ponly_CE,-0.0002401209511972979,-0.00023630261421203613,True
0,2,PU_PER_RAW,rho1,-0.0003808006508594417,-0.0003819465637207031,True
0,2,BALANCED,full_CE,-0.00039329260900160533,-0.0003826618194580078,True
0,2,BALANCED,Ponly_CE,-0.0002623425791696832,-0.0002579987049102783,True
0,2,BALANCED,rho1,-0.000362567800073748,-0.0003635883331298828,True
0,2,CONFLICT_AWARE,full_CE,-0.00039329260900160533,-0.0003826618194580078,True
0,2,CONFLICT_AWARE,Ponly_CE,-0.0002623425791696832,-0.0002579987049102783,True
0,2,CONFLICT_AWARE,rho1,-0.000362567800073748,-0.0003635883331298828,True
0,3,FULL_CE,full_CE,6.79239551154751e-05,8.057057857513428e-05,True
0,3,FULL_CE,Ponly_CE,7.589040370922361e-05,8.07046890258789e-05,True
0,3,FULL_CE,rho1,4.3613871690055814e-05,4.3511390686035156e-05,True
0,3,P_UTILITY,full_CE,8.543965244672335e-05,9.784102439880371e-05,True
0,3,P_UTILITY,Ponly_CE,9.382462682657432e-05,0.00010059773921966553,True
0,3,P_UTILITY,rho1,3.860341563767377e-05,3.8623809814453125e-05,True
0,3,SHARED1_PERSISTENCE,full_CE,-2.4244070490034627e-05,-2.3677945137023926e-05,True
0,3,SHARED1_PERSISTENCE,Ponly_CE,7.866539998319766e-06,8.150935173034668e-06,True
0,3,SHARED1_PERSISTENCE,rho1,2.1714814762233913e-05,2.4080276489257812e-05,True
0,3,PU_PER_RAW,full_CE,3.787989372845146e-05,4.382431507110596e-05,True
0,3,PU_PER_RAW,Ponly_CE,6.732565263365585e-05,7.076561450958252e-05,True
0,3,PU_PER_RAW,rho1,4.148470846996588e-05,4.2498111724853516e-05,True
0,3,BALANCED,full_CE,4.295477437828765e-05,4.965066909790039e-05,True
0,3,BALANCED,Ponly_CE,7.137967501711273e-05,7.522106170654297e-05,True
0,3,BALANCED,rho1,4.233894228418932e-05,4.315376281738281e-05,True
0,3,CONFLICT_AWARE,full_CE,4.295477437828765e-05,4.965066909790039e-05,True
0,3,CONFLICT_AWARE,Ponly_CE,7.137967501711273e-05,7.522106170654297e-05,True
0,3,CONFLICT_AWARE,rho1,4.233894228418932e-05,4.315376281738281e-05,True
0,4,FULL_CE,full_CE,-0.001215958783289352,-0.001191258430480957,True
0,4,FULL_CE,Ponly_CE,-0.0006393374817292851,-0.0006320476531982422,True
0,4,FULL_CE,rho1,0.00010521979105996591,0.00010502338409423828,True
0,4,P_UTILITY,full_CE,-0.0010741122618876488,-0.00105363130569458,True
0,4,P_UTILITY,Ponly_CE,-0.0007117182073563981,-0.0007014870643615723,True
0,4,P_UTILITY,rho1,0.00011476043105622578,0.00011450052261352539,True
0,4,SHARED1_PERSISTENCE,full_CE,1.3197238078355154e-05,1.5109777450561523e-05,True
0,4,SHARED1_PERSISTENCE,Ponly_CE,2.665895581813515e-05,2.7894973754882812e-05,True
0,4,SHARED1_PERSISTENCE,rho1,-0.0005257168782193275,-0.0005260705947875977,True
0,4,PU_PER_RAW,full_CE,-0.0005613204168727179,-0.0005573630332946777,True
0,4,PU_PER_RAW,Ponly_CE,-0.0003561276964048829,-0.0003542304039001465,True
0,4,PU_PER_RAW,rho1,-0.0004027225134000218,-0.0004030168056488037,True
0,4,BALANCED,full_CE,-0.0007767629161035074,-0.0007685720920562744,True
0,4,BALANCED,Ponly_CE,-0.0005015751485458395,-0.000497668981552124,True
0,4,BALANCED,rho1,-0.0003008872061665215,-0.00030112266540527344,True
0,4,CONFLICT_AWARE,full_CE,-0.0007767628355538818,-0.0007685720920562744,True
0,4,CONFLICT_AWARE,Ponly_CE,-0.0005015751485458395,-0.000497668981552124,True
0,4,CONFLICT_AWARE,rho1,-0.0003008872263039279,-0.00030112266540527344,True
1,0,FULL_CE,full_CE,0.00017936210186245203,0.00031100213527679443,True
