direction,metric,biological_subjects,mean_delta,ci95_lower,ci95_upper,bootstrap_draws,meta_split_mean_delta
FULL_CE,full_CE,40,-0.0007965170002231994,-0.001127329033333808,-0.00046693985466845345,20000,-0.0008260226249694825
FULL_CE,full_BA,40,0.0003541666666666681,-0.0004791666666666603,0.0011770833333333336,20000,0.00035333333333333885
FULL_CE,Ponly_CE,40,-0.00046883764055867993,-0.0006704581342637538,-0.00025530641898512845,20000,-0.00048566043376922606
FULL_CE,Ponly_BA,40,0.0005104166666666704,-0.0003437499999999889,0.001385416666666664,20000,0.0003266666666666751
FULL_CE,rho1,40,8.993788117853304e-05,1.6140566294780005e-05,0.00016533482572413048,20000,9.615540504455567e-05
P_UTILITY,full_CE,40,-0.0007030126949151358,-0.0010176548163872213,-0.00038015380928603336,20000,-0.0007264250516891479
P_UTILITY,full_BA,40,0.0004270833333333346,-0.00037499999999999567,0.00121901041666665,20000,0.00042666666666667295
P_UTILITY,Ponly_CE,40,-0.0005344726610928774,-0.0007782923135285577,-0.00028361125693966954,20000,-0.000554700493812561
P_UTILITY,Ponly_BA,40,0.0004791666666666701,-0.00039583333333332443,0.0013645833333333396,20000,0.0002666666666666728
P_UTILITY,rho1,40,8.090244761357704e-05,-2.163351552250473e-06,0.00016832550507388076,20000,7.90727138519287e-05
SHARED1_PERSISTENCE,full_CE,40,-8.459164140125115e-05,-0.0001276128230771671,-4.220144396337372e-05,20000,-0.00010076284408569336
SHARED1_PERSISTENCE,full_BA,40,5.208333333333475e-05,-0.0003124999999999982,0.00034374999999999825,20000,0.0001933333333333298
SHARED1_PERSISTENCE,Ponly_CE,40,-4.059158576031526e-05,-6.942175561562181e-05,-1.2146154185757042e-05,20000,-5.059778690338135e-05
SHARED1_PERSISTENCE,Ponly_BA,40,0.0001666666666666675,1.0416666666666668e-05,0.0003333333333333364,20000,0.00019333333333333426
SHARED1_PERSISTENCE,rho1,40,-5.8355192110563303e-05,-0.00029770781945747635,0.00017555375156613678,20000,-8.003830909729004e-05
PU_PER_RAW,full_CE,40,-0.0005476832545051973,-0.0007884621166158467,-0.00031374937660681756,20000,-0.0005638986825942993
PU_PER_RAW,full_BA,40,0.0005416666666666735,-0.00022916666666665718,0.001302083333333342,20000,0.00040666666666667073
PU_PER_RAW,Ponly_CE,40,-0.0003979362392177185,-0.0005739480144499491,-0.00021630899126951988,20000,-0.0004103744029998779
PU_PER_RAW,Ponly_BA,40,0.0006145833333333374,-0.00014583333333333053,0.0014374999999999985,20000,0.0004133333333333411
PU_PER_RAW,rho1,40,-4.2000329509998215e-06,-0.00020311567156265176,0.00019004732605632549,20000,-2.4586915969848633e-05
BALANCED,full_CE,40,-0.0005574593475709358,-0.000784336725094666,-0.00032346198257679807,20000,-0.0005834800004959106
BALANCED,full_BA,40,0.00057291666666667,-0.0002708333333333319,0.0014479166666666724,20000,0.0004000000000000048
BALANCED,Ponly_CE,40,-0.00040636799919108554,-0.0005791282071731986,-0.00022598722794403661,20000,-0.0004265040159225464
BALANCED,Ponly_BA,40,0.0005625000000000041,-0.00022916666666666043,0.0014062499999999997,20000,0.00037333333333334107
BALANCED,rho1,40,1.637089784101894e-05,-0.00017557371696360255,0.00020456489532080013,20000,-6.878376007080078e-07
CONFLICT_AWARE,full_CE,40,-0.0005574591613064209,-0.0007865874760318547,-0.0003198218124452979,20000,-0.0005834800004959106
CONFLICT_AWARE,full_BA,40,0.00057291666666667,-0.00029166666666665677,0.0014583333333333338,20000,0.0004000000000000048
CONFLICT_AWARE,Ponly_CE,40,-0.00040636818545560047,-0.0005792652004553626,-0.00022485868927712253,20000,-0.0004265040159225464
CONFLICT_AWARE,Ponly_BA,40,0.0005625000000000041,-0.000239583333333325,0.0014166666666666603,20000,0.00037333333333334107
CONFLICT_AWARE,rho1,40,1.6371130671662594e-05,-0.00017605921918099435,0.0002029217680925888,20000,-6.878376007080078e-07
