fold,meta_fold,objective,layer,train_val_cosine
0,0,FULL_CE,TOTAL,0.28516462445259094
0,0,FULL_CE,depth1.weight,0.24204881489276886
0,0,FULL_CE,depth2.weight,0.35216155648231506
0,0,FULL_CE,point1.weight,0.26011866331100464
0,0,FULL_CE,point2.weight,0.36543068289756775
0,0,P_UTILITY,TOTAL,0.2875678241252899
0,0,P_UTILITY,depth1.weight,0.26561808586120605
0,0,P_UTILITY,depth2.weight,0.42032530903816223
0,0,P_UTILITY,point1.weight,0.24510031938552856
0,0,P_UTILITY,point2.weight,0.4092896580696106
0,0,SHARED1_PERSISTENCE,TOTAL,-0.04509050026535988
0,0,SHARED1_PERSISTENCE,depth1.weight,0.2514866292476654
0,0,SHARED1_PERSISTENCE,depth2.weight,
0,0,SHARED1_PERSISTENCE,point1.weight,-0.19439895451068878
0,0,SHARED1_PERSISTENCE,point2.weight,
0,1,FULL_CE,TOTAL,0.4692142903804779
0,1,FULL_CE,depth1.weight,0.5840148329734802
0,1,FULL_CE,depth2.weight,0.313777893781662
0,1,FULL_CE,point1.weight,0.4938874840736389
0,1,FULL_CE,point2.weight,0.39200180768966675
0,1,P_UTILITY,TOTAL,0.4705337584018707
0,1,P_UTILITY,depth1.weight,0.6174426674842834
0,1,P_UTILITY,depth2.weight,0.2121189385652542
0,1,P_UTILITY,point1.weight,0.49131330847740173
0,1,P_UTILITY,point2.weight,0.3232667148113251
0,1,SHARED1_PERSISTENCE,TOTAL,-0.3676881790161133
0,1,SHARED1_PERSISTENCE,depth1.weight,-0.3861250579357147
0,1,SHARED1_PERSISTENCE,depth2.weight,
0,1,SHARED1_PERSISTENCE,point1.weight,-0.3649100065231323
0,1,SHARED1_PERSISTENCE,point2.weight,
0,2,FULL_CE,TOTAL,0.39630264043807983
0,2,FULL_CE,depth1.weight,0.5720928907394409
0,2,FULL_CE,depth2.weight,0.22292640805244446
0,2,FULL_CE,point1.weight,0.40999338030815125
0,2,FULL_CE,point2.weight,0.321960985660553
0,2,P_UTILITY,TOTAL,0.3680216372013092
0,2,P_UTILITY,depth1.weight,0.5331786274909973
0,2,P_UTILITY,depth2.weight,0.1575058251619339
0,2,P_UTILITY,point1.weight,0.39021405577659607
0,2,P_UTILITY,point2.weight,0.18739444017410278
0,2,SHARED1_PERSISTENCE,TOTAL,-0.09804286062717438
0,2,SHARED1_PERSISTENCE,depth1.weight,-0.15971457958221436
