direction,meta_splits,task_improve_fraction,Ponly_improve_fraction,persistence_improve_fraction,Ponly_and_persistence_fraction,task_and_persistence_fraction,all_three_improve_fraction
FULL_CE,25,0.76,0.76,0.72,0.56,0.56,0.56
P_UTILITY,25,0.76,0.76,0.6,0.44,0.44,0.44
SHARED1_PERSISTENCE,25,0.8,0.68,0.36,0.24,0.36,0.24
PU_PER_RAW,25,0.8,0.8,0.44,0.32,0.32,0.32
BALANCED,25,0.8,0.8,0.44,0.32,0.32,0.32
CONFLICT_AWARE,25,0.8,0.8,0.44,0.32,0.32,0.32
