task,fold,role,session,subject,variant,BA,macro_F1,NLL,rescued_errors,damaged_correct,trials,oracle_status,label,baseline_BA,static_V3_BA,oracle_1dir_BA,oracle_top3_BA,oracle_headroom_source,oracle_BA_used_for_headroom,router_BA_gain,oracle_BA_headroom,fraction_oracle_headroom_recovered,label_scope
OpenBMI_MI,0,discovery,1,8,ROUTER,0.87,0.8696741854636592,0.2721410763519816,0,0,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,2,8,ROUTER,0.71,0.7092731829573935,0.5440266705397516,0,0,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,1,9,ROUTER,0.87,0.8693598633303186,0.3592447085585445,1,3,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,2,9,ROUTER,0.64,0.6376811594202898,0.8041529684048146,1,0,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,1,11,ROUTER,0.76,0.7536945812807883,0.5201727324165404,0,2,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,2,11,ROUTER,0.68,0.6637242538881883,0.6075177614437416,0,1,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,1,14,ROUTER,0.8500000000000001,0.8492613807657522,0.36608782983385024,0,1,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,2,14,ROUTER,0.69,0.6892230576441103,0.6500350847328081,0,1,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,1,19,ROUTER,0.75,0.742559983523839,0.45450309982057663,2,0,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,2,19,ROUTER,0.74,0.7390606182256123,0.5258686301764101,2,1,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,1,26,ROUTER,0.86,0.8599439775910365,0.2817158223874867,0,1,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
OpenBMI_MI,0,discovery,2,26,ROUTER,0.81,0.8090644156366193,0.3515943425917067,0,3,100,FROZEN_REFERENCE_OR_ROUTER,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT,,,,,,,,,,
