task,fold,role,direction,classification,group_argmax_alpha,peak_near_native_significant,peak_minus_alpha0_ci95_low,peak_minus_alpha2_ci95_low,subject_argmax_alpha_distribution,mean_margin_curve,biological_subjects,label_scope
OpenBMI_MI,0,inner_train,0,MONOTONIC_DECREASING,0.0,False,nan,nan,"{""0.0"": 13, ""0.25"": 3, ""0.5"": 2, ""0.75"": 2, ""1.0"": 1, ""1.25"": 1, ""1.5"": 0, ""2.0"": 4}","[1.7250654697418213, 1.724625825881958, 1.7238903045654297, 1.7228535413742065, 1.7215244770050049, 1.719908595085144, 1.7180055379867554, 1.7133923768997192]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 7, ""0.25"": 1, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 1, ""1.5"": 1, ""2.0"": 15}","[1.7122080326080322, 1.7150925397872925, 1.7176146507263184, 1.7197638750076294, 1.7215244770050049, 1.7228970527648926, 1.7238872051239014, 1.7247710227966309]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,NONMONOTONIC,0.75,False,-0.00044222650467418134,0.0010541671654209495,"{""0.0"": 10, ""0.25"": 1, ""0.5"": 2, ""0.75"": 1, ""1.0"": 3, ""1.25"": 2, ""1.5"": 1, ""2.0"": 6}","[1.7205549478530884, 1.7212474346160889, 1.7216547727584839, 1.721748948097229, 1.7215244770050049, 1.7209941148757935, 1.7201765775680542, 1.7177599668502808]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,3,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 9, ""0.25"": 0, ""0.5"": 1, ""0.75"": 0, ""1.0"": 0, ""1.25"": 2, ""1.5"": 0, ""2.0"": 14}","[1.7186341285705566, 1.719506025314331, 1.720278263092041, 1.7209522724151611, 1.7215244770050049, 1.721990704536438, 1.7223474979400635, 1.7227272987365723]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,4,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 9, ""0.25"": 0, ""0.5"": 0, ""0.75"": 0, ""1.0"": 1, ""1.25"": 1, ""1.5"": 2, ""2.0"": 13}","[1.7177706956863403, 1.718961238861084, 1.7199867963790894, 1.7208447456359863, 1.7215244770050049, 1.7220202684402466, 1.7223292589187622, 1.7224290370941162]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,5,NONMONOTONIC,0.75,False,-0.000856122700497508,-0.0006126217776909471,"{""0.0"": 12, ""0.25"": 1, ""0.5"": 2, ""0.75"": 0, ""1.0"": 1, ""1.25"": 0, ""1.5"": 1, ""2.0"": 9}","[1.7212281227111816, 1.7214674949645996, 1.7215962409973145, 1.7216150760650635, 1.7215244770050049, 1.7213224172592163, 1.721010446548462, 1.7200592756271362]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,6,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 5, ""0.25"": 0, ""0.5"": 0, ""0.75"": 1, ""1.0"": 0, ""1.25"": 0, ""1.5"": 1, ""2.0"": 19}","[1.705121397972107, 1.7100497484207153, 1.714424729347229, 1.7182477712631226, 1.7215244770050049, 1.7242642641067505, 1.7264821529388428, 1.729434847831726]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,7,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 3, ""0.25"": 1, ""0.5"": 3, ""0.75"": 1, ""1.0"": 3, ""1.25"": 1, ""1.5"": 1, ""2.0"": 13}","[1.7167505025863647, 1.7182344198226929, 1.7195311784744263, 1.7206320762634277, 1.7215244770050049, 1.7222107648849487, 1.7226910591125488, 1.7230528593063354]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,8,MONOTONIC_INCREASING,2.0,False,nan,nan,"{""0.0"": 3, ""0.25"": 2, ""0.5"": 0, ""0.75"": 0, ""1.0"": 0, ""1.25"": 0, ""1.5"": 3, ""2.0"": 18}","[1.691861867904663, 1.7006266117095947, 1.7084993124008179, 1.7154650688171387, 1.7215244770050049, 1.7266889810562134, 1.7309792041778564, 1.737058401107788]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,9,NONMONOTONIC,0.5,False,nan,nan,"{""0.0"": 11, ""0.25"": 0, ""0.5"": 0, ""0.75"": 2, ""1.0"": 1, ""1.25"": 0, ""1.5"": 1, ""2.0"": 11}","[1.7220784425735474, 1.7223701477050781, 1.7223784923553467, 1.7220985889434814, 1.7215244770050049, 1.7206647396087646, 1.7195281982421875, 1.7164803743362427]",26,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
