task,fold,triggered,status,train_trial_count,train_subject_count,train_session_count,discovery_trial_count,discovery_subject_count,discovery_session_count,feature_count,train_action_class_counts,discovery_oracle_action_class_counts,subject_disjoint,label_scope
OpenBMI_MI,0,True,READY,5200,26,2,1200,6,2,36,"[2319, 0, 2881]","[515, 0, 685]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,1,True,READY,5200,26,2,1200,6,2,38,"[2192, 32, 2976]","[524, 8, 668]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,2,True,READY,5200,26,2,1200,6,2,34,"[2360, 0, 2840]","[459, 0, 741]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,3,True,READY,5200,26,2,1200,6,2,34,"[2307, 4, 2889]","[500, 0, 700]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,4,True,READY,5200,26,2,1200,6,2,34,"[2113, 0, 3087]","[544, 0, 656]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_ERP,0,True,READY,102960,26,2,23760,6,2,44,"[35127, 1279, 66554]","[7482, 224, 16054]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_ERP,1,True,READY,102960,26,2,23760,6,2,44,"[30874, 2294, 69792]","[7057, 467, 16236]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_ERP,2,True,READY,102960,26,2,23760,6,2,42,"[30727, 1445, 70788]","[7336, 290, 16134]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_ERP,3,True,READY,102960,26,2,23760,6,2,34,"[30848, 787, 71325]","[7124, 142, 16494]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_ERP,4,True,READY,102960,26,2,23760,6,2,34,"[29880, 1148, 71932]","[7357, 203, 16200]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_SSVEP,0,True,READY,5200,26,2,1200,6,2,36,"[1959, 1043, 2198]","[436, 186, 578]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_SSVEP,1,True,READY,5200,26,2,1200,6,2,44,"[2191, 959, 2050]","[466, 219, 515]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_SSVEP,2,True,READY,5200,26,2,1200,6,2,36,"[1987, 845, 2368]","[471, 137, 592]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_SSVEP,3,True,READY,5200,26,2,1200,6,2,44,"[2089, 1055, 2056]","[460, 181, 559]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_SSVEP,4,True,READY,5200,26,2,1200,6,2,36,"[2199, 864, 2137]","[475, 210, 515]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
WBCIC_MI,0,True,READY,11397,19,3,2994,5,3,30,"[4281, 0, 7116]","[1315, 0, 1679]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
WBCIC_MI,1,True,READY,11997,20,3,2994,5,3,30,"[4816, 1, 7180]","[1154, 0, 1840]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
WBCIC_MI,2,True,READY,11993,20,3,3000,5,3,30,"[5318, 88, 6587]","[1264, 28, 1708]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
WBCIC_MI,3,True,READY,11998,20,3,3000,5,3,28,"[5281, 0, 6717]","[1273, 0, 1727]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
WBCIC_MI,4,True,READY,11991,20,3,3000,5,3,28,"[5323, 0, 6668]","[1390, 0, 1610]",True,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
