task,fold,role,session,subject,direction,train_U_P,D_margin,D_CE,local_actionability,utility_action_quadrant,label_scope
OpenBMI_MI,0,inner_train,1,1,0,-0.003540023689031211,0.002656698226928711,0.000415802001953125,AMPLIFY,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,1,0.009314711964039955,0.007723569869995117,0.00026738643646240234,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,2,0.0009696265404342669,0.003503084182739258,-0.0008155703544616699,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,3,0.0028918306849776013,0.0002758502960205078,0.0020119547843933105,PLATEAU,B_USEFUL_PLATEAU,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,4,0.0037543704065683414,-0.002251863479614258,0.005182027816772461,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,5,0.00029651051891750493,0.006615161895751953,-0.0027194619178771973,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,6,0.016403615913497142,0.017357349395751953,-0.007933616638183594,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,7,0.0047730627070100475,0.03529691696166992,-0.003210902214050293,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,8,0.02965977140299331,0.041837453842163086,0.008498132228851318,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,9,-0.0005533329486542453,-0.013233423233032227,0.0025557279586791992,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,10,0.004219093044342186,0.02480149269104004,-0.005194723606109619,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,11,0.002305248283496789,-0.0010423660278320312,-0.0020629167556762695,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,12,-6.252592944432623e-05,-0.012483835220336914,0.004274845123291016,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,13,0.00016973708261502907,-0.007573366165161133,0.008428692817687988,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,14,0.00012141609854902177,-0.021051406860351562,0.003262937068939209,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,1,1,15,0.0011208738114174383,0.0003387928009033203,0.0070035457611083984,PLATEAU,B_USEFUL_PLATEAU,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,1,0,-0.003540023689031211,-0.0019562244415283203,0.00040543079376220703,SUPPRESS,D_NONPOSITIVE_UTILITY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,1,1,0.009314711964039955,0.008927106857299805,0.004700064659118652,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,1,2,0.0009696265404342669,-0.004153728485107422,0.003236532211303711,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,1,3,0.0028918306849776013,-0.003738880157470703,0.003378748893737793,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,1,4,0.0037543704065683414,-0.009598493576049805,0.004771828651428223,SUPPRESS,C_USEFUL_AMPLIFY_HARM,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
OpenBMI_MI,0,inner_train,2,1,5,0.00029651051891750493,0.002980947494506836,0.0015815496444702148,AMPLIFY,A_USEFUL_AMPLIFY,DEVELOPMENT_ONLY_NO_FINAL_HELDOUT
