dataset,model,outer_fold,seed,learning_rate,weight_decay,selected_epoch,validation_balanced_accuracy
hmc,cbramod,0,0,0.001,0.0,30,0.4755297805778354
hmc,cbramod,0,1,0.001,0.0,30,0.4963682168155829
hmc,cbramod,0,2,0.001,0.0,30,0.4839340038078811
hmc,cbramod,0,3,0.001,0.0,30,0.5112426430906478
hmc,cbramod,0,4,0.001,0.0,30,0.4968758676495493
hmc,cbramod,1,0,0.001,0.0,30,0.5207256342944955
hmc,cbramod,1,1,0.001,0.0,30,0.5170666676481611
hmc,cbramod,1,2,0.001,0.0,30,0.516706472431139
hmc,cbramod,1,3,0.001,0.0,30,0.5208687854225712
hmc,cbramod,1,4,0.001,0.0,30,0.5301036606059569
hmc,cbramod,2,0,0.001,0.0,30,0.48114955220194294
hmc,cbramod,2,1,0.001,0.0,30,0.4853592569688862
hmc,cbramod,2,2,0.001,0.0,30,0.47140541383170176
hmc,cbramod,2,3,0.001,0.0,30,0.496074593959461
hmc,cbramod,2,4,0.001,0.0,30,0.4946245781893854
hmc,cbramod,3,0,0.001,0.0,29,0.463110365969324
hmc,cbramod,3,1,0.001,0.0,30,0.4591491341307433
hmc,cbramod,3,2,0.001,0.0,30,0.4511106554992438
hmc,cbramod,3,3,0.001,0.0,30,0.4684132715524523
hmc,cbramod,3,4,0.001,0.0,30,0.47114415850564473
hmc,cbramod,4,0,0.001,0.0,30,0.48290357470660555
hmc,cbramod,4,1,0.001,0.0,30,0.4818592149608777
hmc,cbramod,4,2,0.001,0.0,30,0.4661701157097199
hmc,cbramod,4,3,0.001,0.0,30,0.47785559156847307
hmc,cbramod,4,4,0.001,0.0,30,0.4876387597206695
hmc,labram,0,0,0.001,0.0,30,0.4920430458887862
hmc,labram,0,1,0.0003,0.0,5,0.1999893179039523
hmc,labram,0,2,0.001,0.0,30,0.5088168055649074
hmc,labram,0,3,0.001,0.0,30,0.505142807098005
hmc,labram,0,4,0.001,0.0,30,0.5349472471991902
hmc,labram,1,0,0.001,0.0,30,0.5422999538528368
hmc,labram,1,1,0.001,0.0,12,0.427780186427314
hmc,labram,1,2,0.001,0.0,30,0.5332548810663355
hmc,labram,1,3,0.001,0.0,30,0.5514824901563398
hmc,labram,1,4,0.001,0.0,27,0.5660006480912279
hmc,labram,2,0,0.001,0.0,30,0.5019727391996979
hmc,labram,2,1,0.001,0.0,11,0.4003072849737772
hmc,labram,2,2,0.001,0.0,30,0.5004481308338018
hmc,labram,2,3,0.001,0.0,30,0.5172280620973101
hmc,labram,2,4,0.001,0.0,30,0.5318129156957283
hmc,labram,3,0,0.001,0.0,30,0.5051876625908737
hmc,labram,3,1,0.001,0.0,11,0.405628715676026
