model,fold,seed,protected_rank,active_rank,protected_coordinates,subject,protected_BA_S1,protected_BA_S2,random_BA_S1,random_BA_S2,protected_only_WSBA,random_only_WSBA,PSWA_pp,random_draws,checkpoint_sha256,normalizer_sha256
EEGNet,0,0,3,20,"[0, 1, 3]",sub-03,0.625,0.6950000000000001,0.56335,0.57645,0.625,0.5534500000000001,7.154999999999989,100,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253
EEGNet,0,0,3,20,"[0, 1, 3]",sub-08,0.55,0.56,0.53425,0.5331999999999999,0.55,0.5154500000000001,3.454999999999997,100,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253
EEGNet,0,0,3,20,"[0, 1, 3]",sub-10,0.53,0.5,0.5266000000000001,0.5237,0.5,0.5082000000000001,-0.8200000000000096,100,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253
SIRE-EEG,0,0,6,20,"[3, 4, 5, 6, 7, 8]",sub-03,0.6950000000000001,0.6950000000000001,0.6292,0.6204500000000001,0.6950000000000001,0.6094499999999999,8.555000000000012,100,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253
SIRE-EEG,0,0,6,20,"[3, 4, 5, 6, 7, 8]",sub-08,0.585,0.575,0.5257000000000001,0.52915,0.575,0.516,5.899999999999994,100,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253
SIRE-EEG,0,0,6,20,"[3, 4, 5, 6, 7, 8]",sub-10,0.6100000000000001,0.65,0.5406000000000001,0.5475999999999999,0.6100000000000001,0.52825,8.17500000000001,100,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253
EEGNet,1,0,3,20,"[0, 1, 2]",sub-05,0.49,0.495,0.5231500000000001,0.49715,0.49,0.48839999999999995,0.16000000000000458,100,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb
EEGNet,1,0,3,20,"[0, 1, 2]",sub-06,0.5249999999999999,0.59,0.5420500000000001,0.5608499999999998,0.5249999999999999,0.5283000000000001,-0.33000000000001917,100,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb
EEGNet,1,0,3,20,"[0, 1, 2]",sub-12,0.5549999999999999,0.54,0.49555,0.51025,0.54,0.4826499999999999,5.735000000000012,100,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb
SIRE-EEG,1,0,1,20,[3],sub-05,0.62,0.53,0.5073500000000001,0.49269999999999997,0.53,0.47715,5.285000000000001,100,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb
SIRE-EEG,1,0,1,20,[3],sub-06,0.62,0.6499999999999999,0.51705,0.50095,0.62,0.48719999999999997,13.280000000000003,100,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb
