diagnostic,model,biological_subjects,mean_pp,CI95_low_pp,CI95_high_pp,protected_ranks_by_fold,nonempty_coverage,intact_ridge_BA,matched_rank_random_control_BA,protected_ridge_BA,bootstrap_draws,empty_protected_convention
PEEH,EEGNet,12,5.687916666666665,2.1390833333333314,9.520843749999996,"[3, 3, 2, 2, 2]",5/5,0.6383333333333333,0.6264625,0.5695833333333333,20000,exactly 0 PEEH effect
PSWA,EEGNet,12,7.232500000000001,2.698614583333335,12.702260416666647,"[3, 3, 2, 2, 2]",5/5,,0.5185083333333333,0.5908333333333333,20000,undefined and omitted
PEEH,SIRE-EEG,12,4.4762500000000065,0.8754166666666765,8.535416666666668,"[6, 1, 3, 3, 2]",5/5,0.665,0.6497625000000001,0.6049999999999999,20000,exactly 0 PEEH effect
PSWA,SIRE-EEG,12,7.555000000000002,4.5553854166666685,10.372510416666668,"[6, 1, 3, 3, 2]",5/5,,0.5307,0.6062500000000001,20000,undefined and omitted
