subject_id,BA,macro_F1,accuracy,recall_0,recall_1,trials
15,0.49,0.47482236638863146,0.49,0.32,0.66,100
38,0.57,0.5017958521608157,0.57,0.94,0.2,100
6,0.77,0.7699769976997699,0.77,0.78,0.76,100
33,0.6799999999999999,0.6794871794871795,0.68,0.72,0.64,100
32,0.74,0.7395833333333333,0.74,0.78,0.7,100
3,0.75,0.74997499749975,0.75,0.74,0.76,100
5,0.73,0.7286704853783539,0.73,0.8,0.66,100
47,0.61,0.5882166613873931,0.61,0.38,0.84,100
26,0.71,0.7076318177235609,0.71,0.62,0.8,100
2,0.48,0.47916666666666663,0.48,0.44,0.52,100
14,0.56,0.5592948717948718,0.56,0.6,0.52,100
31,0.62,0.6198479391756703,0.62,0.6,0.64,100
28,0.6799999999999999,0.6788438378161381,0.68,0.62,0.74,100
35,0.6699999999999999,0.6601791782514674,0.67,0.84,0.5,100
