task,seed,fold,subject_id,trials,selected_epoch,changed_prediction_percentage,B0_BA,StatsResidual_BA,delta_BA_pp,B0_macro_F1,StatsResidual_macro_F1,delta_macro_F1_pp,B0_accuracy,StatsResidual_accuracy,delta_accuracy_pp
WBCIC_MI,0,0,sub-6,200,0,0.0,0.935,0.935,0.0,0.934998374959374,0.934998374959374,0.0,0.935,0.935,0.0
WBCIC_MI,0,0,sub-22,200,0,0.0,0.78,0.78,0.0,0.7794486215538847,0.7794486215538847,0.0,0.78,0.78,0.0
WBCIC_MI,0,0,sub-44,200,0,0.0,0.785,0.785,0.0,0.7826032002831214,0.7826032002831214,0.0,0.785,0.785,0.0
WBCIC_MI,0,0,sub-35,200,0,0.0,0.885,0.885,0.0,0.8841630782402861,0.8841630782402861,0.0,0.885,0.885,0.0
WBCIC_MI,0,0,sub-18,200,0,0.0,0.645,0.645,0.0,0.6410424934907354,0.6410424934907354,0.0,0.645,0.645,0.0
WBCIC_MI,0,0,sub-9,200,0,0.0,0.55,0.55,0.0,0.5471014492753623,0.5471014492753623,0.0,0.55,0.55,0.0
WBCIC_MI,0,0,sub-49,200,0,0.0,0.875,0.875,0.0,0.8744696342045141,0.8744696342045141,0.0,0.875,0.875,0.0
WBCIC_MI,0,1,sub-28,200,0,0.0,0.545,0.545,0.0,0.4326506437233081,0.4326506437233081,0.0,0.545,0.545,0.0
WBCIC_MI,0,1,sub-37,200,0,0.0,0.855,0.855,0.0,0.8547057792028858,0.8547057792028858,0.0,0.855,0.855,0.0
WBCIC_MI,0,1,sub-12,200,0,0.0,0.75,0.75,0.0,0.74997499749975,0.74997499749975,0.0,0.75,0.75,0.0
WBCIC_MI,0,1,sub-30,200,0,0.0,0.77,0.77,0.0,0.7622984704423315,0.7622984704423315,0.0,0.77,0.77,0.0
WBCIC_MI,0,1,sub-45,200,0,0.0,0.925,0.925,0.0,0.9249981249531238,0.9249981249531238,0.0,0.925,0.925,0.0
WBCIC_MI,0,1,sub-7,200,0,0.0,0.795,0.795,0.0,0.7949538646195394,0.7949538646195394,0.0,0.795,0.795,0.0
WBCIC_MI,0,2,sub-50,200,1,0.0,0.94,0.94,0.0,0.9399038461538461,0.9399038461538461,0.0,0.94,0.94,0.0
WBCIC_MI,0,2,sub-14,200,1,2.0,0.515,0.505,-1.0000000000000009,0.5144051463042227,0.5034980816971338,-1.09070646070889,0.515,0.505,-1.0000000000000009
WBCIC_MI,0,2,sub-1,200,1,0.0,0.905,0.905,0.0,0.9045969219954307,0.9045969219954307,0.0,0.905,0.905,0.0
WBCIC_MI,0,2,sub-32,200,1,1.5,0.605,0.6,-0.5000000000000004,0.6005965772643393,0.5941558441558441,-0.6440733108495245,0.605,0.6,-0.5000000000000004
WBCIC_MI,0,2,sub-23,200,1,0.0,0.97,0.97,0.0,0.9699729756781104,0.9699729756781104,0.0,0.97,0.97,0.0
WBCIC_MI,0,2,sub-34,200,1,0.5,0.6000000000000001,0.595,-0.5000000000000115,0.5980303487086724,0.5932816148226256,-0.47487338860467965,0.6,0.595,-0.5000000000000004
WBCIC_MI,0,3,sub-24,195,0,0.0,0.9182449494949495,0.9182449494949495,0.0,0.9179465600673259,0.9179465600673259,0.0,0.9179487179487179,0.9179487179487179,0.0
WBCIC_MI,0,3,sub-13,200,0,0.0,0.89,0.89,0.0,0.89,0.89,0.0,0.89,0.89,0.0
WBCIC_MI,0,3,sub-11,200,0,0.0,0.6950000000000001,0.6950000000000001,0.0,0.6940745755911633,0.6940745755911633,0.0,0.695,0.695,0.0
WBCIC_MI,0,3,sub-29,200,0,0.0,0.895,0.895,0.0,0.8944060339409177,0.8944060339409177,0.0,0.895,0.895,0.0
WBCIC_MI,0,3,sub-26,200,0,0.0,0.73,0.73,0.0,0.7282608695652174,0.7282608695652174,0.0,0.73,0.73,0.0
WBCIC_MI,0,3,sub-47,200,0,0.0,0.915,0.915,0.0,0.9148957472904308,0.9148957472904308,0.0,0.915,0.915,0.0
WBCIC_MI,0,4,sub-36,200,0,0.0,0.965,0.965,0.0,0.9649781113195748,0.9649781113195748,0.0,0.965,0.965,0.0
WBCIC_MI,0,4,sub-16,200,0,0.0,0.575,0.575,0.0,0.5658724686534385,0.5658724686534385,0.0,0.575,0.575,0.0
WBCIC_MI,0,4,sub-48,200,0,0.0,0.865,0.865,0.0,0.8649696181640869,0.8649696181640869,0.0,0.865,0.865,0.0
WBCIC_MI,0,4,sub-41,200,0,0.0,0.87,0.87,0.0,0.8699869986998701,0.8699869986998701,0.0,0.87,0.87,0.0
WBCIC_MI,0,4,sub-5,200,0,0.0,0.78,0.78,0.0,0.7794486215538847,0.7794486215538847,0.0,0.78,0.78,0.0
WBCIC_MI,0,4,sub-27,200,0,0.0,0.6699999999999999,0.6699999999999999,0.0,0.6683750376846548,0.6683750376846548,0.0,0.67,0.67,0.0
