task,seed,fold,epoch,inner_val_BA,inner_val_macro_F1,inner_val_accuracy,delta_BA_vs_epoch0_pp,dW_norm,db_norm,residual_logit_norm_mean,residual_logit_norm_max,base_final_logit_cosine_mean,changed_prediction_percentage,training_CE,regularization_term,selected_at_epoch
WBCIC_MI,0,0,0,0.687679292929293,0.6843143979025446,0.6876666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33880615234375,0.0,True
WBCIC_MI,0,0,1,0.6866792929292929,0.6838828895540121,0.6866666666666668,-0.10000000000001119,0.0179958064109087,0.0019116103649139404,0.04349246993660927,0.08437731862068176,0.9994493722915649,1.105527638190955,0.33816419726016256,9.445036791640408e-10,False
WBCIC_MI,0,0,2,0.679669191919192,0.6773864870034714,0.6796410256410257,-0.8010101010101023,0.028851445764303207,0.00309805222786963,0.06949296593666077,0.13393086194992065,0.9986045360565186,2.0100502512562812,0.3375767497690285,5.266065670726346e-09,False
WBCIC_MI,0,0,3,0.6786691919191918,0.6766912376516749,0.6786410256410257,-0.9010101010101135,0.03628277778625488,0.0038418956100940704,0.08667174726724625,0.1682572066783905,0.9978436827659607,2.3115577889447234,0.337418645118214,1.0121486995756586e-08,False
WBCIC_MI,0,0,4,0.6786691919191921,0.6768759195802799,0.6786410256410257,-0.9010101010100913,0.040683548897504807,0.0041983164846897125,0.09509153664112091,0.1860353648662567,0.99741530418396,2.512562814070352,0.3374003899698432,1.4251709639051227e-08,False
WBCIC_MI,0,0,5,0.6786691919191921,0.6768759195802799,0.6786410256410257,-0.9010101010100913,0.04276642948389053,0.0043436805717647076,0.09702488780021667,0.18952113389968872,0.997312605381012,2.512562814070352,0.3373762585229586,1.6213109801663205e-08,False
WBCIC_MI,0,1,0,0.8987196969696969,0.8986172569606683,0.8987692307692308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2877308130264282,0.0,True
WBCIC_MI,0,1,1,0.8987196969696969,0.8986172569606683,0.8987692307692308,0.0,0.006017851643264294,0.0002465888683218509,0.0036440303083509207,0.01589040458202362,0.9999967217445374,0.0,0.2877474359621089,8.066173056692696e-11,False
WBCIC_MI,0,1,2,0.8987196969696969,0.8986172569606683,0.8987692307692308,0.0,0.011405274271965027,0.00037626505945809186,0.005219865590333939,0.03711845353245735,0.9999925494194031,0.0,0.28767044219699994,3.2391250012460643e-10,False
WBCIC_MI,0,1,3,0.8987196969696969,0.8986172569606683,0.8987692307692308,0.0,0.016541078686714172,0.0006122150225564837,0.009587056934833527,0.05435580015182495,0.9999774098396301,0.0,0.2876296016787445,8.938257915898588e-10,False
WBCIC_MI,0,1,4,0.8987196969696969,0.8986172569606683,0.8987692307692308,0.0,0.021685095503926277,0.0007386218057945371,0.011503451503813267,0.07492420822381973,0.9999666213989258,0.0,0.287588522395328,1.6777341976337808e-09,False
WBCIC_MI,0,1,5,0.8987196969696969,0.8986172569606683,0.8987692307692308,0.0,0.02630646713078022,0.0006332541815936565,0.005802498664706945,0.1270640343427658,0.999988317489624,0.0,0.2875306731956637,2.4545255463694907e-09,False
WBCIC_MI,0,2,0,0.8960000000000001,0.8959600287388201,0.8960000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3029230535030365,0.0,True
WBCIC_MI,0,2,1,0.897,0.8969567445708126,0.897,0.09999999999998899,0.014069662429392338,0.0017306124791502953,0.06569317728281021,0.7346171736717224,0.9924485087394714,1.5,0.30247239994686764,7.263044583809621e-10,True
