task,seed,subject_id,B0_BA,B0_macro_F1,B0_accuracy,StatsResidual_BA,StatsResidual_macro_F1,StatsResidual_accuracy,delta_BA_pp,delta_macro_F1_pp,delta_accuracy_pp,changed_prediction_percentage,trials
WBCIC_MI,0,sub-17,0.8300000000000001,0.8298282527846368,0.8299999999999998,0.8310000000000001,0.8308055019921022,0.8309999999999998,0.10000000000000231,0.09772492074654249,0.10000000000000009,0.3,200
WBCIC_MI,0,sub-19,0.943,0.9429657326549069,0.943,0.942,0.9419642571979165,0.942,-0.09999999999999787,-0.10014754569902973,-0.10000000000000009,0.1,200
WBCIC_MI,0,sub-2,0.755,0.7547447311077385,0.755,0.756,0.7557411556583162,0.756,0.10000000000000009,0.09964245505777569,0.10000000000000009,0.1,200
WBCIC_MI,0,sub-21,0.877,0.8768766964483664,0.877,0.876,0.8758797224542503,0.876,-0.10000000000000009,-0.0996973994116157,-0.10000000000000009,0.1,200
WBCIC_MI,0,sub-25,0.961,0.9609836131362283,0.961,0.962,0.9619848888434305,0.962,0.10000000000000009,0.10012757072022094,0.10000000000000009,0.1,200
WBCIC_MI,0,sub-3,0.807,0.8054390659397699,0.807,0.806,0.8044316836247425,0.806,-0.10000000000000009,-0.10073823150273276,-0.10000000000000009,0.1,200
WBCIC_MI,0,sub-31,0.607,0.5790263567356305,0.607,0.6060000000000001,0.5776588915383781,0.6060000000000001,-0.10000000000000009,-0.13674651972524154,-0.10000000000000009,0.1,200
WBCIC_MI,0,sub-33,0.968,0.9679977995849086,0.968,0.968,0.9679977995849086,0.968,0.0,0.0,0.0,0.0,200
WBCIC_MI,0,sub-38,0.489,0.4692376829656917,0.489,0.49000000000000005,0.47000580265404485,0.49000000000000005,0.10000000000000009,0.07681196883531527,0.10000000000000009,0.1,200
WBCIC_MI,0,sub-42,0.685,0.6842639053746478,0.6849999999999999,0.6839999999999999,0.6832440005935531,0.6839999999999999,-0.10000000000000009,-0.1019904781094727,-0.10000000000000009,0.1,200
