task,condition,subject_id,session,BA,macro_F1,folds
OpenBMI_MI,CE,12,S1,0.752,0.7458625263596701,5
OpenBMI_MI,CE,12,S2,0.706,0.695548628251893,5
OpenBMI_MI,CE,13,S1,0.706,0.6959766612447532,5
OpenBMI_MI,CE,13,S2,0.6639999999999999,0.6513737707063748,5
OpenBMI_MI,CE,17,S1,0.718,0.7170874038525407,5
OpenBMI_MI,CE,17,S2,0.58,0.5746828336006551,5
OpenBMI_MI,CE,18,S1,0.636,0.6347299755593315,5
OpenBMI_MI,CE,18,S2,0.608,0.6035603144153471,5
OpenBMI_MI,CE,24,S1,0.666,0.6652599447658313,5
OpenBMI_MI,CE,24,S2,0.546,0.5153363889837089,5
OpenBMI_MI,CE,25,S1,0.76,0.7525719959617978,5
OpenBMI_MI,CE,25,S2,0.982,0.981998199819982,5
OpenBMI_MI,CE,29,S1,0.6599999999999999,0.6450095281025092,5
OpenBMI_MI,CE,29,S2,0.726,0.7230578115013934,5
OpenBMI_MI,CE,36,S1,0.892,0.8918912881414134,5
OpenBMI_MI,CE,36,S2,0.876,0.8755029917921522,5
OpenBMI_MI,CE,37,S1,0.634,0.6305928645249909,5
OpenBMI_MI,CE,37,S2,0.6900000000000001,0.6738895354998345,5
OpenBMI_MI,CE,39,S1,0.804,0.8026836588754287,5
OpenBMI_MI,CE,39,S2,0.716,0.7140998285981274,5
OpenBMI_MI,CE,4,S1,0.6719999999999999,0.6708174314939824,5
OpenBMI_MI,CE,4,S2,0.762,0.7557658741392762,5
OpenBMI_MI,CE,42,S1,0.6799999999999999,0.6736411531693005,5
OpenBMI_MI,CE,42,S2,0.686,0.6822445256575185,5
OpenBMI_MI,CE,51,S1,0.688,0.6836079031846449,5
OpenBMI_MI,CE,51,S2,0.634,0.620747154326554,5
OpenBMI_MI,CE,54,S1,0.632,0.6296544013295265,5
OpenBMI_MI,CE,54,S2,0.714,0.7104422727991746,5
OpenBMI_MI,CE_PLUS_PRD,12,S1,0.75,0.7441098742944655,5
OpenBMI_MI,CE_PLUS_PRD,12,S2,0.6759999999999999,0.6662987168790023,5
OpenBMI_MI,CE_PLUS_PRD,13,S1,0.708,0.6961597092077298,5
OpenBMI_MI,CE_PLUS_PRD,13,S2,0.6439999999999999,0.6355025385932962,5
OpenBMI_MI,CE_PLUS_PRD,17,S1,0.726,0.7238317030910401,5
OpenBMI_MI,CE_PLUS_PRD,17,S2,0.5900000000000001,0.5831453176583855,5
OpenBMI_MI,CE_PLUS_PRD,18,S1,0.616,0.6146640756966626,5
OpenBMI_MI,CE_PLUS_PRD,18,S2,0.5980000000000001,0.5913142833159112,5
OpenBMI_MI,CE_PLUS_PRD,24,S1,0.6719999999999999,0.6701945683339605,5
OpenBMI_MI,CE_PLUS_PRD,24,S2,0.538,0.5097688855791758,5
OpenBMI_MI,CE_PLUS_PRD,25,S1,0.764,0.7562890008014322,5
OpenBMI_MI,CE_PLUS_PRD,25,S2,0.976,0.9759991999199921,5
OpenBMI_MI,CE_PLUS_PRD,29,S1,0.6799999999999999,0.6699182650946287,5
OpenBMI_MI,CE_PLUS_PRD,29,S2,0.674,0.6696306629212257,5
OpenBMI_MI,CE_PLUS_PRD,36,S1,0.8640000000000001,0.8636642013859899,5
OpenBMI_MI,CE_PLUS_PRD,36,S2,0.85,0.8497255402318953,5
OpenBMI_MI,CE_PLUS_PRD,37,S1,0.626,0.6217187464795376,5
OpenBMI_MI,CE_PLUS_PRD,37,S2,0.662,0.6416397831390764,5
OpenBMI_MI,CE_PLUS_PRD,39,S1,0.8160000000000001,0.8137183683790621,5
OpenBMI_MI,CE_PLUS_PRD,39,S2,0.678,0.6720855856865466,5
OpenBMI_MI,CE_PLUS_PRD,4,S1,0.65,0.6459146880081843,5
OpenBMI_MI,CE_PLUS_PRD,4,S2,0.748,0.7388506414945637,5
OpenBMI_MI,CE_PLUS_PRD,42,S1,0.662,0.6576224623392051,5
OpenBMI_MI,CE_PLUS_PRD,42,S2,0.694,0.6919309596502818,5
OpenBMI_MI,CE_PLUS_PRD,51,S1,0.69,0.6833280661430333,5
OpenBMI_MI,CE_PLUS_PRD,51,S2,0.632,0.6122374339526255,5
OpenBMI_MI,CE_PLUS_PRD,54,S1,0.648,0.6455951378982115,5
OpenBMI_MI,CE_PLUS_PRD,54,S2,0.702,0.6990466223913134,5
WBCIC_MI,CE,sub-10,S0,0.622,0.6086889047496378,5
WBCIC_MI,CE,sub-10,S1,0.666,0.6609304316738801,5
WBCIC_MI,CE,sub-10,S2,0.759,0.7556664376164672,5
WBCIC_MI,CE,sub-15,S0,0.746,0.7417156344488294,5
WBCIC_MI,CE,sub-15,S1,0.716,0.7121545362245871,5
WBCIC_MI,CE,sub-15,S2,0.673,0.6672025781533503,5
WBCIC_MI,CE,sub-20,S0,0.861,0.860127904901511,5
WBCIC_MI,CE,sub-20,S1,0.8150000000000001,0.8107969504470228,5
WBCIC_MI,CE,sub-20,S2,0.493,0.4781061962464622,5
WBCIC_MI,CE,sub-39,S0,0.484,0.4507219163544523,5
WBCIC_MI,CE,sub-39,S1,0.72,0.7092905473107538,5
WBCIC_MI,CE,sub-39,S2,0.781,0.7795956277177153,5
WBCIC_MI,CE,sub-4,S0,0.546,0.5221468091498179,5
WBCIC_MI,CE,sub-4,S1,0.567,0.5584384077195508,5
WBCIC_MI,CE,sub-4,S2,0.632,0.6225148765238846,5
WBCIC_MI,CE,sub-40,S0,0.7969999999999999,0.7905241004110464,5
WBCIC_MI,CE,sub-40,S1,0.702,0.6794148935006646,5
WBCIC_MI,CE,sub-40,S2,0.77,0.7667568679374827,5
WBCIC_MI,CE,sub-43,S0,0.954,0.9538404502891253,5
WBCIC_MI,CE,sub-43,S1,0.967,0.9669145115206488,5
WBCIC_MI,CE,sub-43,S2,0.9129999999999999,0.9115855295053518,5
WBCIC_MI,CE,sub-46,S0,0.9289999999999999,0.927572703167594,5
WBCIC_MI,CE,sub-46,S1,0.891,0.8882754832894942,5
WBCIC_MI,CE,sub-46,S2,0.8390000000000001,0.8321979651034683,5
WBCIC_MI,CE,sub-51,S0,0.662,0.659571572783124,5
WBCIC_MI,CE,sub-51,S1,0.7380000000000001,0.7271054881856296,5
WBCIC_MI,CE,sub-51,S2,0.737,0.7288745135139661,5
WBCIC_MI,CE,sub-8,S0,0.841,0.8395677532279053,5
WBCIC_MI,CE,sub-8,S1,0.866,0.8650006931387708,5
WBCIC_MI,CE,sub-8,S2,0.8639999999999999,0.8632069322336318,5
WBCIC_MI,CE_PLUS_PRD,sub-10,S0,0.62,0.5950369459642811,5
WBCIC_MI,CE_PLUS_PRD,sub-10,S1,0.667,0.6599500650903156,5
WBCIC_MI,CE_PLUS_PRD,sub-10,S2,0.7449999999999999,0.7359420946405635,5
WBCIC_MI,CE_PLUS_PRD,sub-15,S0,0.712,0.6912120115197131,5
WBCIC_MI,CE_PLUS_PRD,sub-15,S1,0.6910000000000001,0.6787012019257056,5
WBCIC_MI,CE_PLUS_PRD,sub-15,S2,0.658,0.6480983707518313,5
WBCIC_MI,CE_PLUS_PRD,sub-20,S0,0.8400000000000001,0.8362651664305087,5
WBCIC_MI,CE_PLUS_PRD,sub-20,S1,0.7689999999999999,0.7517260970411483,5
WBCIC_MI,CE_PLUS_PRD,sub-20,S2,0.485,0.44056320230785023,5
WBCIC_MI,CE_PLUS_PRD,sub-39,S0,0.475,0.41693480884020395,5
WBCIC_MI,CE_PLUS_PRD,sub-39,S1,0.72,0.6968081652384754,5
WBCIC_MI,CE_PLUS_PRD,sub-39,S2,0.786,0.7826664827221774,5
WBCIC_MI,CE_PLUS_PRD,sub-4,S0,0.538,0.4993857640522094,5
WBCIC_MI,CE_PLUS_PRD,sub-4,S1,0.568,0.5433792690682276,5
WBCIC_MI,CE_PLUS_PRD,sub-4,S2,0.619,0.5946554555943658,5
WBCIC_MI,CE_PLUS_PRD,sub-40,S0,0.762,0.7373511421129411,5
WBCIC_MI,CE_PLUS_PRD,sub-40,S1,0.6719999999999999,0.63313950120062,5
WBCIC_MI,CE_PLUS_PRD,sub-40,S2,0.746,0.7342617971788834,5
WBCIC_MI,CE_PLUS_PRD,sub-43,S0,0.915,0.9121229811265057,5
WBCIC_MI,CE_PLUS_PRD,sub-43,S1,0.9189999999999999,0.9139037881068981,5
WBCIC_MI,CE_PLUS_PRD,sub-43,S2,0.865,0.8541426725095909,5
WBCIC_MI,CE_PLUS_PRD,sub-46,S0,0.868,0.8539964937145372,5
WBCIC_MI,CE_PLUS_PRD,sub-46,S1,0.829,0.8086534273929219,5
WBCIC_MI,CE_PLUS_PRD,sub-46,S2,0.7809999999999999,0.7542983252185349,5
