pool,method_id,subjects,mean_subject_BA,mean_subject_accuracy,mean_subject_macro_f1,mean_subject_delta_BA_vs_B6,median_subject_delta_BA_vs_B6,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta_BA_vs_B6,OUTER_TEST_USED
exploration,ORACLE_KEEP_MENU,40,0.923125,0.923125,0.9227175213288209,0.07887499999999999,0.0799999999999999,0.06512499999999999,0.09337499999999996,0.975,1.0,0.0,False
holdout,ORACLE_KEEP_MENU,12,0.9229166666666666,0.9229166666666666,0.9225620834684559,0.06916666666666665,0.05249999999999999,0.0425,0.10041666666666665,1.0,1.0,0.015000000000000013,False
all_52_exploratory,ORACLE_KEEP_MENU,52,0.9230769230769231,0.9230769230769231,0.9226816510533519,0.07663461538461537,0.07,0.06432692307692306,0.08942548076923072,0.9807692307692307,1.0,0.0,False
