pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED
exploration,B6_ALL_RUN_LOGIT_MEAN,5,200,0.955,0.955,0.9549988749718743,0.955,0.955,0.9549988749718743,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,50,200,0.64,0.64,0.609375,0.64,0.64,0.609375,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,51,200,0.765,0.765,0.7649471131004475,0.765,0.765,0.7649471131004475,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,52,200,0.795,0.795,0.7949538646195394,0.795,0.795,0.7949538646195394,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,54,200,0.6950000000000001,0.695,0.6937059074590144,0.6950000000000001,0.695,0.6937059074590144,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,8,200,0.8300000000000001,0.83,0.8286117552172598,0.8300000000000001,0.83,0.8286117552172598,0.0,0.0,0.0,False
exploration,ORACLE_KEEP_MENU,10,200,0.86,0.86,0.86,0.8,0.8,0.8,0.05999999999999994,0.05999999999999994,0.05999999999999994,False
exploration,ORACLE_KEEP_MENU,11,200,0.885,0.885,0.8849741191768148,0.76,0.76,0.7597838054248824,0.125,0.125,0.12519031375193235,False
exploration,ORACLE_KEEP_MENU,12,200,0.96,0.96,0.96,0.835,0.835,0.8349628666449951,0.125,0.125,0.12503713335500488,False
exploration,ORACLE_KEEP_MENU,13,200,0.87,0.87,0.8689384010484928,0.71,0.71,0.705762987012987,0.16000000000000003,0.16000000000000003,0.16317541403550584,False
exploration,ORACLE_KEEP_MENU,15,200,0.95,0.95,0.9499198717948718,0.9099999999999999,0.91,0.9097744360902256,0.040000000000000036,0.039999999999999925,0.04014543570464624,False
exploration,ORACLE_KEEP_MENU,16,200,0.925,0.925,0.9249831212022706,0.885,0.885,0.8849741191768148,0.040000000000000036,0.040000000000000036,0.040009002025455764,False
exploration,ORACLE_KEEP_MENU,18,200,0.965,0.965,0.9649781113195748,0.9099999999999999,0.91,0.9094202898550725,0.05500000000000005,0.05499999999999994,0.05555782146450228,False
exploration,ORACLE_KEEP_MENU,19,200,0.895,0.895,0.8944060339409177,0.85,0.85,0.8487750781328763,0.04500000000000004,0.04500000000000004,0.04563095580804133,False
exploration,ORACLE_KEEP_MENU,2,200,0.92,0.92,0.91999199919992,0.825,0.825,0.8249956248906223,0.09500000000000008,0.09500000000000008,0.09499637430929775,False
exploration,ORACLE_KEEP_MENU,20,200,0.97,0.97,0.96999699969997,0.8999999999999999,0.9,0.899749373433584,0.07000000000000006,0.06999999999999995,0.07024762626638603,False
exploration,ORACLE_KEEP_MENU,23,200,0.98,0.98,0.98,0.91,0.91,0.9099639855942376,0.06999999999999995,0.06999999999999995,0.07003601440576235,False
exploration,ORACLE_KEEP_MENU,24,200,0.85,0.85,0.8484848484848485,0.69,0.69,0.6807743795695603,0.16000000000000003,0.16000000000000003,0.16771046891528818,False
exploration,ORACLE_KEEP_MENU,25,200,0.925,0.925,0.9247724366207779,0.875,0.875,0.8744696342045141,0.050000000000000044,0.050000000000000044,0.050302802416263837,False
exploration,ORACLE_KEEP_MENU,26,200,0.94,0.94,0.9399759903961584,0.85,0.85,0.85,0.08999999999999997,0.08999999999999997,0.08997599039615845,False
exploration,ORACLE_KEEP_MENU,27,200,0.985,0.985,0.9849996249906248,0.895,0.895,0.8949343339587242,0.08999999999999997,0.08999999999999997,0.09006529103190053,False
exploration,ORACLE_KEEP_MENU,29,200,0.95,0.95,0.949874686716792,0.915,0.915,0.9145191703331239,0.03499999999999992,0.03499999999999992,0.03535551638366807,False
exploration,ORACLE_KEEP_MENU,3,200,0.955,0.955,0.9549988749718743,0.925,0.925,0.9249530956848031,0.029999999999999916,0.029999999999999916,0.030045779287071195,False
exploration,ORACLE_KEEP_MENU,30,200,0.95,0.95,0.9499949994999499,0.83,0.83,0.8299829982998299,0.12,0.12,0.12001200120012001,False
exploration,ORACLE_KEEP_MENU,31,200,0.9550000000000001,0.955,0.9549718574108819,0.8600000000000001,0.86,0.8593106220480353,0.09499999999999997,0.09499999999999997,0.09566123536284654,False
exploration,ORACLE_KEEP_MENU,32,200,0.99,0.99,0.9899989998999901,0.965,0.965,0.9649991249781245,0.025000000000000022,0.025000000000000022,0.024999874921865617,False
exploration,ORACLE_KEEP_MENU,33,200,0.995,0.995,0.9949998749968749,0.98,0.98,0.98,0.015000000000000013,0.015000000000000013,0.01499987499687494,False
exploration,ORACLE_KEEP_MENU,34,200,0.905,0.905,0.9045969219954307,0.7150000000000001,0.715,0.7133878064110623,0.18999999999999995,0.19000000000000006,0.19120911558436848,False
exploration,ORACLE_KEEP_MENU,36,200,0.99,0.99,0.9899989998999901,0.98,0.98,0.9799919967987194,0.010000000000000009,0.010000000000000009,0.010007003101270673,False
exploration,ORACLE_KEEP_MENU,37,200,0.995,0.995,0.9949998749968749,0.995,0.995,0.9949998749968749,0.0,0.0,0.0,False
exploration,ORACLE_KEEP_MENU,38,200,0.8999999999999999,0.9,0.8993558776167472,0.8,0.8,0.797077922077922,0.09999999999999987,0.09999999999999998,0.10227795553882513,False
exploration,ORACLE_KEEP_MENU,40,200,0.875,0.875,0.8749218261413383,0.795,0.795,0.7949948748718718,0.07999999999999996,0.07999999999999996,0.07992695126946647,False
exploration,ORACLE_KEEP_MENU,41,200,0.9199999999999999,0.92,0.9199679871948779,0.76,0.76,0.7597838054248824,0.15999999999999992,0.16000000000000003,0.1601841817699955,False
exploration,ORACLE_KEEP_MENU,42,200,0.905,0.905,0.9048072346501665,0.76,0.76,0.7591328783621036,0.14500000000000002,0.14500000000000002,0.1456743562880629,False
exploration,ORACLE_KEEP_MENU,43,200,0.95,0.95,0.9499549594635172,0.87,0.87,0.8697916666666667,0.07999999999999996,0.07999999999999996,0.08016329279685042,False
exploration,ORACLE_KEEP_MENU,44,200,0.97,0.97,0.96999699969997,0.925,0.925,0.9247724366207779,0.04499999999999993,0.04499999999999993,0.04522456307919209,False
exploration,ORACLE_KEEP_MENU,45,200,0.9199999999999999,0.92,0.9196060697417345,0.875,0.875,0.8740903024350936,0.04499999999999993,0.04500000000000004,0.045515767306640975,False
exploration,ORACLE_KEEP_MENU,47,200,0.985,0.985,0.9849996249906248,0.9299999999999999,0.93,0.9299719887955182,0.05500000000000005,0.05499999999999994,0.05502763619510653,False
exploration,ORACLE_KEEP_MENU,48,200,0.8049999999999999,0.805,0.8044083352140223,0.755,0.755,0.7546995068959474,0.04999999999999993,0.050000000000000044,0.04970882831807488,False
exploration,ORACLE_KEEP_MENU,49,200,0.94,0.94,0.9398496240601504,0.85,0.85,0.8484848484848485,0.08999999999999997,0.08999999999999997,0.09136477557530187,False
exploration,ORACLE_KEEP_MENU,5,200,0.98,0.98,0.9799979997999799,0.955,0.955,0.9549988749718743,0.025000000000000022,0.025000000000000022,0.024999124828105623,False
exploration,ORACLE_KEEP_MENU,50,200,0.7649999999999999,0.765,0.7557109072481094,0.64,0.64,0.609375,0.12499999999999989,0.125,0.1463359072481094,False
exploration,ORACLE_KEEP_MENU,51,200,0.86,0.86,0.8599859985998599,0.765,0.765,0.7649471131004475,0.09499999999999997,0.09499999999999997,0.09503888549941242,False
exploration,ORACLE_KEEP_MENU,52,200,0.895,0.895,0.8949763696831787,0.795,0.795,0.7949538646195394,0.09999999999999998,0.09999999999999998,0.1000225050636393,False
exploration,ORACLE_KEEP_MENU,54,200,0.78,0.78,0.7794486215538847,0.6950000000000001,0.695,0.6937059074590144,0.08499999999999996,0.08500000000000008,0.08574271409487033,False
exploration,ORACLE_KEEP_MENU,8,200,0.9099999999999999,0.91,0.9098557692307692,0.8300000000000001,0.83,0.8286117552172598,0.07999999999999985,0.08000000000000007,0.08124401401350934,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,10,200,0.855,0.855,0.8549963749093727,0.8,0.8,0.8,0.05499999999999994,0.05499999999999994,0.0549963749093727,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,11,200,0.81,0.81,0.8087761674718197,0.76,0.76,0.7597838054248824,0.050000000000000044,0.050000000000000044,0.04899236204693724,False
