pool,method_id,subjects,mean_subject_BA,mean_subject_accuracy,mean_subject_macro_f1,mean_subject_delta_BA_vs_B6,median_subject_delta_BA_vs_B6,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta_BA_vs_B6,OUTER_TEST_USED
exploration,B6_ALL_RUN_LOGIT_MEAN,40,0.84425,0.84425,0.842746958738586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
holdout,B6_ALL_RUN_LOGIT_MEAN,12,0.8537500000000001,0.8537500000000001,0.851965207886054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
all_52_exploratory,B6_ALL_RUN_LOGIT_MEAN,52,0.8464423076923075,0.8464423076923075,0.8448742470033863,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
