menu_id,stratum_type,action_family,action_scope,run_id,fold_id,seed_id,selected_rescue_count,unique_rescue_beyond_KEEP_menu,OUTER_TEST_USED
PROTECTED_SAFE_GLOBAL,action_family,AMPLIFY,GLOBAL,,,,182,33,False
PROTECTED_SAFE_GLOBAL,action_family,GEOMETRY,GLOBAL,,,,186,65,False
FULL_GLOBAL,action_family,AMPLIFY,GLOBAL,,,,182,33,False
FULL_GLOBAL,action_family,ERASE,GLOBAL,,,,540,219,False
FULL_GLOBAL,action_family,GEOMETRY,GLOBAL,,,,172,64,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,action_family,AMPLIFY,SINGLE_REPLACEMENT,,,,367,55,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,action_family,GEOMETRY,SINGLE_REPLACEMENT,,,,151,32,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-0_seed-0,0.0,0.0,125,13,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-0_seed-1,0.0,1.0,74,6,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-1_seed-0,1.0,0.0,76,8,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-1_seed-1,1.0,1.0,52,4,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-2_seed-0,2.0,0.0,99,24,False
PROTECTED_SAFE_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-2_seed-1,2.0,1.0,92,32,False
FULL_SINGLE_REPLACEMENT,action_family,AMPLIFY,SINGLE_REPLACEMENT,,,,250,40,False
FULL_SINGLE_REPLACEMENT,action_family,ERASE,SINGLE_REPLACEMENT,,,,391,117,False
FULL_SINGLE_REPLACEMENT,action_family,GEOMETRY,SINGLE_REPLACEMENT,,,,106,30,False
FULL_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-0_seed-0,0.0,0.0,222,29,False
FULL_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-0_seed-1,0.0,1.0,83,11,False
FULL_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-1_seed-0,1.0,0.0,146,29,False
FULL_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-1_seed-1,1.0,1.0,53,8,False
FULL_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-2_seed-0,2.0,0.0,147,55,False
FULL_SINGLE_REPLACEMENT,run,,SINGLE_REPLACEMENT,fold-2_seed-1,2.0,1.0,96,55,False
