method_id,stratum_type,stratum,trials,balanced_accuracy,delta_metric_vs_B6,metric,OUTER_TEST_USED
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,session,1,5200,0.8786538461538462,0.03961538461538472,balanced_accuracy,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,session,2,5200,0.885,0.0311538461538462,balanced_accuracy,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,class,0,5200,,0.036730769230769234,class_recall,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,class,1,5200,,0.03403846153846157,class_recall,False
ORACLE_ACTION_FULL_GLOBAL,session,1,5200,0.9301923076923078,0.09115384615384625,balanced_accuracy,False
ORACLE_ACTION_FULL_GLOBAL,session,2,5200,0.9346153846153846,0.08076923076923082,balanced_accuracy,False
ORACLE_ACTION_FULL_GLOBAL,class,0,5200,,0.07653846153846156,class_recall,False
ORACLE_ACTION_FULL_GLOBAL,class,1,5200,,0.0953846153846154,class_recall,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,session,1,5200,0.8930769230769231,0.05403846153846159,balanced_accuracy,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,session,2,5200,0.8994230769230769,0.04557692307692307,balanced_accuracy,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,class,0,5200,,0.047307692307692384,class_recall,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,class,1,5200,,0.05230769230769239,class_recall,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,session,1,5200,0.9148076923076923,0.07576923076923081,balanced_accuracy,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,session,2,5200,0.9217307692307692,0.06788461538461543,balanced_accuracy,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,class,0,5200,,0.06634615384615383,class_recall,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,class,1,5200,,0.0773076923076923,class_recall,False
