dataset,trial_uid,manifest_index,subject_id,session_id,source_pool,outcome_label,n_runs,z_keep_ens,p_keep_ens,y_keep_ens,outer_test_used
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1980,1980,1,1,holdout,1,2,2.288396641612053,0.9079114837723508,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1981,1981,1,1,holdout,0,2,-1.4910825490951538,0.18375929832089336,0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1982,1982,1,1,holdout,1,2,1.868803322315216,0.866319751157535,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1983,1983,1,1,holdout,1,2,3.6590300798416138,0.9748893049908153,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1984,1984,1,1,holdout,1,2,3.0555264949798584,0.9550205223020155,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1985,1985,1,1,holdout,1,2,2.687438227236271,0.9362813205701745,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1986,1986,1,1,holdout,0,2,0.10201738774776459,0.5254822501257068,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1987,1987,1,1,holdout,0,2,-5.278651237487793,0.005073432930145489,0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1988,1988,1,1,holdout,0,2,-1.270842656493187,0.21911303731744786,0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1989,1989,1,1,holdout,1,2,2.1916919946670532,0.899500964450536,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1990,1990,1,1,holdout,0,2,-0.6911480389535427,0.3337777349459306,0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1991,1991,1,1,holdout,1,2,1.8898442089557648,0.8687377663460276,1,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1992,1992,1,1,holdout,0,2,-3.035949468612671,0.045827965982165195,0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,OpenBMI_SSVEP_NEMAR_nm000273_offline:1993,1993,1,1,holdout,0,2,-1.9320590496063232,0.12652284958326215,0,False
