method_id,unit,top_fraction,units_selected,fraction_of_positive_gain,OUTER_TEST_USED
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,subject,0.01,1,0.057065217391304345,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,trial,0.01,104,0.2826086956521739,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,subject,0.05,3,0.1576086956521739,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,trial,0.05,520,1.0,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,subject,0.1,6,0.2744565217391304,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,trial,0.1,1040,1.0,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,subject,0.2,11,0.42391304347826086,False
ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,trial,0.2,2080,1.0,False
ORACLE_ACTION_FULL_GLOBAL,subject,0.01,1,0.048098434004474284,False
ORACLE_ACTION_FULL_GLOBAL,trial,0.01,104,0.116331096196868,False
ORACLE_ACTION_FULL_GLOBAL,subject,0.05,3,0.14317673378076065,False
ORACLE_ACTION_FULL_GLOBAL,trial,0.05,520,0.5816554809843401,False
ORACLE_ACTION_FULL_GLOBAL,subject,0.1,6,0.26621923937360187,False
ORACLE_ACTION_FULL_GLOBAL,trial,0.1,1040,1.0,False
ORACLE_ACTION_FULL_GLOBAL,subject,0.2,11,0.42617449664429535,False
ORACLE_ACTION_FULL_GLOBAL,trial,0.2,2080,1.0,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,subject,0.01,1,0.05598455598455597,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,trial,0.01,104,0.20077220077220076,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,subject,0.05,3,0.14285714285714288,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,trial,0.05,520,1.0,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,subject,0.1,6,0.2606177606177607,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,trial,0.1,1040,1.0,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,subject,0.2,11,0.4073359073359074,False
ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,trial,0.2,2080,1.0,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,subject,0.01,1,0.0575635876840696,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,trial,0.01,104,0.1392235609103079,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,subject,0.05,3,0.14993306559571618,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,trial,0.05,520,0.6961178045515395,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,subject,0.1,6,0.27309236947791155,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,trial,0.1,1040,1.0,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,subject,0.2,11,0.4243641231593038,False
ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,trial,0.2,2080,1.0,False
