draw,alpha,fused_BA,base_BA,delta_BA,dims
0,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 5, 6, 8, 9, 10, 15, 17]"
1,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 2, 5, 6, 10, 13, 15, 19]"
2,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 4, 5, 9, 12, 14, 16, 18]"
3,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 3, 4, 6, 10, 12, 17]"
4,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 3, 4, 7, 8, 9, 16, 17]"
5,0.1,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 3, 8, 11, 13, 14, 19]"
6,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 5, 6, 7, 11, 16, 18]"
7,0.0,0.7577777777777778,0.7577777777777778,0.0,"[3, 4, 12, 14, 16, 17, 18, 19]"
8,0.0,0.7577777777777778,0.7577777777777778,0.0,"[1, 5, 10, 11, 13, 16, 17, 19]"
9,0.0,0.7577777777777778,0.7577777777777778,0.0,"[3, 6, 7, 9, 12, 13, 15, 17]"
10,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 4, 5, 7, 8, 11, 12, 19]"
11,0.1,0.7566666666666666,0.7577777777777778,-0.0011111111111111738,"[0, 3, 7, 9, 10, 14, 17, 19]"
12,0.0,0.7577777777777778,0.7577777777777778,0.0,"[2, 5, 6, 8, 9, 11, 12, 13]"
13,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 3, 6, 10, 13, 14, 17, 19]"
14,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 7, 11, 12, 13, 14, 15, 17]"
15,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 3, 6, 10, 11, 13, 14]"
16,0.0,0.7577777777777778,0.7577777777777778,0.0,"[1, 3, 5, 7, 8, 12, 14, 15]"
17,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 3, 7, 9, 12, 14, 17]"
18,0.0,0.7577777777777778,0.7577777777777778,0.0,"[1, 3, 5, 7, 8, 15, 18, 19]"
19,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 2, 6, 7, 14, 16, 17, 18]"
20,0.0,0.7577777777777778,0.7577777777777778,0.0,"[2, 3, 6, 7, 10, 12, 18, 19]"
21,0.0,0.7577777777777778,0.7577777777777778,0.0,"[4, 6, 7, 10, 12, 14, 15, 17]"
22,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 3, 7, 9, 10, 13, 15, 17]"
23,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 5, 6, 8, 10, 11, 14, 15]"
24,0.0,0.7577777777777778,0.7577777777777778,0.0,"[1, 2, 4, 6, 13, 14, 16, 17]"
25,0.0,0.7577777777777778,0.7577777777777778,0.0,"[2, 5, 8, 10, 11, 12, 13, 18]"
26,0.0,0.7577777777777778,0.7577777777777778,0.0,"[3, 6, 7, 11, 13, 14, 15, 17]"
27,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 2, 3, 7, 8, 13, 16, 17]"
28,0.0,0.7577777777777778,0.7577777777777778,0.0,"[1, 7, 8, 9, 11, 12, 14, 17]"
29,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 8, 9, 10, 11, 15, 19]"
30,0.1,0.7555555555555555,0.7577777777777778,-0.0022222222222222365,"[2, 7, 9, 11, 13, 14, 16, 18]"
31,0.0,0.7577777777777778,0.7577777777777778,0.0,"[2, 7, 8, 10, 11, 14, 17, 19]"
32,0.0,0.7577777777777778,0.7577777777777778,0.0,"[5, 6, 7, 10, 11, 14, 15, 18]"
33,0.0,0.7577777777777778,0.7577777777777778,0.0,"[1, 3, 9, 10, 11, 13, 16, 18]"
34,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 10, 12, 13, 14, 16, 17]"
35,0.0,0.7577777777777778,0.7577777777777778,0.0,"[2, 3, 6, 7, 9, 11, 13, 19]"
36,0.0,0.7577777777777778,0.7577777777777778,0.0,"[7, 8, 11, 14, 16, 17, 18, 19]"
37,0.0,0.7577777777777778,0.7577777777777778,0.0,"[3, 4, 6, 7, 13, 17, 18, 19]"
38,0.0,0.7577777777777778,0.7577777777777778,0.0,"[0, 1, 2, 8, 13, 16, 17, 18]"
