subject_id,erm_BA,erm_macro_F1,decomp_ce_BA,decomp_ce_macro_F1,decomp_ce_accuracy,decomp_ce_recall_0,decomp_ce_recall_1,decomp_ce_trials,decomp_offset_BA,decomp_offset_macro_F1,decomp_offset_accuracy,decomp_offset_recall_0,decomp_offset_recall_1,decomp_offset_trials,delta_arch_pp,delta_offset_pp,delta_total_pp
15,0.78,0.779205138498595,0.6,0.5920032639738881,0.6,0.46,0.74,100,0.6599999999999999,0.6587715776796468,0.66,0.72,0.6,100,-18.000000000000004,5.999999999999995,-12.00000000000001
38,0.6799999999999999,0.677938808373591,0.5700000000000001,0.568922305764411,0.57,0.62,0.52,100,0.5800000000000001,0.5793269230769231,0.58,0.54,0.62,100,-10.999999999999988,1.0000000000000009,-9.999999999999986
6,0.96,0.959983993597439,0.8899999999999999,0.8897243107769424,0.89,0.94,0.84,100,0.8999999999999999,0.8993558776167472,0.9,0.98,0.82,100,-7.000000000000006,1.0000000000000009,-6.000000000000005
33,0.8,0.797979797979798,0.6699999999999999,0.6576408341114224,0.67,0.86,0.48,100,0.67,0.6659580929243851,0.67,0.78,0.56,100,-13.00000000000001,1.1102230246251565e-14,-13.0
32,0.65,0.6471418489767113,0.64,0.64,0.64,0.64,0.64,100,0.64,0.6398559423769508,0.64,0.66,0.62,100,-1.0000000000000009,0.0,-1.0000000000000009
3,0.8200000000000001,0.8152709359605912,0.76,0.7584541062801933,0.76,0.68,0.84,100,0.77,0.769792813532179,0.77,0.74,0.8,100,-6.000000000000005,1.0000000000000009,-5.000000000000004
5,0.74,0.7373737373737375,0.63,0.6236395076797885,0.63,0.76,0.5,100,0.6799999999999999,0.6794871794871795,0.68,0.72,0.64,100,-10.999999999999998,4.999999999999993,-6.000000000000005
47,0.89,0.8899889988998899,0.78,0.7785829307568438,0.78,0.7,0.86,100,0.73,0.7266929851199515,0.73,0.62,0.84,100,-10.999999999999998,-5.000000000000004,-16.000000000000004
26,0.8500000000000001,0.849624060150376,0.8,0.7992773986350863,0.8,0.86,0.74,100,0.75,0.7493734335839599,0.75,0.8,0.7,100,-5.000000000000004,-5.000000000000004,-10.000000000000009
2,0.8,0.7960016319869441,0.78,0.7799119647859143,0.78,0.76,0.8,100,0.6699999999999999,0.6683750376846548,0.67,0.74,0.6,100,-2.0000000000000018,-11.00000000000001,-13.00000000000001
14,0.72,0.7126436781609196,0.65,0.6471418489767113,0.65,0.56,0.74,100,0.6699999999999999,0.6697027324592133,0.67,0.64,0.7,100,-6.999999999999995,1.9999999999999907,-5.000000000000004
31,0.76,0.7519636213311285,0.72,0.7028862478777589,0.72,0.96,0.48,100,0.65,0.630450849963045,0.65,0.88,0.42,100,-4.0000000000000036,-6.999999999999995,-10.999999999999998
28,0.84,0.8376623376623377,0.79,0.7882851093860268,0.79,0.7,0.88,100,0.79,0.7889659330720531,0.79,0.72,0.86,100,-4.999999999999993,0.0,-4.999999999999993
35,0.86,0.8590982286634461,0.84,0.8383838383838383,0.84,0.94,0.74,100,0.85,0.8474214220323466,0.85,0.98,0.72,100,-2.0000000000000018,1.0000000000000009,-1.0000000000000009
