fold,seed,run,audit_fold,block,rank,assignment,role,subject,n_trials,decision_logit_rms,decision_margin_displacement,decision_flip_rate,decision_total_variation,outcome_ce_effect,outcome_ba_change
0,0,0_0,0,0,1,neutral,decision,24,200,0.0457225610932778,0.06192288059509995,0.0,0.011832827892200394,,
0,0,0_0,0,0,1,neutral,decision,27,200,0.04424550150963004,0.060723896604690956,0.01,0.01112117554739049,,
0,0,0_0,0,0,1,neutral,decision,31,200,0.03478495228568021,0.04399047348012981,0.015,0.007646035915810245,,
0,0,0_0,0,0,1,neutral,decision,34,200,0.0507302492875618,0.0587262132587005,0.015,0.01036735531450733,,
0,0,0_0,0,0,1,neutral,decision,42,200,0.023429240164085867,0.026999014802203954,0.005,0.00451198031161471,,
0,0,0_0,0,0,1,neutral,decision,46,200,0.09436021315745054,0.1266489443776224,0.04,0.022598599045517764,,
0,0,0_0,0,0,1,neutral,decision,52,200,0.08783168934963577,0.11743377211573078,0.035,0.01808026176914952,,
0,0,0_0,0,0,1,neutral,outcome,5,200,,,,,-0.0007226233677263466,0.004999999999999893
0,0,0_0,0,0,1,neutral,outcome,9,200,,,,,0.005520329425510589,0.0
0,0,0_0,0,0,1,neutral,outcome,11,200,,,,,0.0013060379059188015,-0.010000000000000009
0,0,0_0,0,0,1,neutral,outcome,30,200,,,,,0.00689519865633277,-0.015000000000000124
0,0,0_0,0,0,1,neutral,outcome,35,200,,,,,0.0022571484670567223,0.0
0,0,0_0,0,0,1,neutral,outcome,39,200,,,,,0.0020600728072486772,0.010000000000000009
0,0,0_0,0,0,1,neutral,outcome,49,200,,,,,-0.0008264528479618063,0.0
0,0,0_0,0,1,1,neutral,decision,24,200,0.05687916213522721,0.0612896222775773,0.025,0.01072188748221533,,
0,0,0_0,0,1,1,neutral,decision,27,200,0.04398817417680585,0.05118055513440374,0.02,0.00979472105775134,,
0,0,0_0,0,1,1,neutral,decision,31,200,0.04480392467302398,0.05113187949855747,0.015,0.008704220287207118,,
0,0,0_0,0,1,1,neutral,decision,34,200,0.07381748607452271,0.09351071242740995,0.025,0.015003474938799081,,
0,0,0_0,0,1,1,neutral,decision,42,200,0.0773413830184748,0.09630200721596385,0.02,0.015514681849046625,,
0,0,0_0,0,1,1,neutral,decision,46,200,0.07267338159491746,0.09429734384886679,0.005,0.016321234973578968,,
0,0,0_0,0,1,1,neutral,decision,52,200,0.08689950469839641,0.11231609940840599,0.03,0.01774667027617656,,
0,0,0_0,0,1,1,neutral,outcome,5,200,,,,,0.006726421425186047,-0.015000000000000124
0,0,0_0,0,1,1,neutral,outcome,9,200,,,,,0.004448594541311623,0.0
0,0,0_0,0,1,1,neutral,outcome,11,200,,,,,0.001597129945264439,-0.010000000000000009
0,0,0_0,0,1,1,neutral,outcome,30,200,,,,,0.005851727963777738,-0.01000000000000012
0,0,0_0,0,1,1,neutral,outcome,35,200,,,,,0.0024435876659568744,0.0
0,0,0_0,0,1,1,neutral,outcome,39,200,,,,,0.00241517792004845,0.0
0,0,0_0,0,1,1,neutral,outcome,49,200,,,,,0.009546019777561221,0.0
0,0,0_0,0,2,2,neutral,decision,24,200,0.09000571085822838,0.11185866510132897,0.01,0.019823890899533878,,
0,0,0_0,0,2,2,neutral,decision,27,200,0.08342278168429339,0.10817118704982275,0.015,0.0199561884637625,,
0,0,0_0,0,2,2,neutral,decision,31,200,0.087754851420944,0.1096283849196796,0.03,0.018079612614171917,,
0,0,0_0,0,2,2,neutral,decision,34,200,0.0931772142004087,0.11605392956018971,0.02,0.019272251470695435,,
0,0,0_0,0,2,2,neutral,decision,42,200,0.1194418024800565,0.16085696850072964,0.05,0.026190074212662298,,
0,0,0_0,0,2,2,neutral,decision,46,200,0.07239965745684844,0.09168445275889794,0.005,0.01630459231393626,,
0,0,0_0,0,2,2,neutral,decision,52,200,0.10073916752961969,0.12862886785492414,0.04,0.020420983822734655,,
0,0,0_0,0,2,2,neutral,outcome,5,200,,,,,0.006883152068909553,-0.020000000000000018
0,0,0_0,0,2,2,neutral,outcome,9,200,,,,,-0.0014805089274610229,0.0050000000000000044
0,0,0_0,0,2,2,neutral,outcome,11,200,,,,,0.00503331057093541,0.0
0,0,0_0,0,2,2,neutral,outcome,30,200,,,,,-0.004476983224835441,0.010000000000000009
0,0,0_0,0,2,2,neutral,outcome,35,200,,,,,0.004065654720249637,-0.0050000000000000044
0,0,0_0,0,2,2,neutral,outcome,39,200,,,,,-0.0018831039905395305,-0.0050000000000000044
