fold,seed,run,jacobian_ratio,decision_logit_ratio,protected_gt_matched_fraction,signed_u_abs,outcome_ce_effect,outcome_ba_change,concordant_fraction,n_protected_blocks
0,0,0_0,5.03684457400891,1.9042351689566839,1.0,0.12091179647656,0.2646564309437678,-0.21271428571428572,1.0,1
0,1,0_1,2.9061104998946097,1.8115907575295123,1.0,0.0540508026930207,0.12383991643307565,-0.08182142857142857,1.0,2
1,0,1_0,2.7472265213522506,1.6221515439882357,0.5,0.0379229221551061,0.10518736839763557,-0.06802380952380954,1.0,2
1,1,1_1,4.975558805472977,1.5688769711416983,1.0,0.0794533828446037,0.19216898766489784,-0.1368095238095238,1.0,1
2,0,2_0,2.49794644044861,1.7067030026111678,1.0,0.0349754289551528,0.0860258505099602,-0.05936904761904763,1.0,2
2,1,2_1,2.5113756093000226,1.4660560824080298,1.0,0.04649395623598185,0.13833938316032338,-0.08601190476190476,1.0,2
