fold,seed,inner_fold,run,kind,subject,n_trials,logit_rms,logit_rms_over_train_margin,margin_displacement,flip_rate,total_variation,js_divergence,q_movement_relative,random_logit_rms,random_flip_rate,random_total_variation,logit_ratio_to_random
0,0,0,0_0,real_cf,7,200,0.012211096649733156,0.008193187678498791,0.013821657058239603,0.005416666666666667,0.002476789346986948,6.647316720798521e-06,0.1652483195066452,0.018573934719973675,0.0085,0.00403034632423582,0.6574318707280599
0,0,0,0_0,real_cf,16,200,0.012888225204834616,0.00864751553238063,0.014661414165360232,0.0016666666666666668,0.0016373372107059993,4.632563945062965e-06,0.1652483195066452,0.01942868988246044,0.0014375000000000002,0.0026240380657826536,0.663360488164962
0,0,0,0_0,real_cf,24,200,0.01214664952098593,0.00814994607323495,0.013844994832761586,0.005416666666666667,0.002500015959668497,6.690980512301789e-06,0.1652483195066452,0.018409446310099838,0.010045833333333334,0.004037289891434861,0.6598052606461067
0,0,0,0_0,real_cf,37,200,0.012461990920272436,0.008361528320207928,0.01415488040385147,0.0,0.0008446387163546781,2.3055523522405806e-06,0.1652483195066452,0.018853514022208296,0.00046666666666666666,0.0013637616698737038,0.6609903546677275
0,0,0,0_0,real_cf,41,200,0.01250256036910817,0.008388748898167377,0.014244098711836461,0.012916666666666667,0.0030614467347829834,8.380394548830052e-06,0.1652483195066452,0.018878851047232487,0.0184375,0.004918872073513516,0.6622521856774203
0,0,0,0_0,real_cf,42,200,0.012225090882266223,0.008202577283449832,0.013957462266553193,0.00125,0.0022092052118656796,5.925712007205897e-06,0.1652483195066452,0.018486732717086098,0.002766666666666667,0.003543328234055955,0.6612899677489986
0,0,0,0_0,real_cf,43,200,0.012670384330932434,0.008501352479616016,0.014364194209532192,0.0033333333333333335,0.0020430939743382704,5.666597755672443e-06,0.1652483195066452,0.019112979716792405,0.005295833333333333,0.003291904530156156,0.6629204089930785
0,0,1,0_0,real_cf,11,200,0.059314971330992776,0.039370331357914845,0.06779531796152392,0.029583333333333333,0.013481017866448657,0.00017470672872124776,0.18994547426700592,0.049985397379927805,0.028224999999999997,0.011439159878464436,1.1866459894307326
0,0,1,0_0,real_cf,34,200,0.059920627013208654,0.03977233551239016,0.06843254900537431,0.019166666666666665,0.010982370046702578,0.00014414009300686494,0.18994547426700592,0.05067317127002515,0.017666666666666667,0.009362008065719404,1.1824921454768644
0,0,1,0_0,real_cf,35,200,0.060122093874595856,0.03990605920663577,0.06866754773150509,0.0020833333333333333,0.006233015425545578,8.169953844048942e-05,0.18994547426700592,0.05109871275935738,0.0013375000000000001,0.005319242788830423,1.1765872490317495
