fold,seed,inner_fold,run,kind,draw,subject,n_trials,logit_rms,logit_rms_over_train_margin,margin_displacement,flip_rate,total_variation,js_divergence,q_movement_relative
0,0,0,0_0,matched_random,0,7,200,0.01995253815882292,0.013387404463891231,0.023420073974411936,0.008333333333333333,0.004193258132892255,1.7690402540087592e-05,0.1652483195066452
0,0,0,0_0,matched_random,0,16,200,0.020846409661937817,0.013987158703461698,0.024451938800048083,0.0020833333333333333,0.0027279335913993298,1.208236561225408e-05,0.1652483195066452
0,0,0,0_0,matched_random,0,24,200,0.019703444517296036,0.013220271976687877,0.023166535773780198,0.010416666666666666,0.004188025699108624,1.7638031874542176e-05,0.1652483195066452
0,0,0,0_0,matched_random,0,37,200,0.02025759989408043,0.013592089442004799,0.02369726412696764,0.0016666666666666668,0.0014197594967356136,6.099689538835581e-06,0.1652483195066452
0,0,0,0_0,matched_random,0,41,200,0.020206136384390873,0.013557559357969309,0.023769001603747408,0.018333333333333333,0.0051086536629672144,2.1889678992154473e-05,0.1652483195066452
0,0,0,0_0,matched_random,0,42,200,0.019776471704035826,0.013269270478931732,0.023227853684220465,0.004166666666666667,0.003676133978834024,1.5511430782323697e-05,0.1652483195066452
0,0,0,0_0,matched_random,0,43,200,0.020513367636031676,0.01376370000017348,0.024083687795791776,0.005833333333333334,0.003423948089287907,1.4818649378654583e-05,0.1652483195066452
0,0,0,0_0,matched_random,1,7,200,0.014375800609907759,0.009645622813756497,0.017481596735306085,0.005833333333333334,0.003131818911211222,9.2056521455724e-06,0.1652483195066452
0,0,0,0_0,matched_random,1,16,200,0.015114582218813304,0.010141317553452028,0.018273205362881222,0.0008333333333333334,0.0020414866347932587,6.385685112911779e-06,0.1652483195066452
0,0,0,0_0,matched_random,1,24,200,0.0143191498733567,0.009607612295127266,0.01733741391527777,0.00875,0.003137536673426903,9.311850429109267e-06,0.1652483195066452
0,0,0,0_0,matched_random,1,37,200,0.014613340761195578,0.009805003342508813,0.01764845460653305,0.0,0.001059396526154985,3.183682607763182e-06,0.1652483195066452
