fold,seed,task,block,dimensions,persistence_strength,geometry_primary,geometry_cross_session,u_abs,u_spec
2,1,mi,0,1,0.8831262588500977,0.38235294117647056,0.38235294117647056,-0.0002081436322594,-0.0067924817235372
2,1,mi,1,1,0.5373363494873047,0.2647058823529412,0.2647058823529412,-0.0001891553859049,-0.00737455740736
2,1,mi,2,1,0.43631458282470703,0.23529411764705882,0.23529411764705882,-0.0003462030631867,-0.0072186462756243
2,1,mi,3,1,0.3619701564311981,0.23529411764705882,0.23529411764705882,0.0003222153385527,-0.006287700472235
2,1,mi,4,4,0.20863476395606995,0.585306027878014,0.586093167907935,0.0099890445447247,-0.0206500540275802
2,1,mi,5,4,0.11046647280454636,0.7681835747533542,0.7718468982416187,0.0387264646847661,0.0145440272434982
2,1,mi,6,4,0.06452128291130066,0.7063513288237843,0.7099226381973797,0.0542614477871976,0.0328367306512303
2,1,mi,7,4,0.018787739798426628,0.6858163508349138,0.6856173944313387,0.0362853173083529,0.0102736957276958
2,1,ssvep,0,1,0.8831262588500977,0.29747899159663865,0.2991596638655462,2.8706480288761093e-06,-0.0026813067276415
2,1,ssvep,1,1,0.5373363494873047,0.2008403361344538,0.21932773109243697,6.930240678139262e-05,-0.0021652917622299
2,1,ssvep,2,1,0.43631458282470703,0.6285714285714287,0.6285714285714287,0.0006962041679795,-0.0016121102463455
2,1,ssvep,3,1,0.3619701564311981,0.8563025210084034,0.8563025210084034,0.0004883325024485,-0.0018470917607369
2,1,ssvep,4,4,0.20863476395606995,0.6218487394957986,0.6268907563025212,0.0205165303012817,0.0112169416076241
2,1,ssvep,5,4,0.11046647280454636,0.6487394957983195,0.6487394957983195,0.014284840823261,0.0037335534430164
2,1,ssvep,6,4,0.06452128291130066,0.9159663865546219,0.9159663865546219,0.0240776366575939,0.0132741800732827
2,1,ssvep,7,4,0.018787739798426628,0.7277310924369749,0.7243697478991598,0.0024530204266814,-0.0115512875074547
