dataset,method_id,subjects,mean_subject_BA,Delta_BA_vs_B_STRONG,CI95_L,CI95_U,accuracy,macro_f1,NLL,Brier,ECE,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,switch_rate,rescue_count,harm_count,rescue_precision,harm_rate,OUTER_TEST_USED,positive_fold_fraction
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,52,0.8464423076923075,0.0,0.0,0.0,0.8464423076923077,0.8448742470033863,0.36535664908283555,0.11390110596292095,0.056622502671590635,0.0,1.0,0.0,0.0,0,0,0.0,0.0,False,0.0
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,52,0.8509615384615383,0.004519230769230767,0.0020192307692307667,0.00721153846153847,0.8509615384615384,0.8494798153192711,0.35293911274985434,0.10933137524611433,0.017276226674061673,0.5,0.8269230769230769,-0.014999999999999902,0.012788461538461538,90,43,0.6766917293233082,0.3233082706766917,False,1.0
OpenBMI_SSVEP_NEMAR_nm000273_offline,A2_KEEP_ACTION_NO_PERSIST,52,0.8464423076923077,-6.4051328343759035e-18,-0.0038461538461538455,0.0037499999999999925,0.8464423076923077,0.8450636661910493,0.35234829241133087,0.10968544220119086,0.016002140497038603,0.40384615384615385,0.6538461538461539,-0.040000000000000036,0.024615384615384615,128,128,0.5,0.5,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,A3_KEEP_ACTION_PERSIST,52,0.845576923076923,-0.0008653846153846183,-0.004711538461538453,0.0026923076923076926,0.8455769230769231,0.8441038792628925,0.35363842713290206,0.11020405061861462,0.014768331799947394,0.38461538461538464,0.6346153846153846,-0.04499999999999993,0.023557692307692307,118,127,0.4816326530612245,0.5183673469387755,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,A4_WITHOUT_PROTECTED,52,0.8459615384615385,-0.00048076923076923546,-0.004423076923076942,0.0033653846153846078,0.8459615384615384,0.8445553167346902,0.35279860549765424,0.10975256451240284,0.01575980441550322,0.40384615384615385,0.5961538461538461,-0.040000000000000036,0.023557692307692307,120,125,0.4897959183673469,0.5102040816326531,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,A5_WITHOUT_DECISION_DEPENDENCE,52,0.8452884615384615,-0.0011538461538461548,-0.00567307692307692,0.003461538461538454,0.8452884615384615,0.8436702876769868,0.3543906162499938,0.11066482496084308,0.01316727597699178,0.3269230769230769,0.5192307692307693,-0.040000000000000036,0.035576923076923075,179,191,0.4837837837837838,0.5162162162162162,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,A6_WITHOUT_PERSISTENCE,52,0.8450000000000001,-0.0014423076923076978,-0.0052884615384615535,0.002499999999999983,0.845,0.8434385964588412,0.35221651396590475,0.10954121843156327,0.01636637376656778,0.34615384615384615,0.5769230769230769,-0.040000000000000036,0.027596153846153847,136,151,0.4738675958188153,0.5261324041811847,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,A7_WITHOUT_ACTION_MOVEMENT,52,0.8457692307692307,-0.0006730769230769301,-0.0046177884615384805,0.0032692307692307656,0.8457692307692307,0.8441576128315339,0.3538334982097632,0.10987381629780714,0.016690825289255525,0.38461538461538464,0.6153846153846154,-0.040000000000000036,0.02798076923076923,142,149,0.4879725085910653,0.5120274914089347,False,0.4
OpenBMI_SSVEP_NEMAR_nm000273_offline,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,52,0.8456730769230769,-0.0007692307692307657,-0.004807692307692299,0.003173076923076924,0.8456730769230769,0.8441881901334318,0.35302120741688897,0.11009889234095932,0.015136864724256707,0.40384615384615385,0.5961538461538461,-0.04499999999999993,0.02846153846153846,144,152,0.4864864864864865,0.5135135135135135,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,A9_CAPACITY_MATCHED_GENERIC,52,0.8451923076923076,-0.0012500000000000054,-0.005192307692307699,0.002596153846153857,0.8451923076923077,0.843721710284711,0.352968148786071,0.10984468414632316,0.01607724078914037,0.38461538461538464,0.5769230769230769,-0.040000000000000036,0.023173076923076925,114,127,0.4730290456431535,0.5269709543568465,False,0.6
