Dataset,Fold,EEGNet,EEGNet_macro_F1,LiteBN,LiteBN_macro_F1,REF50,REF50_macro_F1,AnchorMix,AnchorMix_macro_F1,Delta_vs_best_pp,Delta_vs_REF50_pp
OpenBMI,0,0.8,0.7980293041049831,0.8262499999999999,0.8239583329302678,0.8262499999999999,0.8238838403785962,0.8374999999999999,0.8370708122366762,1.1249999999999982,1.1249999999999982
OpenBMI,1,0.8125,0.8098641814985617,0.8325,0.8303223777063318,0.8425,0.8410904903707968,0.84,0.8392238926604894,0.7499999999999951,-0.2500000000000058
OpenBMI,2,0.6875,0.6837343060916314,0.7275,0.7222554584824781,0.7475,0.7431663158415301,0.6975,0.6761757679701363,-3.0000000000000027,-5.000000000000004
OpenBMI,3,0.76,0.7585738439416407,0.7875000000000001,0.7851528645934953,0.8025,0.8010132516597731,0.77,0.7641568360320992,-1.750000000000007,-3.2499999999999973
OpenBMI,4,0.72875,0.725820765399561,0.78375,0.7764506670099987,0.78125,0.7765705779402978,0.7637499999999999,0.7540868024365823,-2.0000000000000018,-1.750000000000007
WBCIC,0,0.7714285714285715,0.7663173858192158,0.7792857142857141,0.7776895502867539,0.7985714285714286,0.7967582289219072,0.7764285714285714,0.7728130638126486,-0.28571428571427804,-2.214285714285724
WBCIC,1,0.8125,0.8121228120711376,0.7733333333333333,0.7532636467401564,0.7933333333333333,0.7787601629097951,0.7991666666666667,0.7932078132271708,-1.3333333333333308,0.5833333333333357
WBCIC,2,0.7491666666666665,0.7454095174814169,0.7558333333333334,0.7545843026841036,0.7566666666666665,0.7556823857320505,0.7366666666666667,0.7361274087158951,-1.9166666666666665,-1.9999999999999796
WBCIC,3,0.8146811868686868,0.8141112934835281,0.8405408249158249,0.8399306310758425,0.8405839646464646,0.8400564397669757,0.8230671296296297,0.8151247176322158,-1.7473695286195245,-1.7516835016834875
WBCIC,4,0.7675,0.76478390305574,0.7875000000000001,0.7856051426792515,0.7800000000000001,0.7771574921261278,0.7758333333333333,0.7754156661670156,-1.1666666666666825,-0.4166666666666874
