Dataset,EEGNet,LiteBN,REF50,AnchorMix,BestSingle,DeltaBest_pp,DeltaREF50_pp,EEGNet_macro_F1,LiteBN_macro_F1,REF50_macro_F1,AnchorMix_macro_F1
OpenBMI,0.7577499999999999,0.7915,0.8,0.78175,LiteBN,-0.9750000000000036,-1.82500000000001,0.7552044802072755,0.7876279401445142,0.7971448952381989,0.7741428222671967
WBCIC,0.78268022971652,0.7870401596611275,0.7939839931573802,0.7820452508960574,LiteBN,-0.49949087650701385,-1.1938742261322854,0.7800898986221112,0.7820686835833355,0.7899111769568725,0.7783530671336234
