dataset,model,D_RMSE,I_RMSE,M0_RMSE,MID_RMSE,RMSE_I_minus_D,D_better
OpenBMI,CBraMod,0.0077696892201609006,0.007968555561854827,0.007648022610241128,0.008074457642619406,0.00019886634169392643,True
OpenBMI,LaBraM,0.024682331543066757,0.025527857590027948,0.025506309880774913,0.025052184530142862,0.0008455260469611911,True
WBCIC,CBraMod,0.013689226330175266,0.01312986188188828,0.013704143238697404,0.013340536167058336,-0.0005593644482869854,False
WBCIC,LaBraM,0.02569815180140887,0.04454604783835907,0.04429370316800739,0.025938643012203652,0.0188478960369502,True
