dataset,model,fold,seed,task_BA,subjects,competence_threshold,competent,target_seen_by_anchor
OpenBMI,CBraMod,0,0,0.7568750000000001,8,0.7519166667,True,False
OpenBMI,CBraMod,0,1,0.754375,8,0.7519166667,True,False
OpenBMI,CBraMod,0,2,0.7475,8,0.7519166667,False,False
OpenBMI,CBraMod,1,0,0.6699999999999999,8,0.7519166667,False,False
OpenBMI,CBraMod,1,1,0.6737500000000001,8,0.7519166667,False,False
OpenBMI,CBraMod,1,2,0.67625,8,0.7519166667,False,False
OpenBMI,CBraMod,2,0,0.7175,8,0.7519166667,False,False
OpenBMI,CBraMod,2,1,0.74,8,0.7519166667,False,False
OpenBMI,CBraMod,2,2,0.7324999999999999,8,0.7519166667,False,False
OpenBMI,CBraMod,3,0,0.7625,8,0.7519166667,True,False
OpenBMI,CBraMod,3,1,0.760625,8,0.7519166667,True,False
OpenBMI,CBraMod,3,2,0.7425,8,0.7519166667,False,False
OpenBMI,CBraMod,4,0,0.74375,8,0.7519166667,False,False
OpenBMI,CBraMod,4,1,0.74125,8,0.7519166667,False,False
OpenBMI,CBraMod,4,2,0.745625,8,0.7519166667,False,False
WBCIC,CBraMod,0,0,0.791111111111111,9,0.7684300821,True,False
WBCIC,CBraMod,0,1,0.7894444444444444,9,0.7684300821,True,False
WBCIC,CBraMod,0,2,0.7936111111111112,9,0.7684300821,True,False
WBCIC,CBraMod,1,0,0.6909375,8,0.7684300821,False,False
WBCIC,CBraMod,1,1,0.705625,8,0.7684300821,False,False
WBCIC,CBraMod,1,2,0.6971875,8,0.7684300821,False,False
WBCIC,CBraMod,2,0,0.7514996859296482,8,0.7684300821,False,False
WBCIC,CBraMod,2,1,0.7471325376884422,8,0.7684300821,False,False
WBCIC,CBraMod,2,2,0.7587091708542715,8,0.7684300821,False,False
WBCIC,CBraMod,3,0,0.8065138190954774,8,0.7684300821,True,False
WBCIC,CBraMod,3,1,0.7993231783919599,8,0.7684300821,True,False
WBCIC,CBraMod,3,2,0.8077245603015075,8,0.7684300821,True,False
WBCIC,CBraMod,4,0,0.7011526381909547,8,0.7684300821,False,False
WBCIC,CBraMod,4,1,0.7092792085427135,8,0.7684300821,False,False
WBCIC,CBraMod,4,2,0.7086165201005026,8,0.7684300821,False,False
OpenBMI,LaBraM,0,0,0.70875,8,0.7519166667,False,False
OpenBMI,LaBraM,0,1,0.6812499999999999,8,0.7519166667,False,False
OpenBMI,LaBraM,0,2,0.76125,8,0.7519166667,True,False
OpenBMI,LaBraM,1,0,0.625,8,0.7519166667,False,False
OpenBMI,LaBraM,1,1,0.6487499999999999,8,0.7519166667,False,False
OpenBMI,LaBraM,1,2,0.5843750000000001,8,0.7519166667,False,False
OpenBMI,LaBraM,2,0,0.6174999999999999,8,0.7519166667,False,False
OpenBMI,LaBraM,2,1,0.66,8,0.7519166667,False,False
OpenBMI,LaBraM,2,2,0.634375,8,0.7519166667,False,False
OpenBMI,LaBraM,3,0,0.74625,8,0.7519166667,False,False
OpenBMI,LaBraM,3,1,0.6793750000000001,8,0.7519166667,False,False
OpenBMI,LaBraM,3,2,0.625625,8,0.7519166667,False,False
OpenBMI,LaBraM,4,0,0.684375,8,0.7519166667,False,False
OpenBMI,LaBraM,4,1,0.6737500000000001,8,0.7519166667,False,False
OpenBMI,LaBraM,4,2,0.5549999999999999,8,0.7519166667,False,False
WBCIC,LaBraM,0,0,0.7852777777777776,9,0.7684300821,True,False
WBCIC,LaBraM,0,1,0.7841666666666666,9,0.7684300821,True,False
WBCIC,LaBraM,0,2,0.7675,9,0.7684300821,False,False
WBCIC,LaBraM,1,0,0.6996875,8,0.7684300821,False,False
WBCIC,LaBraM,1,1,0.6909375,8,0.7684300821,False,False
WBCIC,LaBraM,1,2,0.69625,8,0.7684300821,False,False
WBCIC,LaBraM,2,0,0.7865326633165829,8,0.7684300821,True,False
WBCIC,LaBraM,2,1,0.7799811557788945,8,0.7684300821,True,False
WBCIC,LaBraM,2,2,0.770579459798995,8,0.7684300821,True,False
WBCIC,LaBraM,3,0,0.8093059045226132,8,0.7684300821,True,False
WBCIC,LaBraM,3,1,0.8064729899497488,8,0.7684300821,True,False
WBCIC,LaBraM,3,2,0.8030888819095477,8,0.7684300821,True,False
WBCIC,LaBraM,4,0,0.7158291457286432,8,0.7684300821,False,False
WBCIC,LaBraM,4,1,0.6992996231155779,8,0.7684300821,False,False
WBCIC,LaBraM,4,2,0.7089525753768844,8,0.7684300821,False,False
