Dataset,Model,Task BA,D RMSE,I RMSE,D>I,S2-S3 rho,sign concordance,S2 gate harm,SCST 3NN ratio,SCST valid
OpenBMI,EEGNet historical,0.754916666666667,0.0314928,0.0457442,True,,,,1.1628472962,True
OpenBMI,EEGConformer historical,0.771916666666666,,,,,,,1.1493719487,True
OpenBMI,CBraMod,0.731,0.0077696892201609,0.0079685555618548,True,,,,1.1311343562795984,False
OpenBMI,LaBraM,0.6590416666666666,0.0246823315430667,0.0255278575900279,True,,,,1.2373860232439695,False
WBCIC,EEGNet historical,0.789118779255974,0.0118692,0.0165056,True,0.1862005884778532,0.4634146341463415,0.4,1.3079565485,False
WBCIC,EEGConformer historical,0.784797569187813,,,,0.3106889427991859,0.6585365853658537,0.1666666666666666,1.3407995963,False
WBCIC,CBraMod,0.7505245323841429,0.0136892263301752,0.0131298618818882,False,0.3929071181559959,0.5121951219512195,0.4,1.1172447618980812,False
WBCIC,LaBraM,0.7535907895961287,0.0256981518014088,0.044546047838359,True,0.3870671996166107,0.5609756097560976,0.25,1.3056123738964396,False
