model,subjects,Pearson,Spearman,Spearman_CI_low,Spearman_CI_high,sign_concordance,sign_binomial_p,always_adapt_harm,S2_gate_harm,relative_harm_reduction,coverage,anchor_S3_BA,always_adapt_S3_BA,S2_gated_S3_BA,FM_task_competent
CBraMod,41,0.8674652683792374,0.39290711815599594,0.057161492579715326,0.652850442342916,0.5121951219512195,0.5,0.4634146341463415,0.4,0.13684210526315788,0.36585365853658536,0.766800012318305,0.7620858483206043,0.7677756220744025,False
LaBraM,41,0.8544401877128377,0.3870671996166107,0.04459001840750544,0.6683435273488657,0.5609756097560976,0.26635462761805684,0.3170731707317073,0.25,0.21153846153846154,0.5853658536585366,0.7747345918534944,0.7776207707152829,0.7804662991705674,False
