dataset,model,FM_task_competent,independent_probe_BA,residual_stability,stability_CI_low,stability_CI_high,affinity_improvement,affinity_CI_low,affinity_CI_high,advantage_over_random,advantage_over_random_CI_low,advantage_over_random_CI_high,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,independent_session_3NN_ratio,off_manifold_excess_vs_random,gate_FM_task_competence,gate_independent_probe_competence,gate_stability,gate_subject_fidelity,gate_class_fidelity,gate_manifold,valid
OpenBMI,CBraMod,False,0.6888333333333333,0.6574491572350855,0.6142231223033658,0.6976249381763432,0.1300652225364527,0.11910767537345592,0.1401430703052038,0.16719712842519985,0.1535450767293884,0.17998076890847317,0.0030404589371980663,-0.0030404589371980663,0.006624543199295797,1.1311343562795984,-0.003562801932367146,False,True,True,True,True,True,False
OpenBMI,LaBraM,False,0.6408333333333334,0.5177917370432039,0.4415294251465054,0.595520071376612,0.10039829974971981,0.08864220791179807,0.11282636070283435,0.1614696344808908,0.1479951414341925,0.1749047725794772,0.0006971618357487924,-0.0006971618357487924,0.0006593331426920484,1.2373860232439695,-0.03786231884057971,False,True,True,True,True,True,False
WBCIC,CBraMod,False,0.7363427026839103,0.5124107587278197,0.40211732076891343,0.6118611454642687,0.08855647125387525,0.07015532835420486,0.10618246410163297,0.12217652241417855,0.10302509205672532,0.1407809871074652,0.0024959112550428696,-0.0024959112550428696,0.0009545656924387656,1.1172447618980812,-0.0003019323671497598,False,True,True,True,True,True,False
WBCIC,LaBraM,False,0.756121563992027,0.5918661046534504,0.42251599101469534,0.7412364920045789,0.10672051726521106,0.08205558894411555,0.12826388920680806,0.17917070201814544,0.1576774689071666,0.19904173860362281,0.0011177289766602832,-0.0011177289766602832,0.0009365494662552796,1.3056123738964396,-0.18231159420289858,False,True,True,True,True,False,False
