model,fold,seed,subject_id,selected_lr,anchor_S2_BA,adapted_S2_BA,Delta_S2,anchor_S3_BA,adapted_S3_BA,Delta_S3
CBraMod,0,0,1,0.001,0.905,0.92,0.015000000000000013,0.855,0.885,0.030000000000000027
CBraMod,0,0,3,0.001,0.855,0.89,0.03500000000000003,0.8200000000000001,0.83,0.009999999999999898
CBraMod,0,0,5,0.001,0.905,0.895,-0.010000000000000009,0.785,0.775,-0.010000000000000009
CBraMod,0,0,16,0.001,0.495,0.485,-0.010000000000000009,0.5449999999999999,0.5,-0.04499999999999993
CBraMod,0,0,19,0.001,0.9299999999999999,0.945,0.015000000000000013,0.91,0.9299999999999999,0.019999999999999907
CBraMod,0,0,21,0.001,0.79,0.8,0.010000000000000009,0.76,0.795,0.03500000000000003
CBraMod,0,0,28,0.001,0.7,0.705,0.0050000000000000044,0.67,0.6799999999999999,0.009999999999999898
CBraMod,0,0,33,0.001,0.895,0.875,-0.020000000000000018,0.935,0.9299999999999999,-0.0050000000000001155
CBraMod,0,0,37,0.001,0.79,0.79,0.0,0.855,0.865,0.010000000000000009
CBraMod,0,1,1,0.001,0.905,0.915,0.010000000000000009,0.9099999999999999,0.9199999999999999,0.010000000000000009
CBraMod,0,1,3,0.001,0.815,0.8049999999999999,-0.010000000000000009,0.8200000000000001,0.8300000000000001,0.010000000000000009
CBraMod,0,1,5,0.001,0.92,0.915,-0.0050000000000000044,0.76,0.755,-0.0050000000000000044
CBraMod,0,1,16,0.001,0.545,0.51,-0.03500000000000003,0.51,0.54,0.030000000000000027
CBraMod,0,1,19,0.001,0.925,0.8999999999999999,-0.025000000000000133,0.89,0.895,0.0050000000000000044
CBraMod,0,1,21,0.001,0.7849999999999999,0.795,0.01000000000000012,0.785,0.78,-0.0050000000000000044
CBraMod,0,1,28,0.001,0.715,0.675,-0.039999999999999925,0.7050000000000001,0.6599999999999999,-0.04500000000000015
CBraMod,0,1,33,0.001,0.97,0.9550000000000001,-0.014999999999999902,0.955,0.94,-0.015000000000000013
