dataset,model,fold,seed,source_subject,stability_effect,affinity_improvement,advantage_over_random,class_accuracy_change,class_true_log_probability_change
OpenBMI,CBraMod,0,0,1,0.5742643698949279,0.13377494230395875,0.17263160025650054,-0.005217391304347831,0.0010559123513975877
OpenBMI,CBraMod,0,0,3,0.6926148812532499,0.13239043190283664,0.16265471446487628,0.023043478260869537,-0.001768713042908567
OpenBMI,CBraMod,0,0,5,0.7303234104716532,0.1728149490249479,0.23379977530727442,0.012608695652173929,0.027067031561274723
OpenBMI,CBraMod,0,0,6,0.77907917625442,0.14179762240700997,0.17007183976363968,-0.011304347826086974,-0.019909818700586994
OpenBMI,CBraMod,0,0,7,0.6896203693555656,0.14439383394679564,0.18126352248450583,0.0608695652173913,0.06179792318394105
OpenBMI,CBraMod,0,0,8,0.6616403432723572,0.13045513828597793,0.16178705236198238,-0.015217391304347842,0.003161513125048336
OpenBMI,CBraMod,0,0,9,0.7770881050604084,0.06952069942880561,0.0807104096550911,0.008695652173913049,0.00890001312659221
OpenBMI,CBraMod,0,0,10,0.8977284453446297,0.18075167150229385,0.21050979805112852,0.05260869565217395,0.09451319272902693
OpenBMI,CBraMod,0,0,11,0.6173558650772014,0.15625979209261154,0.21967386948638137,0.026521739130434777,0.03737424258504235
OpenBMI,CBraMod,0,0,14,0.36982701430170817,0.08041515575074834,0.10430584072158525,0.004347826086956502,0.016132104336296773
OpenBMI,CBraMod,0,0,21,0.7093300374320324,0.10042112634402925,0.12209346264539997,-0.003913043478260871,-0.006582694988119732
OpenBMI,CBraMod,0,0,22,0.7399981493751144,0.1702026845056022,0.21155204525141877,0.014782608695652144,0.05080219097897443
OpenBMI,CBraMod,0,0,23,0.6516028161525086,0.04622628844451095,0.05425945014033951,0.054782608695652164,0.07547605569425558
OpenBMI,CBraMod,0,0,27,0.8048882012708656,0.12917085120516275,0.151840606399457,-0.0056521739130434715,-0.0003908671482516873
OpenBMI,CBraMod,0,0,28,0.7287239488449955,0.1634896065443553,0.21138839157114325,-0.005652173913043484,-0.019458170236472557
