fm,lr,cells,anchor_BA,adapted_BA,delta,NLL,prediction_change,parameter_change
CBraMod,0.001,123,0.7414634146341463,0.775609756097561,0.03414634146341463,0.486196843149133,0.1032520325203252,0.16582446857317676
LaBraM,0.001,123,0.7444444444444445,0.7678861788617887,0.02344173441734417,0.4807697121466973,0.08523035230352304,0.1918191485773257
