dataset,model,task_BA,task_BA_sd,runs,competence_threshold,competent
OpenBMI,CBraMod,0.731,0.03188532745861106,15,0.7519166667,False
OpenBMI,LaBraM,0.6590416666666666,0.05568008241176511,15,0.7519166667,False
WBCIC,CBraMod,0.7505245323841429,0.04487470091778459,15,0.7684300821,False
WBCIC,LaBraM,0.7535907895961287,0.04554308747903047,15,0.7684300821,False
