dataset,model,fold,seed,run,direction,persistence,geometry_strength,rank,identity,decision,consequence
OpenBMI,CBraMod,0,0,f0,0,0.8926250605112702,7.964554523452471,1,0.0160357135703314,0.19380456447585231,0.0018463911170726176
OpenBMI,CBraMod,0,0,f0,1,0.82839757128694,7.3397294432228035,2,0.19015273242757602,0.08769393933023499,0.002935520180447041
OpenBMI,CBraMod,0,0,f0,2,0.8024336899592496,6.690273286809213,3,-0.0007572950856404859,0.06524686093289293,0.002221856272356329
OpenBMI,CBraMod,0,0,f0,3,0.7696471166476327,7.0143879449410695,4,0.09869161059720344,0.22580124711065633,0.0010156953409151382
OpenBMI,CBraMod,0,0,f0,4,0.7462184319144588,4.209861901085523,5,0.05557363578296726,0.017139306012541582,7.602504604111906e-05
OpenBMI,CBraMod,0,0,f0,5,0.7455014675929774,3.9209873957057213,6,0.04629163853747531,0.03600108785978573,-0.0009581873916651676
OpenBMI,CBraMod,0,0,f0,6,0.7203502064520073,6.2482838430666545,7,0.013768288468982037,0.22994629568681738,0.006016676379421575
OpenBMI,CBraMod,0,0,f0,7,0.6616546090830372,3.1961179711676837,8,0.03463774123180208,0.05777625634362392,0.0014021554028662779
OpenBMI,CBraMod,0,1,f0,0,0.8479010098376017,2.200656765598133,1,-0.04034388532919486,0.00542073052526408,-0.00027323230830960104
OpenBMI,CBraMod,0,1,f0,1,0.8413407134325506,5.713595456624237,2,0.0469148339267933,0.004622504322213485,0.00011577600654781257
OpenBMI,CBraMod,0,1,f0,2,0.8329671460835606,5.6461385365403665,3,0.042966730984603574,0.01651276425075347,-0.0005718460857533271
OpenBMI,CBraMod,0,1,f0,3,0.8235236508125473,3.957713859163091,4,-0.005770090152292795,0.013270845935333507,0.0007846703285073049
OpenBMI,CBraMod,0,1,f0,4,0.8062924441312831,3.1999392155980804,5,0.03133873609564897,0.00869832565627617,0.0004262479896052243
OpenBMI,CBraMod,0,1,f0,5,0.7530300355472558,4.721280462279884,6,0.0009198090772515322,0.013795350224431107,0.000635150146855332
OpenBMI,CBraMod,0,1,f0,6,0.7347207842447945,2.700457090987757,7,0.03135692690794101,0.03255906106525642,0.0005813507551647918
OpenBMI,CBraMod,0,1,f0,7,0.7163347472475537,2.557599558830226,8,0.0648533510928293,0.011527402443766984,0.000503021332055792
OpenBMI,CBraMod,0,2,f0,0,0.8463146306019494,4.532390069380705,1,0.0007373326211674858,0.02558283069873069,-6.127423919419686e-05
OpenBMI,CBraMod,0,2,f0,1,0.8138913849319706,10.362248656236455,2,-0.05694173609824826,0.24628505636964107,-0.005588531376786883
OpenBMI,CBraMod,0,2,f0,2,0.8123152404022943,4.502563205960002,3,0.09988664453008589,0.006137452735839839,-0.00021905095689058165
OpenBMI,CBraMod,0,2,f0,3,0.7757724374963201,4.178658163568512,4,-0.021229133460538563,0.23876754850060702,-0.007115691336063406
OpenBMI,CBraMod,0,2,f0,4,0.760155019013917,6.937018329533123,5,-0.19680304109127578,0.341622413156593,-0.026725983261850706
OpenBMI,CBraMod,0,2,f0,5,0.6769512441424554,5.5418868940974955,6,-0.05254855716488005,0.08384342284737793,-0.005269353227991103
OpenBMI,CBraMod,0,2,f0,6,0.6437670572179323,2.0541522103442733,7,0.08175189058112653,0.026986389202539436,-0.0005098810837228995
OpenBMI,CBraMod,0,2,f0,7,0.6058572614056562,2.5644775106992164,8,0.01106632781666117,0.06942650763046512,-0.0015175699065743597
OpenBMI,CBraMod,1,0,f1,0,0.8788638356702063,5.950922693274436,1,0.09487418915214552,0.07179615486024568,-0.0062102297263490055
OpenBMI,CBraMod,1,0,f1,1,0.8137345889298692,3.2864968579933627,2,-0.00924662659024622,0.11311223377994215,-0.005073788364672958
OpenBMI,CBraMod,1,0,f1,2,0.7748640189100946,5.988483082904541,3,0.23368509064411513,0.20443704987991618,-0.02068820113208047
OpenBMI,CBraMod,1,0,f1,3,0.7391136336994062,5.459881181887174,4,0.006326612846192958,0.3192407152922697,-0.03229162548975172
OpenBMI,CBraMod,1,0,f1,4,0.7172911918116933,3.1066157410975213,5,0.25039243898156405,0.02283807177016354,-0.0012920601610818011
OpenBMI,CBraMod,1,0,f1,5,0.7059711036841829,7.1051672037889,6,0.1105224374004784,0.13975568153086038,-0.007518140020733466
OpenBMI,CBraMod,1,0,f1,6,0.6894494471919385,3.147658168776235,7,0.023446108546801958,0.08876289504476463,-0.0013984834781059158
OpenBMI,CBraMod,1,0,f1,7,0.5736148575138297,2.6661722350485415,8,0.010879565791045653,0.05916182625300616,-0.0019818539468503906
OpenBMI,CBraMod,1,1,f1,0,0.8737286937935768,8.655304374434358,1,-0.01706290222396789,0.00679262155723807,0.00037825216781395694
OpenBMI,CBraMod,1,1,f1,1,0.8155653608434236,6.41507771235187,2,0.06887595940700852,0.1520555592098829,0.00647017990251118
OpenBMI,CBraMod,1,1,f1,2,0.7738176817979524,11.527311467765488,3,0.1476171508582208,0.3854246620574457,-0.016870757850505316
OpenBMI,CBraMod,1,1,f1,3,0.6759260324743239,2.442682063451988,4,-0.017577437906491022,0.018325445705932905,-4.408181491027299e-05
OpenBMI,CBraMod,1,1,f1,4,0.6706555730849239,2.1022504569280995,5,0.027917184737899503,0.006320081692473242,-0.00010296290922312285
OpenBMI,CBraMod,1,1,f1,5,0.6127806145487529,3.7576998402089417,6,0.012646768584023027,0.023925517403727746,-0.00021212398859865548
OpenBMI,CBraMod,1,1,f1,6,0.6015055527881995,6.072004882811329,7,0.09404259668284232,0.057681002554537335,-0.0015899518635657298
