model,subject_id,Delta_S2,Delta_S3,anchor_S3_BA,adapted_S3_BA
CBraMod,1,-0.001666666666666668,0.008333333333333304,0.89,0.8983333333333333
CBraMod,11,0.0033333333333332993,0.00833333333333334,0.8033333333333333,0.8116666666666666
CBraMod,12,-0.008333333333333304,0.003333333333333336,0.7200000000000001,0.7233333333333333
CBraMod,13,-0.003333333333333336,-0.008333333333333304,0.7716666666666666,0.7633333333333333
CBraMod,14,-0.033333333333333326,-0.01833333333333335,0.54,0.5216666666666666
CBraMod,16,-0.03333333333333335,-0.02999999999999999,0.5416666666666666,0.5116666666666667
CBraMod,17,0.01166666666666664,0.0,0.7933333333333333,0.7933333333333333
CBraMod,18,0.006666666666666672,0.0033333333333333734,0.59,0.5933333333333334
CBraMod,19,0.0050000000000000044,0.01166666666666664,0.9049999999999999,0.9166666666666666
CBraMod,2,-0.0033333333333332993,0.0016666666666667052,0.6833333333333332,0.685
CBraMod,21,0.011666666666666678,0.013333333333333345,0.7833333333333333,0.7966666666666667
CBraMod,22,-0.07166666666666666,-0.034999999999999996,0.6833333333333332,0.6483333333333333
CBraMod,23,-0.0016666666666666312,-0.006666666666666599,0.9383333333333334,0.9316666666666666
CBraMod,24,-0.003400673400673404,5.2609427609429105e-05,0.8904671717171717,0.8905197811447811
CBraMod,25,-0.008333333333333304,0.018333333333333313,0.9400000000000001,0.9583333333333334
CBraMod,26,0.0033333333333332993,0.014999999999999939,0.6816666666666666,0.6966666666666667
CBraMod,27,0.001666666666666668,-0.0050000000000000044,0.635,0.63
CBraMod,28,-0.04999999999999997,-0.03833333333333344,0.6833333333333335,0.6449999999999999
CBraMod,29,-0.13666666666666674,-0.14499999999999993,0.8833333333333333,0.7383333333333333
CBraMod,3,0.010000000000000009,-0.001666666666666668,0.835,0.8333333333333334
CBraMod,30,-0.0033333333333332624,0.006666666666666672,0.87,0.8766666666666666
CBraMod,31,0.001666666666666668,0.010000000000000009,0.54,0.5499999999999999
CBraMod,32,0.008383838383838401,-0.006666666666666672,0.5316666666666666,0.525
CBraMod,33,-0.0016666666666666312,-0.008333333333333415,0.9416666666666668,0.9333333333333332
CBraMod,34,-1.850371707708594e-17,0.013333333333333383,0.525,0.5383333333333334
CBraMod,35,0.013333333333333345,0.008333333333333267,0.915,0.9233333333333332
CBraMod,36,-3.700743415417188e-17,0.014999999999999939,0.945,0.96
CBraMod,37,0.018333333333333313,-0.004999999999999967,0.8099999999999999,0.805
CBraMod,38,0.003333333333333336,-0.013333333333333383,0.45333333333333337,0.43999999999999995
CBraMod,41,-0.0016666666666667422,0.026666666666666655,0.7816666666666667,0.8083333333333332
CBraMod,42,-0.03833333333333333,-0.006666666666666672,0.695,0.6883333333333334
CBraMod,44,-0.031666666666666655,-0.0366666666666667,0.7916666666666666,0.7549999999999999
CBraMod,45,-0.013333333333333383,0.0016666666666666312,0.9216666666666667,0.9233333333333333
CBraMod,47,0.005000000000000042,0.013333333333333272,0.9216666666666667,0.9349999999999999
CBraMod,48,-0.008333333333333304,-0.011666666666666603,0.745,0.7333333333333334
CBraMod,49,-0.0016666666666667052,-7.401486830834377e-17,0.8466666666666667,0.8466666666666667
CBraMod,5,-0.0033333333333332993,-0.0050000000000000044,0.77,0.765
CBraMod,50,0.0016666666666667052,-0.011666666666666678,0.935,0.9233333333333333
CBraMod,6,-0.008333333333333304,0.010000000000000045,0.9083333333333333,0.9183333333333333
CBraMod,7,-0.0016666666666667422,3.700743415417188e-17,0.7916666666666666,0.7916666666666666
CBraMod,9,-0.018333333333333313,0.011666666666666678,0.6066666666666666,0.6183333333333333
LaBraM,1,0.001666666666666668,-0.0016666666666666312,0.8733333333333334,0.8716666666666667
LaBraM,11,0.001666666666666668,7.401486830834377e-17,0.7799999999999999,0.7799999999999999
LaBraM,12,-0.0016666666666666312,0.011666666666666678,0.7233333333333333,0.735
LaBraM,13,-0.0050000000000000044,0.003333333333333336,0.84,0.8433333333333334
LaBraM,14,0.001666666666666668,0.011666666666666678,0.505,0.5166666666666667
LaBraM,16,0.006666666666666672,0.00833333333333334,0.5066666666666667,0.515
LaBraM,17,0.006666666666666672,0.003333333333333336,0.7916666666666666,0.7949999999999999
LaBraM,18,-0.00833333333333334,-0.02833333333333336,0.62,0.5916666666666667
LaBraM,19,0.010000000000000009,0.005000000000000042,0.9183333333333333,0.9233333333333333
LaBraM,2,-0.008333333333333415,-0.004999999999999967,0.7283333333333334,0.7233333333333333
LaBraM,21,-0.00666666666666671,-0.0016666666666666312,0.8166666666666668,0.8150000000000001
LaBraM,22,0.0050000000000000044,0.003333333333333336,0.7233333333333333,0.7266666666666666
LaBraM,23,0.0,0.003333333333333336,0.9533333333333333,0.9566666666666667
LaBraM,24,0.0033670033670033885,0.0,0.8857849326599326,0.8857849326599326
LaBraM,25,-0.003333333333333336,-0.001666666666666668,0.9583333333333334,0.9566666666666667
LaBraM,26,0.008333333333333378,0.008333333333333304,0.7766666666666667,0.785
LaBraM,27,-0.026666666666666672,-0.05666666666666664,0.61,0.5533333333333333
LaBraM,28,0.10166666666666668,0.11166666666666665,0.61,0.7216666666666667
LaBraM,29,-0.125,-0.06999999999999999,0.8300000000000001,0.7600000000000001
LaBraM,3,3.700743415417188e-17,0.013333333333333345,0.8466666666666667,0.86
LaBraM,30,0.001666666666666668,0.006666666666666672,0.8466666666666667,0.8533333333333334
LaBraM,31,0.0,-0.0016666666666666312,0.5866666666666666,0.585
LaBraM,32,-0.016464646464646477,0.0050000000000000044,0.5933333333333334,0.5983333333333333
LaBraM,33,0.015000000000000088,0.011666666666666678,0.9183333333333333,0.93
LaBraM,34,0.006666666666666672,-0.008333333333333304,0.5366666666666666,0.5283333333333333
LaBraM,35,-0.001666666666666668,3.700743415417188e-17,0.9466666666666667,0.9466666666666667
LaBraM,36,-3.700743415417188e-17,0.0,0.9566666666666667,0.9566666666666667
LaBraM,37,0.0766666666666667,0.040000000000000036,0.775,0.8150000000000001
LaBraM,38,-0.02833333333333336,0.010000000000000045,0.5083333333333333,0.5183333333333334
LaBraM,41,0.0016666666666666312,-0.001666666666666668,0.8016666666666667,0.7999999999999999
LaBraM,42,-0.010000000000000045,0.0033333333333332993,0.6766666666666667,0.68
LaBraM,44,0.006666666666666672,0.009999999999999972,0.7799999999999999,0.79
LaBraM,45,0.0033333333333332993,-0.0016666666666667052,0.9116666666666667,0.91
LaBraM,47,-0.0033333333333333734,0.008333333333333267,0.915,0.9233333333333332
LaBraM,48,0.01166666666666664,-0.0016666666666667052,0.775,0.7733333333333333
LaBraM,49,0.014999999999999977,0.00666666666666671,0.875,0.8816666666666667
LaBraM,5,0.0033333333333333734,0.008333333333333378,0.77,0.7783333333333333
LaBraM,50,0.0,0.003333333333333336,0.93,0.9333333333333332
LaBraM,6,0.001666666666666668,0.003333333333333336,0.9183333333333333,0.9216666666666667
LaBraM,7,0.0050000000000000044,-0.011666666666666603,0.8266666666666667,0.8150000000000001
LaBraM,9,0.006666666666666599,0.010000000000000009,0.6183333333333333,0.6283333333333333
