backbone,block,rank,delta_BA_mean,delta_BA_random_mean,delta_BA_specific_mean,delta_BA_specific_CI95_L,delta_BA_specific_CI95_U,p_raw,minimum_LOSO_mean,minimum_leave_one_fold_out_mean,nonnegative_subject_fraction,median_specific,worst_subject_specific,worst20_subject_specific,stability_preliminary,p_holm
EEGConformer,P01_04,4,-0.04269847868933234,-0.001490545700911554,-0.04120793298842079,-0.06026350024636612,-0.024037225609756102,1.0,-0.043371881313131314,-0.04546288644015917,0.17073170731707318,-0.02554999999999996,-0.2425252525252527,-0.13335836139169477,False,1.0
EEGConformer,P05_08,4,0.0028061098792806207,0.0013644432126139695,0.0014416666666666514,-0.0042181554878049045,0.008511072154471529,0.36141638583614166,-0.0011822916666666809,-0.0002809895833333492,0.4634146341463415,-0.0010999999999999899,-0.05035000000000012,-0.01743888888888886,False,1.0
EEGConformer,P09_16,8,0.0031719635378172012,0.002331858216309459,0.000840105321507742,-0.0027085435144124257,0.004412340631929023,0.3269467305326947,-0.00011389204545456249,-0.00015017217630855254,0.5609756097560976,0.0016499999999998183,-0.027900000000000036,-0.014855555555555547,False,1.0
EEGConformer,P17_32,16,-3.4337275190929126e-05,0.0021166743656072964,-0.0021510116407982257,-0.006189620288248343,0.001971006097560966,0.8413815861841382,-0.003132286931818179,-0.0027770144628099184,0.43902439024390244,-0.0025999999999998247,-0.03649147727272728,-0.01853794191919191,False,1.0
