backbone,block,rank,mean_specific_advantage,CI95_L,CI95_U,p_raw,p_holm
TeCh,P01_04,4,0.0031629005885790915,0.0005064231599899721,0.006583103481660419,0.007999920000799993,0.03199968000319997
TeCh,P05_08,4,3.134768824190524e-05,-3.364451801182208e-06,6.943599150990321e-05,0.05075949240507595,0.15227847721522786
TeCh,P09_16,8,-3.409004893191058e-28,-9.43813969829878e-28,-1.9254352125114104e-29,1.0,1.0
TeCh,P17_32,16,-7.391859932976605e-29,-2.0004589856227958e-28,-6.414969459508718e-30,1.0,1.0
