backbone,fold,subject,n_S3_trials,baseline_BA,baseline_CE
DeepConvNet,0,sub-1,200,0.895,0.24858666429855208
DeepConvNet,0,sub-3,200,0.845,0.3717039007500375
DeepConvNet,0,sub-5,200,0.8,0.3971743020097588
DeepConvNet,0,sub-16,200,0.5,0.8767262949089943
DeepConvNet,0,sub-19,200,0.935,0.17851939169940984
DeepConvNet,0,sub-21,200,0.7949999999999999,0.37168467757006524
DeepConvNet,0,sub-28,200,0.615,0.6351458600159675
DeepConvNet,0,sub-33,200,0.935,0.19363452177854262
DeepConvNet,0,sub-37,200,0.74,0.47011171729030876
DeepConvNet,1,sub-2,200,0.61,0.6199037168110348
DeepConvNet,1,sub-11,200,0.575,0.6583014028859392
DeepConvNet,1,sub-13,200,0.62,0.6230445903606804
DeepConvNet,1,sub-18,200,0.515,0.6890925547132756
DeepConvNet,1,sub-27,200,0.5,0.6965611734182611
DeepConvNet,1,sub-36,200,0.865,0.46945050066484073
DeepConvNet,1,sub-44,200,0.715,0.5717454958804573
DeepConvNet,1,sub-45,200,0.75,0.5220308252637419
DeepConvNet,2,sub-9,200,0.56,0.7472358104024593
DeepConvNet,2,sub-22,200,0.6799999999999999,0.6096908072259148
DeepConvNet,2,sub-25,200,0.96,0.0801267566113946
DeepConvNet,2,sub-26,200,0.67,0.6433889637978484
DeepConvNet,2,sub-29,200,0.71,0.5459566638203414
DeepConvNet,2,sub-34,200,0.44999999999999996,0.9177257484271389
DeepConvNet,2,sub-35,200,0.88,0.22344096885244796
DeepConvNet,2,sub-49,200,0.8999999999999999,0.28379397322391164
DeepConvNet,3,sub-6,200,0.895,0.17588617930540854
DeepConvNet,3,sub-23,200,0.965,0.1590342509550727
DeepConvNet,3,sub-24,195,0.8912563131313131,0.26310006026085814
DeepConvNet,3,sub-30,200,0.8200000000000001,0.3990430116190498
DeepConvNet,3,sub-31,200,0.5700000000000001,0.7125728697424151
DeepConvNet,3,sub-38,200,0.53,0.707428350753911
DeepConvNet,3,sub-41,200,0.865,0.31135748489621107
DeepConvNet,3,sub-42,200,0.655,0.5557230996307763
DeepConvNet,4,sub-7,200,0.8,0.4013201356347087
DeepConvNet,4,sub-12,200,0.73,0.49086911321728377
DeepConvNet,4,sub-14,200,0.47000000000000003,0.7830260985270485
DeepConvNet,4,sub-17,200,0.845,0.37048488137250296
DeepConvNet,4,sub-32,200,0.545,0.7372280884718668
DeepConvNet,4,sub-47,200,0.91,0.23004724751084793
DeepConvNet,4,sub-48,200,0.795,0.4241786237294539
DeepConvNet,4,sub-50,200,0.955,0.10404743927420342
