backbone,fold,subject,n_S3_trials,baseline_BA,baseline_CE
EEGConformer,0,sub-1,200,0.51,0.6889305893820173
EEGConformer,0,sub-3,200,0.505,0.7862738741190506
EEGConformer,0,sub-5,200,0.48000000000000004,0.7283657308020131
EEGConformer,0,sub-16,200,0.535,0.7142494228306069
EEGConformer,0,sub-19,200,0.5,0.8459151474807385
EEGConformer,0,sub-21,200,0.575,0.6831178227169994
EEGConformer,0,sub-28,200,0.5,0.7872602232062283
EEGConformer,0,sub-33,200,0.505,0.596832880707938
EEGConformer,0,sub-37,200,0.505,0.7839519425686311
EEGConformer,1,sub-2,200,0.44999999999999996,0.9295278063418795
EEGConformer,1,sub-11,200,0.645,0.7041269433385666
EEGConformer,1,sub-13,200,0.495,0.7818170355305714
EEGConformer,1,sub-18,200,0.495,0.8240820465906619
EEGConformer,1,sub-27,200,0.5700000000000001,0.670314523461611
EEGConformer,1,sub-36,200,0.66,0.6068711514914483
EEGConformer,1,sub-44,200,0.5700000000000001,0.837061334515772
EEGConformer,1,sub-45,200,0.595,0.8160358561662489
EEGConformer,2,sub-9,200,0.51,0.8760445638158103
EEGConformer,2,sub-22,200,0.625,0.637842730910603
EEGConformer,2,sub-25,200,0.5549999999999999,0.805952378596339
EEGConformer,2,sub-26,200,0.535,0.8272872435252029
EEGConformer,2,sub-29,200,0.7949999999999999,0.4327059911310232
EEGConformer,2,sub-34,200,0.555,0.918288976909543
EEGConformer,2,sub-35,200,0.615,0.7294032780508678
EEGConformer,2,sub-49,200,0.69,0.636286932352016
EEGConformer,3,sub-6,200,0.52,0.7876543301930574
EEGConformer,3,sub-23,200,0.71,0.5553123004675122
EEGConformer,3,sub-24,195,0.7460542929292929,0.4895390613417424
EEGConformer,3,sub-30,200,0.535,1.0435960164173121
EEGConformer,3,sub-31,200,0.585,0.868220931264738
EEGConformer,3,sub-38,200,0.585,0.7384340780177305
EEGConformer,3,sub-41,200,0.73,0.5366186616590112
EEGConformer,3,sub-42,200,0.505,0.807872181679672
EEGConformer,4,sub-7,200,0.5,0.9155356392161429
EEGConformer,4,sub-12,200,0.505,0.7620965933069717
EEGConformer,4,sub-14,200,0.475,0.8569894811570152
EEGConformer,4,sub-17,200,0.49,1.1150186624639777
EEGConformer,4,sub-32,200,0.6799999999999999,0.5847653235402411
EEGConformer,4,sub-47,200,0.54,0.7773565324560551
EEGConformer,4,sub-48,200,0.5549999999999999,0.7060455183261704
EEGConformer,4,sub-50,200,0.71,0.5960818880232714
