backbone,block,rank,H1,H2,H3,H4,H5,preliminary_all_H1_H5,protected_utility_gate,p_H1_raw,p_H2_raw,p_H3_local_raw,p_H3_finite_raw,p_H4_raw,p_joint_raw,assignment,action
TeCh,P01_04,4,True,False,True,False,False,False,True,0.007999920000799993,1.0,9.536734069124156e-07,9.99990000099999e-06,1.0,1.0,PROTECTED,PRESERVE
TeCh,P05_08,4,False,False,False,False,True,False,False,0.05075949240507595,0.07892921070789292,0.9668531733959451,1.0,0.051849481505184945,1.0,UNCERTAIN,NO_OP
TeCh,P09_16,8,False,False,False,False,False,False,False,1.0,0.6009639903600964,1.0,1.0,0.5709642903570964,1.0,UNCERTAIN,NO_OP
TeCh,P17_32,16,False,False,False,False,False,False,False,1.0,0.4418355816441836,1.0,1.0,0.6659033409665903,1.0,UNCERTAIN,NO_OP
