backbone,config,fold,subject,n_S3_trials,balanced_accuracy,macro_f1,cross_entropy
TeCh,TECH_D64_BASE,0,sub-1,200,0.815,0.8144386769979186,0.4827669412306481
TeCh,TECH_D64_BASE,0,sub-3,200,0.7749999999999999,0.7740453415681253,0.49992206881093215
TeCh,TECH_D64_BASE,0,sub-5,200,0.71,0.7097387648883995,0.5716144311470706
TeCh,TECH_D64_BASE,0,sub-16,200,0.47,0.4622564935064935,0.7861155283762298
TeCh,TECH_D64_BASE,0,sub-19,200,0.9,0.8999899989999001,0.32138073962519687
TeCh,TECH_D64_BASE,0,sub-21,200,0.8,0.7998198378540686,0.4787418148937965
TeCh,TECH_D64_BASE,0,sub-28,200,0.665,0.664320248503219,0.6441441209679981
TeCh,TECH_D64_BASE,0,sub-33,200,0.84,0.8399359743897559,0.3946147546983472
TeCh,TECH_D64_BASE,0,sub-37,200,0.7250000000000001,0.7234443746071653,0.5622152360871578
TeCh,TECH_D64_BASE,1,sub-2,200,0.73,0.7295673076923077,0.5482540761717913
TeCh,TECH_D64_BASE,1,sub-11,200,0.6,0.5951007186962243,0.7223805584586791
TeCh,TECH_D64_BASE,1,sub-13,200,0.6299999999999999,0.6286631874749097,0.6451602724403471
TeCh,TECH_D64_BASE,1,sub-18,200,0.58,0.57995799579958,0.7200555973702606
TeCh,TECH_D64_BASE,1,sub-27,200,0.65,0.6498599439775911,0.6399975132027175
TeCh,TECH_D64_BASE,1,sub-36,200,0.95,0.9499949994999499,0.20510537872140364
TeCh,TECH_D64_BASE,1,sub-44,200,0.76,0.75997599759976,0.5345770983254071
TeCh,TECH_D64_BASE,1,sub-45,200,0.87,0.8699479791916767,0.35172742606611784
TeCh,TECH_D64_BASE,2,sub-9,200,0.58,0.57995799579958,0.7231276812172964
TeCh,TECH_D64_BASE,2,sub-22,200,0.45,0.44862155388471175,0.7863250674241309
TeCh,TECH_D64_BASE,2,sub-25,200,0.9199999999999999,0.9198717948717949,0.2564515749673283
TeCh,TECH_D64_BASE,2,sub-26,200,0.685,0.6849921248031201,0.6991474419200275
TeCh,TECH_D64_BASE,2,sub-29,200,0.8049999999999999,0.8049561151259033,0.4881850516561447
TeCh,TECH_D64_BASE,2,sub-34,200,0.535,0.5349883747093678,0.7748418191506663
TeCh,TECH_D64_BASE,2,sub-35,200,0.825,0.8246449059345173,0.3790566810592505
TeCh,TECH_D64_BASE,2,sub-49,200,0.885,0.8847666524712543,0.32151216883273376
TeCh,TECH_D64_BASE,3,sub-6,200,0.895,0.8949343339587242,0.26206916943297803
TeCh,TECH_D64_BASE,3,sub-23,200,0.91,0.90999099909991,0.32189588527802415
TeCh,TECH_D64_BASE,3,sub-24,195,0.8465909090909092,0.8461174242424243,0.35997315747054426
TeCh,TECH_D64_BASE,3,sub-30,200,0.885,0.8849741191768148,0.3311524319021419
TeCh,TECH_D64_BASE,3,sub-31,200,0.51,0.5082296266559615,0.8128368702595625
TeCh,TECH_D64_BASE,3,sub-38,200,0.525,0.48912371272619715,0.7729752683297619
TeCh,TECH_D64_BASE,3,sub-41,200,0.78,0.779205138498595,0.4819902333993694
