backbone,fold,block,rank,eigenvalue_sum,minimum_eigenvalue,basis_sha256,embedding_sha256,representation_dim,effective_positive_rank,rank_tolerance,top32_orthogonality_error,cross_covariance_condition_positive,s1_s2_centroid_correlation,s1_s2_principal_angle_mean_deg,s1_s2_principal_angle_max_deg
DeepConvNet,0,P01_04,4,8.651748521481915,0.5921221883367183,8c6ae8c44072cdd16d571cedaee799b3aae25d5a6f34eb9f1e45c8280e3fcd28,9f77554f382060f32d3eb6ec3d3fcbe0a8bc43fba7a7f25f7d5ddc2a3f1dce3e,256,7,2.6690159649507067e-13,5.898654801707976e-15,37.59335578873978,0.847209677485461,46.43703529521605,88.73813635670405
DeepConvNet,0,P05_08,4,0.6103571513338304,1.1024195199011403e-15,8c6ae8c44072cdd16d571cedaee799b3aae25d5a6f34eb9f1e45c8280e3fcd28,9f77554f382060f32d3eb6ec3d3fcbe0a8bc43fba7a7f25f7d5ddc2a3f1dce3e,256,7,2.6690159649507067e-13,5.898654801707976e-15,37.59335578873978,0.847209677485461,46.43703529521605,88.73813635670405
DeepConvNet,0,P09_16,8,3.922678575724553e-15,2.5023556749301736e-16,8c6ae8c44072cdd16d571cedaee799b3aae25d5a6f34eb9f1e45c8280e3fcd28,9f77554f382060f32d3eb6ec3d3fcbe0a8bc43fba7a7f25f7d5ddc2a3f1dce3e,256,7,2.6690159649507067e-13,5.898654801707976e-15,37.59335578873978,0.847209677485461,46.43703529521605,88.73813635670405
DeepConvNet,0,P17_32,16,2.565880796716289e-15,1.1694658466489505e-16,8c6ae8c44072cdd16d571cedaee799b3aae25d5a6f34eb9f1e45c8280e3fcd28,9f77554f382060f32d3eb6ec3d3fcbe0a8bc43fba7a7f25f7d5ddc2a3f1dce3e,256,7,2.6690159649507067e-13,5.898654801707976e-15,37.59335578873978,0.847209677485461,46.43703529521605,88.73813635670405
DeepConvNet,1,P01_04,4,0.6313098282003577,0.025353198178706866,0548d8ca8397715895e5494b2f13f9566e1641caab06e80d25a6ba822f0300a0,150b3c35da5fd05bd8b289e5d3174ac0a7c9d234b709e1e1d93f5d294b15964b,256,7,5.684341886080802e-14,6.3652447710768835e-15,135.7770572875755,0.8551546146301603,45.78399241611323,87.50880834318669
DeepConvNet,1,P05_08,4,0.020655897454355053,6.741949016743145e-17,0548d8ca8397715895e5494b2f13f9566e1641caab06e80d25a6ba822f0300a0,150b3c35da5fd05bd8b289e5d3174ac0a7c9d234b709e1e1d93f5d294b15964b,256,7,5.684341886080802e-14,6.3652447710768835e-15,135.7770572875755,0.8551546146301603,45.78399241611323,87.50880834318669
DeepConvNet,1,P09_16,8,2.774700487896879e-16,2.1792548606702605e-17,0548d8ca8397715895e5494b2f13f9566e1641caab06e80d25a6ba822f0300a0,150b3c35da5fd05bd8b289e5d3174ac0a7c9d234b709e1e1d93f5d294b15964b,256,7,5.684341886080802e-14,6.3652447710768835e-15,135.7770572875755,0.8551546146301603,45.78399241611323,87.50880834318669
DeepConvNet,1,P17_32,16,2.0436252739598094e-16,8.146469328958655e-18,0548d8ca8397715895e5494b2f13f9566e1641caab06e80d25a6ba822f0300a0,150b3c35da5fd05bd8b289e5d3174ac0a7c9d234b709e1e1d93f5d294b15964b,256,7,5.684341886080802e-14,6.3652447710768835e-15,135.7770572875755,0.8551546146301603,45.78399241611323,87.50880834318669
DeepConvNet,2,P01_04,4,28.67176323908596,1.0049403437601028,e04d34e31d9e46ce5dbe30abe41c82437584adc5019d10cbb9b60f7509b7d00b,541a10fa506d4ba47b9ba59bdefbae44d8fc6c5d42f105251de022f8f1102d8f,256,7,1.1302063398148011e-12,6.7329976073705736e-15,102.7685881892607,0.6605705792496378,41.8639013679507,79.18752995279924
DeepConvNet,2,P05_08,4,0.8866748727755762,4.5112839630740855e-15,e04d34e31d9e46ce5dbe30abe41c82437584adc5019d10cbb9b60f7509b7d00b,541a10fa506d4ba47b9ba59bdefbae44d8fc6c5d42f105251de022f8f1102d8f,256,7,1.1302063398148011e-12,6.7329976073705736e-15,102.7685881892607,0.6605705792496378,41.8639013679507,79.18752995279924
