backbone,fold,block,subject,base_BA,candidate_BA,random_BA_mean,u_abs,u_random,u_spec,delta_BA,delta_BA_random,delta_BA_specific,logit_RMS,margin_displacement,prediction_flip_rate,total_variation
EEGConformer,0,P01_04,sub-1,0.51,0.5,0.52555,0.041434062955436966,0.013335280079571726,0.02809878287586524,-0.010000000000000009,0.015549999999999953,-0.02554999999999996,0.30460066334978986,0.38559717678846583,0.14,0.0923007200775892
EEGConformer,0,P01_04,sub-3,0.505,0.495,0.5121499999999999,-0.05874897504243754,-0.015050139349343197,-0.043698835693094344,-0.010000000000000009,0.007149999999999879,-0.017149999999999888,0.46569917192799215,0.5211260865474143,0.03,0.10778723499409659
EEGConformer,0,P01_04,sub-5,0.48000000000000004,0.5,0.5065,0.0032531212777100835,0.003846290540446929,-0.0005931692627368455,0.019999999999999962,0.026499999999999913,-0.00649999999999995,0.3558765324975239,0.397360039384461,0.19,0.09271868620915534
EEGConformer,0,P01_04,sub-16,0.535,0.5,0.5236999999999999,0.018449727358421784,0.005957636175222241,0.012492091183199543,-0.03500000000000003,-0.011300000000000088,-0.023699999999999943,0.26455573821805434,0.2891517963371512,0.115,0.06790600357443027
EEGConformer,0,P01_04,sub-19,0.5,0.5,0.5013500000000001,-0.11949517386078759,-0.028276416244036477,-0.0912187576167511,0.0,0.0013500000000000734,-0.0013500000000000734,0.5529318341133126,0.7145966817693054,0.01,0.14478663855757945
EEGConformer,0,P01_04,sub-21,0.575,0.5,0.5436000000000001,0.04729592445743213,0.014972147032868508,0.03232377742456362,-0.07499999999999996,-0.03139999999999987,-0.04360000000000008,0.5692898989247912,0.7165101905378556,0.655,0.1733553673236306
EEGConformer,0,P01_04,sub-28,0.5,0.5,0.5091,-0.06239003981474458,-0.014996332811574314,-0.04739370700317026,0.0,0.009099999999999997,-0.009099999999999997,0.46622606492870106,0.5361183232745722,0.06,0.10963498968949242
EEGConformer,0,P01_04,sub-33,0.505,0.5,0.61615,0.14178652920463286,0.019824277424654268,0.12196225177997859,-0.0050000000000000044,0.11114999999999997,-0.11614999999999998,0.3443548041290306,0.4017056306740433,0.015,0.08924809875465811
EEGConformer,0,P01_04,sub-37,0.505,0.5,0.5006,-0.05702749209276771,-0.010050305167776061,-0.04697718692499165,-0.0050000000000000044,-0.0043999999999999595,-0.0006000000000000449,0.3639672062744446,0.4223243529232628,0.045,0.09110594753080976
EEGConformer,0,P05_08,sub-1,0.51,0.5249999999999999,0.5203500000000001,-0.006783751841322789,0.00025852090473934126,-0.007042272746062131,0.014999999999999902,0.010350000000000081,0.004649999999999821,0.11768514810087304,0.16635944184005447,0.315,0.04042041900611034
EEGConformer,0,P05_08,sub-3,0.505,0.515,0.5055499999999999,-0.03071769208100071,-0.006574265932057346,-0.024143426148943364,0.010000000000000009,0.0005499999999999394,0.00945000000000007,0.11215286775181375,0.15756523789317836,0.02,0.03234530282184281
EEGConformer,0,P05_08,sub-5,0.48000000000000004,0.465,0.48314999999999997,-0.012489853998781362,-0.0021171657712533067,-0.010372688227528055,-0.015000000000000013,0.0031499999999999306,-0.018149999999999944,0.11941229335398068,0.1683425118927508,0.105,0.03896252669977067
EEGConformer,0,P05_08,sub-16,0.535,0.535,0.5401499999999999,-0.015149000998047977,-0.001495510811519598,-0.013653490186528379,0.0,0.005149999999999877,-0.005149999999999877,0.1213787354312359,0.17136170332474293,0.06,0.040206916312873736
EEGConformer,0,P05_08,sub-19,0.5,0.51,0.5004500000000001,-0.03535934376431068,-0.00970003551812053,-0.02565930824619015,0.010000000000000009,0.00045000000000006146,0.009549999999999947,0.10562027781346121,0.1489497883320341,0.01,0.027791205899129513
EEGConformer,0,P05_08,sub-21,0.575,0.52,0.5703500000000001,0.008694537699189358,0.0009672443971029722,0.007727293302086386,-0.05499999999999994,-0.004649999999999821,-0.05035000000000012,0.11105343809646938,0.15653137854493482,0.185,0.03760916503994385
EEGConformer,0,P05_08,sub-28,0.5,0.515,0.5015,-0.030234128290651804,-0.006373924422544576,-0.02386020386810723,0.015000000000000013,0.0014999999999999458,0.013500000000000068,0.11470258422902103,0.16154794667371114,0.025,0.03259898161939098
EEGConformer,0,P05_08,sub-33,0.505,0.645,0.5386000000000001,-0.019903479166560167,0.001370901527317536,-0.021274380693877704,0.14,0.033600000000000074,0.10639999999999994,0.1158887028426607,0.16371783778460489,0.17,0.03725124801596573
EEGConformer,0,P05_08,sub-37,0.505,0.5,0.5018,-0.024963838928815978,-0.0052920221098381615,-0.019671816818977818,-0.0050000000000000044,-0.0031999999999999806,-0.0018000000000000238,0.11495968915311125,0.16217016605069226,0.045,0.035119232938417
EEGConformer,0,P09_16,sub-1,0.51,0.5249999999999999,0.52485,-0.005088993685411586,0.0010213480532545475,-0.0061103417386661335,0.014999999999999902,0.01485000000000003,0.00014999999999987246,0.08067478363728998,0.11404649800701908,0.185,0.027671276620490425
EEGConformer,0,P09_16,sub-3,0.505,0.51,0.5055499999999999,-0.022204984587527794,-0.012955813297592612,-0.009249171289935182,0.0050000000000000044,0.0005499999999999394,0.004450000000000065,0.0811572894190226,0.11462622881772729,0.015,0.023131688262211427
EEGConformer,0,P09_16,sub-5,0.48000000000000004,0.45999999999999996,0.4879,-0.008979365880310121,-0.003538732326425663,-0.005440633553884458,-0.020000000000000073,0.007899999999999963,-0.027900000000000036,0.08159886456804244,0.11533812423842171,0.07,0.026603613740319353
EEGConformer,0,P09_16,sub-16,0.535,0.545,0.5371500000000001,-0.010666280748922315,-0.0024620447113708585,-0.008204236037551457,0.010000000000000009,0.0021500000000000963,0.007849999999999913,0.08212570956550007,0.11611117895222196,0.02,0.027122177891163213
EEGConformer,0,P09_16,sub-19,0.5,0.51,0.5005499999999999,-0.027561604393179513,-0.019679530849663403,-0.00788207354351611,0.010000000000000009,0.0005499999999999394,0.00945000000000007,0.07961985973517327,0.11257633712982003,0.01,0.020674214479190826
EEGConformer,0,P09_16,sub-21,0.575,0.55,0.56535,0.0058269386799197674,0.002260150167603976,0.0035667885123157913,-0.02499999999999991,-0.009649999999999936,-0.015349999999999975,0.08024977467022311,0.11344981619517086,0.125,0.02721236756173081
EEGConformer,0,P09_16,sub-28,0.5,0.505,0.5017499999999999,-0.023811013771420628,-0.012921709159501615,-0.010889304611919013,0.0050000000000000044,0.0017499999999999183,0.003250000000000086,0.08424915079751033,0.11880415111852399,0.015,0.023748550022984385
EEGConformer,0,P09_16,sub-33,0.505,0.6,0.561,-0.014148873441803685,0.0036080970831548266,-0.01775697052495851,0.09499999999999997,0.05600000000000005,0.038999999999999924,0.08042530385693529,0.11371774498478253,0.105,0.025689264930157468
EEGConformer,0,P09_16,sub-37,0.505,0.5,0.50185,-0.01902006421119572,-0.010366066586545207,-0.008653997624650514,-0.0050000000000000044,-0.003149999999999986,-0.0018500000000000183,0.0820097257247349,0.11593228424892281,0.035,0.024865575947694056
EEGConformer,0,P17_32,sub-1,0.51,0.51,0.5236000000000001,-0.0018635759297565544,0.001035205610196034,-0.0028987815399525883,0.0,0.013600000000000056,-0.013600000000000056,0.02619708378422575,0.03694854491452678,0.05,0.008951476154299172
EEGConformer,0,P17_32,sub-3,0.505,0.5,0.5059,-0.006924719831446272,-0.020085256711151835,0.013160536879705562,-0.0050000000000000044,0.0009000000000000119,-0.005900000000000016,0.02425581759925137,0.03374805263427449,0.005,0.006736409711333851
EEGConformer,0,P17_32,sub-5,0.48000000000000004,0.475,0.4882,-0.00326631969313835,-0.006253365731151208,0.0029870460380128578,-0.00500000000000006,0.008199999999999985,-0.013200000000000045,0.026510753011703983,0.03735723841750472,0.025,0.008585025597630124
EEGConformer,0,P17_32,sub-16,0.535,0.545,0.5369999999999999,-0.003824461475686945,-0.0040490066300571505,0.00022454515437020546,0.010000000000000009,0.0019999999999998908,0.008000000000000118,0.027496374243084383,0.03878264031228052,0.01,0.009000981504435299
EEGConformer,0,P17_32,sub-19,0.5,0.505,0.5001999999999999,-0.008568410594748941,-0.03144502975181365,0.02287661915706471,0.0050000000000000044,0.00019999999999986695,0.0048000000000001375,0.023561167087008977,0.033160096918763454,0.005,0.006045132781569121
EEGConformer,0,P17_32,sub-21,0.575,0.585,0.5661,0.0019537113225899043,0.001382233657147659,0.0005714776654422453,0.010000000000000009,-0.008899999999999908,0.018899999999999917,0.029902173671263993,0.04204408458744056,0.05,0.010046908138932102
EEGConformer,0,P17_32,sub-28,0.5,0.495,0.502,-0.006596318814024178,-0.019858805261404388,0.01326248644738021,-0.0050000000000000044,0.0020000000000000018,-0.007000000000000006,0.023416528746571866,0.03225755442466547,0.005,0.006268005433681925
EEGConformer,0,P17_32,sub-33,0.505,0.53,0.5550999999999999,-0.00524876395303157,0.007661602835924808,-0.012910366788956379,0.025000000000000022,0.05009999999999992,-0.0250999999999999,0.026366302498607615,0.03720921051680414,0.025,0.008379992720333792
EEGConformer,0,P17_32,sub-37,0.505,0.48500000000000004,0.50125,-0.005448544026295619,-0.016555340220156763,0.011106796193861145,-0.019999999999999962,-0.003750000000000031,-0.01624999999999993,0.02463117998227807,0.034586453447583224,0.02,0.00737661773610928
EEGConformer,1,P01_04,sub-2,0.44999999999999996,0.47000000000000003,0.45965000000000006,-0.17799412043681048,-0.025692645831849017,-0.15230147460496146,0.020000000000000073,0.009650000000000103,0.01034999999999997,0.7561779004065085,0.7981534928144849,0.3,0.15872071027917328
EEGConformer,1,P01_04,sub-11,0.645,0.58,0.61675,-0.011006677359355116,0.001836650514400997,-0.012843327873756114,-0.06500000000000006,-0.028249999999999997,-0.03675000000000006,1.1037929072726242,1.2115778343825425,0.455,0.22428815705110028
EEGConformer,1,P01_04,sub-13,0.495,0.495,0.4991499999999999,-0.03994567457918219,0.013350625613110819,-0.053296300192293006,0.0,0.0041499999999999315,-0.0041499999999999315,0.6828473057776882,0.6746276971621299,0.37,0.144715933312569
