backbone,fold,block,subject,candidate_persistence,random_persistence_mean,persistence_specific
DeepConvNet,0,P01_04,sub-2,11.23968516302373,10.352684230042557,0.8870009329811719
DeepConvNet,0,P01_04,sub-11,10.58366585749372,10.466159582316356,0.11750627517735879
DeepConvNet,0,P01_04,sub-13,8.38088630191874,2.1922653174486655,6.1886209844700755
DeepConvNet,0,P01_04,sub-18,19.494436043947083,11.689313030227227,7.805123013719859
DeepConvNet,0,P01_04,sub-27,46.015373990190454,34.36964809831043,11.64572589188002
DeepConvNet,0,P01_04,sub-36,7.143996309249559,0.7562862269391616,6.387710082310398
DeepConvNet,0,P01_04,sub-44,14.130929337393013,12.103489507449275,2.027439829943738
DeepConvNet,0,P01_04,sub-45,21.43900334049422,15.390539335066935,6.048464005427286
DeepConvNet,0,P05_08,sub-2,1.8850611880044301,0.5282924945130721,1.3567686934913579
DeepConvNet,0,P05_08,sub-11,2.271501137361863,0.5348418759769626,1.7366592613849003
DeepConvNet,0,P05_08,sub-13,0.8199458005648536,0.5101209259994175,0.3098248745654363
DeepConvNet,0,P05_08,sub-18,0.5908992577246719,0.6237124535067157,-0.03281319578204389
DeepConvNet,0,P05_08,sub-27,0.5694189578713453,0.5818997860073739,-0.012480828136028688
DeepConvNet,0,P05_08,sub-36,0.8543437499176649,0.9414929432061143,-0.08714919328844939
DeepConvNet,0,P05_08,sub-44,1.5101976015062115,-0.17446309494765855,1.6846606964538702
DeepConvNet,0,P05_08,sub-45,1.2643467283902299,1.0118663284169087,0.25248039997332095
DeepConvNet,0,P09_16,sub-2,-3.671204005882787e-31,8.021998781702196e-31,-1.1693202787584985e-30
DeepConvNet,0,P09_16,sub-11,9.450397446470489e-31,1.3793154387498364e-30,-4.342756941027874e-31
DeepConvNet,0,P09_16,sub-13,-3.7104792201058333e-31,8.369918912954242e-31,-1.2080398133060079e-30
DeepConvNet,0,P09_16,sub-18,-1.0466022416105556e-30,5.236896978526243e-32,-1.098971211395818e-30
DeepConvNet,0,P09_16,sub-27,4.202375914439882e-31,4.1396827993564526e-30,-3.7194452079124644e-30
