backbone,block,rank,mean_specific_advantage,CI95_L,CI95_U,p_raw,p_holm
DeepConvNet,P01_04,4,5.941608117404621,3.296347789684956,9.781147433795377,9.99990000099999e-06,3.999960000399996e-05
DeepConvNet,P05_08,4,0.527340106379785,0.2617836629747652,0.8510308425107316,9.99990000099999e-06,3.999960000399996e-05
DeepConvNet,P09_16,8,-7.432846640272991e-29,-1.5429476333624511e-28,-9.916988289510034e-30,1.0,1.0
DeepConvNet,P17_32,16,-5.855390849235825e-30,-9.349929239815894e-30,-2.8550141093990612e-30,1.0,1.0
