Backbone,Competence,Best_task_BA,Task_BA_CI_L,Task_BA_CI_U,Representation_dimension,Audit_baseline_BA,Persistent_blocks,Protected_blocks,Harmful_utility_blocks,Decision_active_harmful_blocks,Actionable_harmful_blocks,Final_recommended_action,AGDI_authorized,AGDI_dev_result,Outer_result
EEGNet,True,0.794354982754373,0.748780487804878,0.8382740668883961,32,0.7818930155210644,2,1,1,0,0,PRESERVE,False,NOT_AUTHORIZED,SEALED_UNUSED
FBCNet,False,0.5037817196353782,0.4987817196353782,0.5095134269524514,288,,0,0,0,0,0,NO_OP,False,NOT_AUTHORIZED,SEALED_UNUSED
EEGConformer,True,0.6096743348115299,0.5790243902439024,0.6421555917405765,64,0.5694159583641291,2,0,0,0,0,NO_OP,False,NOT_AUTHORIZED,SEALED_UNUSED
DeepConvNet,True,0.7688403855629465,0.7214618632976103,0.8133540781288493,256,0.7380794222714955,2,1,0,0,0,PRESERVE,False,NOT_AUTHORIZED,SEALED_UNUSED
TeCh,True,0.7129656319290465,0.6683693181818181,0.7572736973392461,64,0.6835425905395418,1,1,0,0,0,PRESERVE,False,NOT_AUTHORIZED,SEALED_UNUSED
