backbone,fold,block,subject,candidate_persistence,random_persistence_mean,persistence_specific
EEGConformer,0,P01_04,sub-2,0.7039038472412888,0.6744837296698892,0.029420117571399396
EEGConformer,0,P01_04,sub-11,0.7767048021379612,0.751804717626888,0.02490008451107295
EEGConformer,0,P01_04,sub-13,0.8217153477206919,0.7903317465736477,0.03138360114704419
EEGConformer,0,P01_04,sub-18,1.0960067350620353,1.0436753474365832,0.052331387625451864
EEGConformer,0,P01_04,sub-27,1.2238025415957294,1.1676444352666857,0.0561581063290435
EEGConformer,0,P01_04,sub-36,1.038650221800344,1.036660235942782,0.001989985857562049
EEGConformer,0,P01_04,sub-44,2.959314117305516,2.8904017890617903,0.06891232824372562
EEGConformer,0,P01_04,sub-45,0.8404554490207691,0.8369963924507197,0.0034590565700495235
EEGConformer,0,P05_08,sub-2,0.00438671707344548,0.0037110207923731747,0.0006756962810723034
EEGConformer,0,P05_08,sub-11,-0.001598479563415369,0.0003592799892200323,-0.001957759552635401
EEGConformer,0,P05_08,sub-13,0.004366737618054656,0.0027401073216279,0.0016266302964267555
EEGConformer,0,P05_08,sub-18,0.0038504835408643056,0.004097259225565355,-0.0002467756847010505
EEGConformer,0,P05_08,sub-27,0.0005537387413876355,0.0005349628960115636,1.8775845376071943e-05
EEGConformer,0,P05_08,sub-36,0.0034698382597509736,0.0036861604026992303,-0.00021632214294825796
EEGConformer,0,P05_08,sub-44,-0.0019382605372879735,0.0018474377645503657,-0.003785698301838339
EEGConformer,0,P05_08,sub-45,0.002553441232245227,0.003476772522587173,-0.0009233312903419466
EEGConformer,0,P09_16,sub-2,-3.122212679970433e-29,4.910704852470468e-29,-8.032917532440902e-29
EEGConformer,0,P09_16,sub-11,-7.120909876974612e-30,3.903782569227521e-29,-4.615873556924982e-29
EEGConformer,0,P09_16,sub-13,8.31733450234235e-30,4.0586006112761947e-29,-3.2268671610419585e-29
EEGConformer,0,P09_16,sub-18,7.647842900155073e-30,3.448875455521871e-29,-2.684091165506364e-29
EEGConformer,0,P09_16,sub-27,-2.8820634158792096e-29,7.946923527301623e-30,-3.676755768609372e-29
EEGConformer,0,P09_16,sub-36,-1.209191907678544e-28,8.166097218572715e-30,-1.2908528798642713e-28
EEGConformer,0,P09_16,sub-44,-4.7308839499911735e-30,5.006638780580566e-29,-5.479727175579684e-29
EEGConformer,0,P09_16,sub-45,4.957342015340947e-29,8.500600020582427e-29,-3.5432580052414754e-29
EEGConformer,0,P17_32,sub-2,-3.3364458384951603e-29,2.290229615471467e-29,-5.626675453966627e-29
EEGConformer,0,P17_32,sub-11,-2.9962773269263934e-30,2.522645314839684e-29,-2.822273047532322e-29
EEGConformer,0,P17_32,sub-13,1.275383255808819e-29,3.119546506443745e-29,-1.844163250634926e-29
EEGConformer,0,P17_32,sub-18,5.04160908341609e-30,2.519320051096856e-29,-2.015159142755247e-29
EEGConformer,0,P17_32,sub-27,1.928624538801931e-30,1.0996280523989345e-29,-9.067655985187414e-30
EEGConformer,0,P17_32,sub-36,-8.768842351674507e-29,1.7418530540810353e-29,-1.0510695405755543e-28
EEGConformer,0,P17_32,sub-44,6.899456037047123e-30,3.0135256686753423e-29,-2.323580064970631e-29
EEGConformer,0,P17_32,sub-45,1.956318276125592e-30,2.3986561272687148e-29,-2.203024299656155e-29
EEGConformer,1,P01_04,sub-9,2.718173142918372,2.4701179390272068,0.24805520389116564
EEGConformer,1,P01_04,sub-22,4.020175348843752,2.7471744156194067,1.2730009332243446
EEGConformer,1,P01_04,sub-25,4.019165121397414,2.0979228885486885,1.921242232848726
EEGConformer,1,P01_04,sub-26,4.278367104496322,3.1681045062814137,1.1102625982149075
EEGConformer,1,P01_04,sub-29,2.793195970818519,1.5639437299009447,1.2292522409175741
EEGConformer,1,P01_04,sub-34,5.0836504271203795,3.4976418884469456,1.5860085386734322
EEGConformer,1,P01_04,sub-35,4.489911033450576,4.097661085184464,0.3922499482661097
EEGConformer,1,P01_04,sub-49,5.2858827131791335,4.312957635521655,0.9729250776574787
EEGConformer,1,P05_08,sub-9,0.061600594304106526,0.04121445674632804,0.020386137557778503
EEGConformer,1,P05_08,sub-22,0.07383286764358005,0.05799372696976639,0.01583914067381366
EEGConformer,1,P05_08,sub-25,0.05477709113494425,0.004472946724231227,0.05030414441071302
EEGConformer,1,P05_08,sub-26,0.05035155890245069,0.034578946360317026,0.01577261254213365
EEGConformer,1,P05_08,sub-29,0.059893327246163516,0.058399341299093306,0.0014939859470702102
EEGConformer,1,P05_08,sub-34,0.15975779326920353,0.02658707422135491,0.13317071904784863
EEGConformer,1,P05_08,sub-35,0.07419481024292074,0.05740436338226382,0.016790446860656914
EEGConformer,1,P05_08,sub-49,-0.01509581186384884,0.08004769568441499,-0.0951435075482638
EEGConformer,1,P09_16,sub-9,-7.656304314466932e-30,9.819145544354686e-31,-8.638218868902401e-30
EEGConformer,1,P09_16,sub-22,3.363797035240361e-30,3.443362607243266e-30,-7.956557200290635e-32
EEGConformer,1,P09_16,sub-25,1.563390357100538e-30,2.8906096702153154e-30,-1.3272193131147767e-30
EEGConformer,1,P09_16,sub-26,1.4037563550670594e-30,1.914727031248269e-30,-5.109706761812101e-31
EEGConformer,1,P09_16,sub-29,3.8727973769611676e-31,3.510234793907341e-30,-3.1229550562112256e-30
EEGConformer,1,P09_16,sub-34,2.4057658341061944e-30,3.9322388351086975e-30,-1.5264730010025052e-30
EEGConformer,1,P09_16,sub-35,-8.27087442254689e-30,2.794410370285652e-30,-1.1065284792832543e-29
EEGConformer,1,P09_16,sub-49,-2.424003241519339e-30,5.206420012295688e-30,-7.630423253815027e-30
EEGConformer,1,P17_32,sub-9,-1.856590205709732e-29,1.910572483699016e-30,-2.0476474540796333e-29
EEGConformer,1,P17_32,sub-22,3.3013018874064274e-30,2.4797907981560468e-30,8.215110892503816e-31
EEGConformer,1,P17_32,sub-25,5.819215836985114e-31,1.8556846429070614e-30,-1.2737630592085504e-30
EEGConformer,1,P17_32,sub-26,1.2481287351050284e-30,1.4712155450668738e-30,-2.2308680996184555e-31
EEGConformer,1,P17_32,sub-29,-3.742540326116507e-31,1.4617088748752001e-30,-1.8359629074868505e-30
EEGConformer,1,P17_32,sub-34,1.7388482392117758e-30,3.3677457640471214e-30,-1.6288975248353428e-30
EEGConformer,1,P17_32,sub-35,-5.331167044686459e-32,1.9160885642605687e-30,-1.9694002347074336e-30
EEGConformer,1,P17_32,sub-49,-1.3906240250732248e-30,4.208324891792831e-30,-5.598948916866055e-30
EEGConformer,2,P01_04,sub-6,2.7346182191366717,2.3262671622321913,0.4083510569044808
