backbone,config,fold,subject,n_S3_trials,balanced_accuracy,macro_f1,cross_entropy
DeepConvNet,DEEP_F25_LR1E3,0,sub-1,200,0.875,0.8740903024350936,0.6636619359364966
DeepConvNet,DEEP_F25_LR1E3,0,sub-3,200,0.815,0.8148843026891808,0.6691066927238671
DeepConvNet,DEEP_F25_LR1E3,0,sub-5,200,0.7849999999999999,0.7843476516462298,0.6483447259293433
DeepConvNet,DEEP_F25_LR1E3,0,sub-16,200,0.48,0.4781212364512244,0.694223413300309
DeepConvNet,DEEP_F25_LR1E3,0,sub-19,200,0.935,0.9349853717086345,0.6119275880635745
DeepConvNet,DEEP_F25_LR1E3,0,sub-21,200,0.795,0.7949948748718718,0.6595427567068878
DeepConvNet,DEEP_F25_LR1E3,0,sub-28,200,0.6799999999999999,0.677938808373591,0.6678326941595902
DeepConvNet,DEEP_F25_LR1E3,0,sub-33,200,0.935,0.934959349593496,0.6323070786061776
DeepConvNet,DEEP_F25_LR1E3,0,sub-37,200,0.76,0.7584541062801933,0.6656123377046055
DeepConvNet,DEEP_F25_LR1E3,1,sub-2,200,0.72,0.7197477729956961,0.5620733022685538
DeepConvNet,DEEP_F25_LR1E3,1,sub-11,200,0.685,0.6849291090495362,0.5982520011680061
DeepConvNet,DEEP_F25_LR1E3,1,sub-13,200,0.81,0.809313528703332,0.37928607970696504
DeepConvNet,DEEP_F25_LR1E3,1,sub-18,200,0.605,0.6045155315261195,0.6711795625676724
DeepConvNet,DEEP_F25_LR1E3,1,sub-27,200,0.62,0.6100164203612479,0.6937797052190657
DeepConvNet,DEEP_F25_LR1E3,1,sub-36,200,0.985,0.9849996249906248,0.05488590479793395
DeepConvNet,DEEP_F25_LR1E3,1,sub-44,200,0.8300000000000001,0.8289049919484701,0.37117859167611866
DeepConvNet,DEEP_F25_LR1E3,1,sub-45,200,0.9,0.8999899989999001,0.2071064732910039
DeepConvNet,DEEP_F25_LR1E3,2,sub-9,200,0.58,0.5716034271725826,0.6846465217826824
DeepConvNet,DEEP_F25_LR1E3,2,sub-22,200,0.665,0.6631049654305469,0.6187079022407301
DeepConvNet,DEEP_F25_LR1E3,2,sub-25,200,0.96,0.9599639675708138,0.08175019265782472
DeepConvNet,DEEP_F25_LR1E3,2,sub-26,200,0.645,0.6309675407365056,0.6525528325262332
DeepConvNet,DEEP_F25_LR1E3,2,sub-29,200,0.75,0.7416287722199255,0.46846132234809623
DeepConvNet,DEEP_F25_LR1E3,2,sub-34,200,0.485,0.4848840989222575,0.7814073924057771
DeepConvNet,DEEP_F25_LR1E3,2,sub-35,200,0.895,0.8949763696831787,0.21528982019547044
DeepConvNet,DEEP_F25_LR1E3,2,sub-49,200,0.89,0.8899009108197378,0.30758075263599066
DeepConvNet,DEEP_F25_LR1E3,3,sub-6,200,0.9099999999999999,0.9096748293857888,0.21490015439005752
DeepConvNet,DEEP_F25_LR1E3,3,sub-23,200,0.96,0.96,0.12202611259874932
DeepConvNet,DEEP_F25_LR1E3,3,sub-24,195,0.9013573232323232,0.9017267446486831,0.23997937345926637
DeepConvNet,DEEP_F25_LR1E3,3,sub-30,200,0.815,0.813953488372093,0.4156953100696579
DeepConvNet,DEEP_F25_LR1E3,3,sub-31,200,0.555,0.5289883834775476,0.6938200537132141
DeepConvNet,DEEP_F25_LR1E3,3,sub-38,200,0.48,0.46052495072102917,0.7190160478093837
DeepConvNet,DEEP_F25_LR1E3,3,sub-41,200,0.8300000000000001,0.8298468621759583,0.31179007541115383
DeepConvNet,DEEP_F25_LR1E3,3,sub-42,200,0.6799999999999999,0.677938808373591,0.5580490521379372
DeepConvNet,DEEP_F25_LR1E3,4,sub-7,200,0.8049999999999999,0.80389692017599,0.40461613303244176
DeepConvNet,DEEP_F25_LR1E3,4,sub-12,200,0.745,0.7435575109993715,0.4577747454395751
DeepConvNet,DEEP_F25_LR1E3,4,sub-14,200,0.54,0.5377349010149733,0.7860208047694485
DeepConvNet,DEEP_F25_LR1E3,4,sub-17,200,0.87,0.8698828946051447,0.3114502502720549
DeepConvNet,DEEP_F25_LR1E3,4,sub-32,200,0.5900000000000001,0.5873590982286634,0.7227280714818621
DeepConvNet,DEEP_F25_LR1E3,4,sub-47,200,0.935,0.9349202773397411,0.18136397367994442
DeepConvNet,DEEP_F25_LR1E3,4,sub-48,200,0.8,0.8,0.4233059936332218
DeepConvNet,DEEP_F25_LR1E3,4,sub-50,200,0.96,0.96,0.08432139249677024
DeepConvNet,DEEP_F25_STABLE,0,sub-1,200,0.9099999999999999,0.9099189270343309,0.3064051572783663
DeepConvNet,DEEP_F25_STABLE,0,sub-3,200,0.815,0.8146246148450612,0.4147871983754628
DeepConvNet,DEEP_F25_STABLE,0,sub-5,200,0.77,0.7694235588972431,0.3868036247719728
DeepConvNet,DEEP_F25_STABLE,0,sub-16,200,0.48,0.4625878462174452,0.7891525789422315
DeepConvNet,DEEP_F25_STABLE,0,sub-19,200,0.94,0.9399038461538461,0.16070726983199954
DeepConvNet,DEEP_F25_STABLE,0,sub-21,200,0.775,0.7729508817074093,0.3929918817292382
DeepConvNet,DEEP_F25_STABLE,0,sub-28,200,0.6499999999999999,0.648735447611401,0.5558548711939004
DeepConvNet,DEEP_F25_STABLE,0,sub-33,200,0.945,0.9449986249656241,0.20018937005357132
DeepConvNet,DEEP_F25_STABLE,0,sub-37,200,0.76,0.7599039615846338,0.46035692236170006
DeepConvNet,DEEP_F25_STABLE,1,sub-2,200,0.755,0.7545028683083244,0.5577461280127243
DeepConvNet,DEEP_F25_STABLE,1,sub-11,200,0.665,0.6635786196680977,0.5815697118317726
DeepConvNet,DEEP_F25_STABLE,1,sub-13,200,0.81,0.8098288459613652,0.38751830418865296
DeepConvNet,DEEP_F25_STABLE,1,sub-18,200,0.6,0.6,0.723288147951258
