backbone,config,fold,subject,n_S3_trials,balanced_accuracy,macro_f1,cross_entropy
FBCNet,FBC_S8_LR1E3,0,sub-1,200,0.5,0.3333333333333333,0.6931701437668443
FBCNet,FBC_S8_LR1E3,0,sub-3,200,0.5,0.3333333333333333,0.6952498282922318
FBCNet,FBC_S8_LR1E3,0,sub-5,200,0.5,0.3503118503118503,0.6929272355020305
FBCNet,FBC_S8_LR1E3,0,sub-16,200,0.505,0.34434915063412697,0.6929838348631088
FBCNet,FBC_S8_LR1E3,0,sub-19,200,0.505,0.34434915063412697,0.6934279935870665
FBCNet,FBC_S8_LR1E3,0,sub-21,200,0.5,0.3333333333333333,0.6931701437668443
FBCNet,FBC_S8_LR1E3,0,sub-28,200,0.515,0.3658265502925697,0.6962616479428085
FBCNet,FBC_S8_LR1E3,0,sub-33,200,0.5,0.3333333333333333,0.6931701437668443
FBCNet,FBC_S8_LR1E3,0,sub-37,200,0.535,0.45890909090909093,0.6933955560789147
FBCNet,FBC_S8_LR1E3,1,sub-2,200,0.515,0.37368845843422116,0.6919915049135216
FBCNet,FBC_S8_LR1E3,1,sub-11,200,0.505,0.34434915063412697,0.6931775847155506
FBCNet,FBC_S8_LR1E3,1,sub-13,200,0.5,0.3333333333333333,0.6931795473680569
FBCNet,FBC_S8_LR1E3,1,sub-18,200,0.495,0.33967506783040763,0.6930832027976433
FBCNet,FBC_S8_LR1E3,1,sub-27,200,0.5,0.3333333333333333,0.6932262749022036
FBCNet,FBC_S8_LR1E3,1,sub-36,200,0.5,0.3333333333333333,0.6933446070418806
FBCNet,FBC_S8_LR1E3,1,sub-44,200,0.5,0.3333333333333333,0.6934659791212857
FBCNet,FBC_S8_LR1E3,1,sub-45,200,0.495,0.33967506783040763,0.693034035188711
FBCNet,FBC_S8_LR1E3,2,sub-9,200,0.465,0.332896910751582,0.6939584282019606
FBCNet,FBC_S8_LR1E3,2,sub-22,200,0.505,0.35275080906148865,0.6932885769404824
FBCNet,FBC_S8_LR1E3,2,sub-25,200,0.49,0.3373180873180873,0.6929161905987591
FBCNet,FBC_S8_LR1E3,2,sub-26,200,0.49,0.3453985367731998,0.6916787794955215
FBCNet,FBC_S8_LR1E3,2,sub-29,200,0.5,0.4995495946351717,0.692844193052295
FBCNet,FBC_S8_LR1E3,2,sub-34,200,0.5,0.3333333333333333,0.6931236563927746
FBCNet,FBC_S8_LR1E3,2,sub-35,200,0.5,0.3333333333333333,0.6931654319123524
FBCNet,FBC_S8_LR1E3,2,sub-49,200,0.54,0.5245969408846631,0.6921097875407195
FBCNet,FBC_S8_LR1E3,3,sub-6,200,0.5,0.3333333333333333,0.6934613567905735
FBCNet,FBC_S8_LR1E3,3,sub-23,200,0.5,0.3333333333333333,0.6933987765768646
FBCNet,FBC_S8_LR1E3,3,sub-24,195,0.5050505050505051,0.3410344827586207,0.6936603282889657
FBCNet,FBC_S8_LR1E3,3,sub-30,200,0.525,0.46082465450211413,0.6932664138180786
FBCNet,FBC_S8_LR1E3,3,sub-31,200,0.5,0.386578333946755,0.6942160501197054
FBCNet,FBC_S8_LR1E3,3,sub-38,200,0.5,0.3333333333333333,0.6933905938805013
FBCNet,FBC_S8_LR1E3,3,sub-41,200,0.48,0.4560100428915158,0.6931151979451846
FBCNet,FBC_S8_LR1E3,3,sub-42,200,0.49,0.3288590604026846,0.6940256731169342
FBCNet,FBC_S8_LR1E3,4,sub-7,200,0.49,0.3605015673981191,0.6930027408220031
FBCNet,FBC_S8_LR1E3,4,sub-12,200,0.495,0.3311036789297659,0.6932689992087312
FBCNet,FBC_S8_LR1E3,4,sub-14,200,0.5,0.3333333333333333,0.6931519579922921
FBCNet,FBC_S8_LR1E3,4,sub-17,200,0.495,0.33967506783040763,0.6933143023434922
FBCNet,FBC_S8_LR1E3,4,sub-32,200,0.57,0.5637175324675325,0.6914027707301623
FBCNet,FBC_S8_LR1E3,4,sub-47,200,0.5,0.3333333333333333,0.6931519579922921
FBCNet,FBC_S8_LR1E3,4,sub-48,200,0.545,0.5377777777777777,0.6929652385502604
FBCNet,FBC_S8_LR1E3,4,sub-50,200,0.5,0.3333333333333333,0.6931175221493162
FBCNet,FBC_S8_STABLE,0,sub-1,200,0.5,0.3333333333333333,0.6933122632384228
FBCNet,FBC_S8_STABLE,0,sub-3,200,0.495,0.3311036789297659,0.6940210971933414
FBCNet,FBC_S8_STABLE,0,sub-5,200,0.5,0.3333333333333333,0.6931307991488969
