backbone,fold,block,rank,eigenvalue_sum,minimum_eigenvalue,basis_sha256,embedding_sha256,representation_dim,effective_positive_rank,rank_tolerance,top32_orthogonality_error,cross_covariance_condition_positive,s1_s2_centroid_correlation,s1_s2_principal_angle_mean_deg,s1_s2_principal_angle_max_deg
TeCh,0,P01_04,4,0.023715920030273296,4.396519031715812e-05,8de287500849e794a8320c3328ec2e3d164aef48238f3689506d4c046c28d1e2,5df4deccd227432dfc921c0ff6ddb86d8805dddf6d5938cf750b05544c45dd6b,64,7,1.4210854715202004e-14,5.3807156252890335e-15,14233.982006802196,0.7625464239808676,34.70060439476253,78.79507227939992
TeCh,0,P05_08,4,2.7867043208515714e-05,4.031199633946733e-18,8de287500849e794a8320c3328ec2e3d164aef48238f3689506d4c046c28d1e2,5df4deccd227432dfc921c0ff6ddb86d8805dddf6d5938cf750b05544c45dd6b,64,7,1.4210854715202004e-14,5.3807156252890335e-15,14233.982006802196,0.7625464239808676,34.70060439476253,78.79507227939992
TeCh,0,P09_16,8,1.174508742104139e-17,7.550359098703786e-19,8de287500849e794a8320c3328ec2e3d164aef48238f3689506d4c046c28d1e2,5df4deccd227432dfc921c0ff6ddb86d8805dddf6d5938cf750b05544c45dd6b,64,7,1.4210854715202004e-14,5.3807156252890335e-15,14233.982006802196,0.7625464239808676,34.70060439476253,78.79507227939992
TeCh,0,P17_32,16,3.658006238100521e-18,-3.570168682805262e-21,8de287500849e794a8320c3328ec2e3d164aef48238f3689506d4c046c28d1e2,5df4deccd227432dfc921c0ff6ddb86d8805dddf6d5938cf750b05544c45dd6b,64,7,1.4210854715202004e-14,5.3807156252890335e-15,14233.982006802196,0.7625464239808676,34.70060439476253,78.79507227939992
TeCh,1,P01_04,4,0.015547610225402323,1.7430785525131152e-05,bdf41cbc38b357702ca92005ea44f87b5bd97e43017e9d427b21f9a9e30c7682,f7cfaaeb4b50d014d4a38191de1c7c53b6bd370439c1ec36fb907ccbc9d255be,64,7,1.4210854715202004e-14,6.312358475126934e-15,6520.7580050900415,0.7200261089850838,33.29411075436833,84.010456578638
TeCh,1,P05_08,4,1.2579204537219145e-05,2.3427244775832157e-18,bdf41cbc38b357702ca92005ea44f87b5bd97e43017e9d427b21f9a9e30c7682,f7cfaaeb4b50d014d4a38191de1c7c53b6bd370439c1ec36fb907ccbc9d255be,64,7,1.4210854715202004e-14,6.312358475126934e-15,6520.7580050900415,0.7200261089850838,33.29411075436833,84.010456578638
TeCh,1,P09_16,8,9.180086055623989e-18,6.956588963867338e-19,bdf41cbc38b357702ca92005ea44f87b5bd97e43017e9d427b21f9a9e30c7682,f7cfaaeb4b50d014d4a38191de1c7c53b6bd370439c1ec36fb907ccbc9d255be,64,7,1.4210854715202004e-14,6.312358475126934e-15,6520.7580050900415,0.7200261089850838,33.29411075436833,84.010456578638
TeCh,1,P17_32,16,3.3521744101949628e-18,-3.756590350930139e-20,bdf41cbc38b357702ca92005ea44f87b5bd97e43017e9d427b21f9a9e30c7682,f7cfaaeb4b50d014d4a38191de1c7c53b6bd370439c1ec36fb907ccbc9d255be,64,7,1.4210854715202004e-14,6.312358475126934e-15,6520.7580050900415,0.7200261089850838,33.29411075436833,84.010456578638
TeCh,2,P01_04,4,0.12232628557244914,0.00046021287130500465,e573ec82a00a84ef2981d83d382054e0ece24222991be677b64d9e4c94ef4406,c2243432d4c9103df3a984855d35a696bb109f97ea4482daa5ccd587b33199b8,64,7,1.4210854715202004e-14,5.7913689105745056e-15,16453.181201584302,0.9309868567386838,27.04672555470236,73.51171027990858
TeCh,2,P05_08,4,0.00016843137743051875,1.8904490643571408e-17,e573ec82a00a84ef2981d83d382054e0ece24222991be677b64d9e4c94ef4406,c2243432d4c9103df3a984855d35a696bb109f97ea4482daa5ccd587b33199b8,64,7,1.4210854715202004e-14,5.7913689105745056e-15,16453.181201584302,0.9309868567386838,27.04672555470236,73.51171027990858
