backbone,config,fold,subject,n_S3_trials,balanced_accuracy,macro_f1,cross_entropy
EEGConformer,CONF_D40_BASE,0,sub-1,200,0.5,0.3333333333333333,0.7390558986414502
EEGConformer,CONF_D40_BASE,0,sub-3,200,0.55,0.5488721804511278,0.7066240849270262
EEGConformer,CONF_D40_BASE,0,sub-5,200,0.535,0.45890909090909093,0.6760391979410757
EEGConformer,CONF_D40_BASE,0,sub-16,200,0.52,0.39811912225705326,0.6982402536316087
EEGConformer,CONF_D40_BASE,0,sub-19,200,0.53,0.4106583072100314,0.6957123129480702
EEGConformer,CONF_D40_BASE,0,sub-21,200,0.53,0.44047619047619047,0.6928353636348372
EEGConformer,CONF_D40_BASE,0,sub-28,200,0.685,0.6836634781953754,0.6305248118989417
EEGConformer,CONF_D40_BASE,0,sub-33,200,0.51,0.3551783129359126,0.648732344597851
EEGConformer,CONF_D40_BASE,0,sub-37,200,0.56,0.5354239256678281,0.6772193677515835
EEGConformer,CONF_D40_BASE,1,sub-2,200,0.475,0.4584139264990329,0.8875007081017848
EEGConformer,CONF_D40_BASE,1,sub-11,200,0.64,0.6396757081373237,0.6318325863711766
EEGConformer,CONF_D40_BASE,1,sub-13,200,0.535,0.5347091932457786,0.75771065655643
EEGConformer,CONF_D40_BASE,1,sub-18,200,0.47,0.4622564935064935,0.892870974577428
EEGConformer,CONF_D40_BASE,1,sub-27,200,0.56,0.5469055710019566,0.687546881447412
EEGConformer,CONF_D40_BASE,1,sub-36,200,0.685,0.6846136517233611,0.6063939717606874
EEGConformer,CONF_D40_BASE,1,sub-44,200,0.5700000000000001,0.5647332725984411,0.729146619511813
EEGConformer,CONF_D40_BASE,1,sub-45,200,0.5700000000000001,0.5538956323270048,0.8194717589741536
EEGConformer,CONF_D40_BASE,2,sub-9,200,0.5,0.3333333333333333,0.7489981646957026
EEGConformer,CONF_D40_BASE,2,sub-22,200,0.495,0.3478611783696529,0.7546352247432773
EEGConformer,CONF_D40_BASE,2,sub-25,200,0.495,0.3311036789297659,0.7547142918888349
EEGConformer,CONF_D40_BASE,2,sub-26,200,0.465,0.439071059736311,0.7682065202867845
EEGConformer,CONF_D40_BASE,2,sub-29,200,0.5,0.34201868666929863,0.7595694150826
EEGConformer,CONF_D40_BASE,2,sub-34,200,0.5,0.3333333333333333,0.75212041795495
EEGConformer,CONF_D40_BASE,2,sub-35,200,0.5,0.3333333333333333,0.7411003864453579
EEGConformer,CONF_D40_BASE,2,sub-49,200,0.5349999999999999,0.43825314850049835,0.7019784509172214
EEGConformer,CONF_D40_BASE,3,sub-6,200,0.485,0.47232254924562617,0.7666435922100073
EEGConformer,CONF_D40_BASE,3,sub-23,200,0.865,0.8645903859174001,0.40966139544246616
EEGConformer,CONF_D40_BASE,3,sub-24,195,0.8513257575757576,0.851266405407538,0.39449596051906055
EEGConformer,CONF_D40_BASE,3,sub-30,200,0.5,0.35823385958156845,1.3101867676068004
EEGConformer,CONF_D40_BASE,3,sub-31,200,0.64,0.625,0.7871181976441122
EEGConformer,CONF_D40_BASE,3,sub-38,200,0.5700000000000001,0.5656565656565657,0.7240445546889748
EEGConformer,CONF_D40_BASE,3,sub-41,200,0.755,0.7549938748468712,0.5375756367890172
EEGConformer,CONF_D40_BASE,3,sub-42,200,0.49,0.4825487012987013,0.9439303932966624
EEGConformer,CONF_D40_BASE,4,sub-7,200,0.51,0.36330561330561334,0.7235025693864778
EEGConformer,CONF_D40_BASE,4,sub-12,200,0.5,0.3333333333333333,0.7291173547819596
EEGConformer,CONF_D40_BASE,4,sub-14,200,0.5,0.3333333333333333,0.7401969804723346
EEGConformer,CONF_D40_BASE,4,sub-17,200,0.51,0.47733333333333333,0.7583886311281397
EEGConformer,CONF_D40_BASE,4,sub-32,200,0.505,0.34434915063412697,0.7217259141512201
EEGConformer,CONF_D40_BASE,4,sub-47,200,0.505,0.37576846684952236,0.7267051570663283
EEGConformer,CONF_D40_BASE,4,sub-48,200,0.575,0.49643058147456975,0.6860053558326432
EEGConformer,CONF_D40_BASE,4,sub-50,200,0.5,0.3333333333333333,0.7214191494014451
EEGConformer,CONF_D64_BASE,0,sub-1,200,0.63,0.6145833333333333,0.6870125047428115
EEGConformer,CONF_D64_BASE,0,sub-3,200,0.595,0.5932816148226256,0.7230437025245583
EEGConformer,CONF_D64_BASE,0,sub-5,200,0.675,0.6731615336266499,0.6428858864236718
EEGConformer,CONF_D64_BASE,0,sub-16,200,0.605,0.5839368005266623,0.7544820704793923
EEGConformer,CONF_D64_BASE,0,sub-19,200,0.55,0.5173745173745175,0.7798388305400767
EEGConformer,CONF_D64_BASE,0,sub-21,200,0.6100000000000001,0.6090225563909775,0.679098929423617
EEGConformer,CONF_D64_BASE,0,sub-28,200,0.61,0.5519301470588236,0.7772550864595595
EEGConformer,CONF_D64_BASE,0,sub-33,200,0.895,0.8949973749343734,0.3069123039562167
EEGConformer,CONF_D64_BASE,0,sub-37,200,0.5499999999999999,0.5410036719706243,0.84486073009316
EEGConformer,CONF_D64_BASE,1,sub-2,200,0.475,0.4691473495285523,0.8393764740004767
EEGConformer,CONF_D64_BASE,1,sub-11,200,0.665,0.6619490905421428,0.702873106272685
EEGConformer,CONF_D64_BASE,1,sub-13,200,0.505,0.5048885999349854,0.8077621301818053
EEGConformer,CONF_D64_BASE,1,sub-18,200,0.47000000000000003,0.46567194273616297,0.9203574611873117
EEGConformer,CONF_D64_BASE,1,sub-27,200,0.665,0.6645891216740507,0.6523698631530965
EEGConformer,CONF_D64_BASE,1,sub-36,200,0.645,0.6373758267575781,0.591459435890226
EEGConformer,CONF_D64_BASE,1,sub-44,200,0.61,0.6060606060606061,0.6918106063754085
EEGConformer,CONF_D64_BASE,1,sub-45,200,0.62,0.6100164203612479,0.7943557459449179
EEGConformer,CONF_D64_BASE,2,sub-9,200,0.49,0.4812328349099786,0.9008868267966121
EEGConformer,CONF_D64_BASE,2,sub-22,200,0.605,0.5673485035187164,0.6900036759045062
EEGConformer,CONF_D64_BASE,2,sub-25,200,0.5800000000000001,0.5793269230769231,0.832229073672704
EEGConformer,CONF_D64_BASE,2,sub-26,200,0.505,0.36844119804790915,0.843258147233806
