backbone,fold,subject,n_S3_trials,baseline_BA,baseline_CE
TeCh,0,sub-1,200,0.8049999999999999,0.4953896317875957
TeCh,0,sub-3,200,0.78,0.5120990963294052
TeCh,0,sub-5,200,0.705,0.5872483197700191
TeCh,0,sub-16,200,0.48,0.7769709548914088
TeCh,0,sub-19,200,0.875,0.3313711258189288
TeCh,0,sub-21,200,0.77,0.5011241809096451
TeCh,0,sub-28,200,0.665,0.6309567965857018
TeCh,0,sub-33,200,0.8049999999999999,0.429391936816207
TeCh,0,sub-37,200,0.665,0.6230792717840147
TeCh,1,sub-2,200,0.655,0.6415794216863521
TeCh,1,sub-11,200,0.62,0.6465890105040748
TeCh,1,sub-13,200,0.62,0.6493004175973788
TeCh,1,sub-18,200,0.51,0.7391767455683429
TeCh,1,sub-27,200,0.575,0.6663090905622806
TeCh,1,sub-36,200,0.9,0.4409633338958473
TeCh,1,sub-44,200,0.66,0.6015119048811185
TeCh,1,sub-45,200,0.8200000000000001,0.4783945516139411
TeCh,2,sub-9,200,0.585,0.7318303457710295
TeCh,2,sub-22,200,0.51,0.7402865959234893
TeCh,2,sub-25,200,0.935,0.24401544720872403
TeCh,2,sub-26,200,0.7,0.6450743901885322
TeCh,2,sub-29,200,0.7949999999999999,0.5067860374030861
TeCh,2,sub-34,200,0.54,0.7591382289164642
TeCh,2,sub-35,200,0.8400000000000001,0.3596190069090792
TeCh,2,sub-49,200,0.875,0.35885133995307616
TeCh,3,sub-6,200,0.875,0.3203137824301474
TeCh,3,sub-23,200,0.865,0.41184708122199465
TeCh,3,sub-24,195,0.7902462121212122,0.4615458929325652
TeCh,3,sub-30,200,0.88,0.35813472777620675
TeCh,3,sub-31,200,0.505,0.7948977921179715
TeCh,3,sub-38,200,0.505,0.7537398017661664
TeCh,3,sub-41,200,0.755,0.5192168368329821
TeCh,3,sub-42,200,0.7,0.5858542820158706
TeCh,4,sub-7,200,0.61,0.6962339145778402
TeCh,4,sub-12,200,0.5700000000000001,0.6962777716531593
TeCh,4,sub-14,200,0.435,0.75349375906837
TeCh,4,sub-17,200,0.505,0.7791093917960259
TeCh,4,sub-32,200,0.505,0.7452063089664941
TeCh,4,sub-47,200,0.64,0.6454398003623117
TeCh,4,sub-48,200,0.52,0.7257006108983802
TeCh,4,sub-50,200,0.675,0.6344656281275052
